measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,48.266000000000005,651.0,651.0,,,,92.549,1212.0,1212.0,342.031,5017.0,5017.0,49.378,749.0,749.0
2003-02-01,39.883,538.0,538.0,,,,76.474,1001.0,1001.0,282.623,4146.0,4146.0,40.801,619.0,619.0
2003-03-01,42.356,571.0,571.0,,,,81.215,1064.0,1064.0,300.148,4403.0,4403.0,43.331,657.0,657.0
2003-04-01,40.344,544.0,544.0,,,,77.358,1013.0,1013.0,285.891,4194.0,4194.0,41.273,626.0,626.0
2003-05-01,41.551,560.0,560.0,,,,79.673,1043.0,1043.0,294.44800000000004,4319.0,4319.0,42.508,645.0,645.0
2003-06-01,43.835,591.0,591.0,,,,84.053,1101.0,1101.0,310.63300000000004,4557.0,4557.0,44.845,680.0,680.0
2003-07-01,52.772000000000006,711.0,711.0,,,,101.188,1325.0,1325.0,373.959,5486.0,5486.0,53.987,819.0,819.0
2003-08-01,51.01,688.0,688.0,,,,97.80900000000001,1281.0,1281.0,361.474,5303.0,5303.0,52.185,791.0,791.0
2003-09-01,41.07,554.0,554.0,,,,78.751,1031.0,1031.0,291.04,4269.0,4269.0,42.016000000000005,637.0,637.0
2003-10-01,39.25,529.0,529.0,,,,75.26,986.0,986.0,278.139,4080.0,4080.0,40.154,609.0,609.0
2003-11-01,32.881,443.0,443.0,,,,63.047000000000004,826.0,826.0,233.00400000000002,3418.0,3418.0,33.638,510.0,510.0
2003-12-01,47.783,644.0,644.0,,,,91.622,1200.0,1200.0,338.60900000000004,4967.0,4967.0,48.884,741.0,741.0
2004-01-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,,,,29.417,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,69.45100000000001,982.39,982.39,,,,168.734,2398.71,2398.71,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,35.248000000000005,498.59,498.59,,,,140.073,1991.28,1991.28,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,42.66,603.44,603.44,,,,173.46900000000002,2466.03,2466.03,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,44.453,628.8,628.8,,,,170.92100000000002,2429.8,2429.8,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,52.38,740.93,740.93,,,,201.488,2864.35,2864.35,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,47.424,670.83,670.83,,,,254.28400000000002,3614.88,3614.88,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,75.93900000000001,1074.17,1074.17,,,,318.69300000000004,4530.53,4530.53,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,84.03800000000001,1188.73,1188.73,,,,330.132,4693.14,4693.14,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,83.455,1180.48,1180.48,,,,251.21,3571.18,3571.18,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,49.797000000000004,704.39,704.39,,,,200.686,2852.94,2852.94,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,39.692,561.45,561.45,,,,171.21800000000002,2434.03,2434.03,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,86.462,1223.02,1223.02,,,,167.091,2375.36,2375.36,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,205.919,2131.0,2131.0,0.0,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,244.304,2528.0,2528.0,0.0,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,278.651,2884.0,2884.0,0.0,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,311.677,3226.0,3226.0,0.0,0.0,0.0,,,
