measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,263648.0,3117738.0,3117738.0,0.0,0.0,0.0,13202.0,156122.0,156122.0,6216.0,73504.0,73504.0,96276.0,1138505.0,1138505.0
2003-02-01,,,,208120.0,2461394.0,2461394.0,79.0,1084.0,1084.0,12259.0,144988.0,144988.0,6815.0,80605.0,80605.0,124559.0,1473135.0,1473135.0
2003-03-01,,,,286173.0,3297554.0,3297554.0,0.0,0.0,0.0,10789.0,124326.0,124326.0,8989.0,103578.0,103578.0,129421.0,1491305.0,1491305.0
2003-04-01,,,,73992.0,967746.0,967746.0,0.0,0.0,0.0,11862.0,155149.0,155149.0,791.0,10343.0,10343.0,54913.0,718206.0,718206.0
2003-05-01,,,,218979.0,2646462.0,2646462.0,0.0,0.0,0.0,8785.0,106171.0,106171.0,2790.0,33717.0,33717.0,9188.0,111044.0,111044.0
2003-06-01,,,,185192.0,2390102.0,2390102.0,0.0,0.0,0.0,10955.0,141384.0,141384.0,1275.0,16449.0,16449.0,36843.0,475499.0,475499.0
2003-07-01,,,,258094.0,3241836.0,3241836.0,10.0,258.0,258.0,14374.0,180547.0,180547.0,4254.0,53432.0,53432.0,88167.0,1107433.0,1107433.0
2003-08-01,,,,250510.0,3161470.0,3161470.0,66.0,938.0,938.0,4876.0,61530.0,61530.0,11066.0,139657.0,139657.0,87486.0,1104088.0,1104088.0
2003-09-01,,,,182168.0,1466842.0,1466842.0,0.0,0.0,0.0,1524.0,12271.0,12271.0,10742.0,86495.0,86495.0,77896.0,627228.0,627228.0
2003-10-01,,,,189543.0,2395380.0,2395380.0,0.0,0.0,0.0,1651.0,20867.0,20867.0,10523.0,132980.0,132980.0,13419.0,169590.0,169590.0
2003-11-01,,,,182053.0,2348060.0,2348060.0,6.0,70.0,70.0,1025.0,13226.0,13226.0,9638.0,124301.0,124301.0,8991.0,115964.0,115964.0
2003-12-01,,,,251863.0,3058094.0,3058094.0,0.0,0.0,0.0,15115.0,183529.0,183529.0,2480.0,30108.0,30108.0,66143.0,803099.0,803099.0
2004-01-01,,,,281990.0,3343912.0,3343912.0,101.0,902.0,902.0,21290.0,252461.0,252461.0,1545.0,18316.0,18316.0,147823.0,1752925.0,1752925.0
2004-02-01,,,,207241.0,2513394.0,2513394.0,0.0,0.0,0.0,9715.0,117821.0,117821.0,5073.0,61521.0,61521.0,19539.0,236962.0,236962.0
2004-03-01,,,,260826.0,3079440.0,3079440.0,0.0,0.0,0.0,7005.0,82708.0,82708.0,9889.0,116757.0,116757.0,45609.0,538480.0,538480.0
2004-04-01,,,,178169.0,1907152.0,1907152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66933.0,937289.0,937289.0
2004-05-01,,,,140887.0,1789632.0,1789632.0,0.0,0.0,0.0,6179.0,78486.0,78486.0,8363.0,106237.0,106237.0,76884.0,976632.0,976632.0
2004-06-01,,,,170968.0,2238808.0,2238808.0,0.0,0.0,0.0,8975.0,117522.0,117522.0,6349.0,83145.0,83145.0,56956.0,745826.0,745826.0
2004-07-01,,,,245703.0,3047850.0,3047850.0,75.0,1137.0,1137.0,3343.0,41471.0,41471.0,14401.0,178638.0,178638.0,80523.0,998859.0,998859.0
2004-08-01,,,,241212.0,2688920.0,2688920.0,10.0,117.0,117.0,1533.0,17094.0,17094.0,13347.0,148784.0,148784.0,52842.0,764196.0,764196.0
2004-09-01,,,,232008.0,2910648.0,2910648.0,0.0,0.0,0.0,3966.0,49751.0,49751.0,9053.0,113568.0,113568.0,18316.0,229786.0,229786.0
2004-10-01,,,,108524.0,1353118.0,1353118.0,0.0,0.0,0.0,1466.0,18277.0,18277.0,0.0,0.0,0.0,2988.0,37252.0,37252.0
2004-11-01,,,,103065.0,1316770.0,1316770.0,0.0,0.0,0.0,0.0,0.0,0.0,7357.0,92240.0,92240.0,7084.0,90506.0,90506.0
2004-12-01,,,,186470.0,2207036.0,2207036.0,33.0,474.0,474.0,4669.0,55266.0,55266.0,0.0,0.0,0.0,129404.0,1531608.0,1531608.0
2005-01-01,,,,57465.0,1741740.0,1741740.0,83.0,1160.28,1160.28,3011.0,91251.92,91251.92,3461.0,104891.08,104891.08,48418.0,1467534.6,1467534.6
2005-02-01,,,,193236.0,2435186.0,2435186.0,21.0,316.44,316.44,1137.0,14333.56,14333.56,12531.0,157914.45,157914.45,22853.0,287991.9,287991.9
2005-03-01,,,,223174.0,2629614.0,2629614.0,0.0,0.0,0.0,1018.0,11995.42,11995.42,13996.0,164916.39,164916.39,37460.0,441378.0,441378.0
2005-04-01,,,,112641.0,2618486.0,2618486.0,0.0,0.0,0.0,203.0,4723.16,4723.16,0.0,0.0,0.0,5827.0,135456.3,135456.3
2005-05-01,,,,240788.0,2837328.0,2837328.0,0.0,0.0,0.0,233.0,2637.0,2637.0,9993.0,113620.33,113620.33,10025.0,113003.1,113003.1
2005-06-01,,,,250065.0,3055364.0,3055364.0,460.0,5860.0,5860.0,3913.0,47805.88,47805.88,15939.0,194746.22,194746.22,115367.0,1409587.2,1409587.2
2005-07-01,,,,278676.0,3286192.0,3286192.0,1742.0,23779.88,23779.88,3695.0,43569.1,43569.1,15774.0,186007.7,186007.7,209327.0,2468415.6,2468415.6
2005-08-01,,,,234043.0,2792270.0,2792270.0,626.0,6135.42,6135.42,3818.0,45549.78,45549.78,18942.0,225990.24,225990.24,185926.0,2218204.8,2218204.8
2005-09-01,,,,248220.0,2968082.0,2968082.0,0.0,0.0,0.0,5448.0,65139.76,65139.76,14066.0,168191.79,168191.79,114532.0,1369512.9,1369512.9
2005-10-01,,,,255010.0,2989740.0,2989740.0,0.0,0.0,0.0,9871.0,115723.28,115723.28,4187.0,49089.8,49089.8,51728.0,606456.9,606456.9
2005-11-01,,,,133464.0,2122224.0,2122224.0,449.0,6141.28,6141.28,5147.0,81846.62,81846.62,3626.0,57662.49,57662.49,53299.0,847513.8,847513.8
2005-12-01,,,,127770.0,1617954.0,1617954.0,0.0,0.0,0.0,12990.0,164496.06,164496.06,2049.0,25952.91,25952.91,89651.0,1135253.7,1135253.7
2006-01-01,,,,200482.0,2480400.0,2480400.0,193.0,2672.0,2672.0,1352.0,16724.0,16724.0,11127.0,137663.0,137663.0,9178.0,113551.0,113551.0
2006-02-01,,,,242738.0,2860206.0,2860206.0,92.0,1248.0,1248.0,349.0,4108.0,4108.0,11087.0,130637.0,130637.0,12158.0,143262.0,143262.0
2006-03-01,,,,258444.0,2957048.0,2957048.0,6.0,158.0,158.0,438.0,5010.0,5010.0,23241.0,265919.0,265919.0,3985.0,45597.0,45597.0
2006-04-01,,,,226199.0,2527063.0,2527063.0,0.0,59.0,59.0,772.0,8626.0,8626.0,21388.0,238938.0,238938.0,-3304.0,0.0,0.0
2006-05-01,,,,211328.0,2483433.0,2483433.0,87.0,1288.0,1288.0,629.0,7389.0,7389.0,19763.0,232250.0,232250.0,24.0,279.0,279.0
2006-06-01,,,,229043.0,2748457.0,2748457.0,100.0,1288.0,1288.0,956.0,11472.0,11472.0,24480.0,293626.0,293626.0,4895.0,58708.0,58708.0
2006-07-01,,,,263885.0,3171197.0,3171197.0,106.0,1601.0,1601.0,1809.0,21738.0,21738.0,29818.0,358329.0,358329.0,58801.0,706631.0,706631.0
2006-08-01,,,,219694.0,2954295.0,2954295.0,891.0,13340.0,13340.0,2187.0,16066.0,16066.0,21492.0,289007.0,289007.0,37263.0,501088.0,501088.0
2006-09-01,,,,98924.0,1349791.0,1349791.0,100.0,1549.0,1549.0,647.0,8833.0,8833.0,16133.0,220124.0,220124.0,16455.0,224531.0,224531.0
2006-10-01,,,,146658.0,1728641.0,1728641.0,0.0,0.0,0.0,326.0,3845.0,3845.0,14726.0,173574.0,173574.0,-4308.0,0.0,0.0
2006-11-01,,,,191365.0,2335352.0,2335352.0,0.0,0.0,0.0,997.0,12163.0,12163.0,13337.0,162761.0,162761.0,13592.0,165873.0,165873.0
2006-12-01,,,,209474.0,2559266.0,2559266.0,0.0,0.0,0.0,549.0,6711.0,6711.0,10045.0,122729.0,122729.0,9963.0,121728.0,121728.0
2007-01-01,,,,189648.802,2346104.0,2346104.0,92.0,1189.0,1189.0,912.845,11293.0,11293.0,16314.936000000002,201829.0,201829.0,17424.418,215554.0,215554.0
2007-02-01,,,,210613.634,2512312.0,2512312.0,0.0,46.0,46.0,2217.205,26448.0,26448.0,18426.832000000002,219805.0,219805.0,101087.33,1205824.0,1205824.0
2007-03-01,,,,208163.832,2429727.0,2429727.0,69.0,644.0,644.0,127.705,1491.0,1491.0,12465.694,145502.0,145502.0,37559.769,438405.0,438405.0
2007-04-01,,,,237234.169,2647252.0,2647252.0,2.0,70.0,70.0,466.232,5203.0,5203.0,11869.427,132449.0,132449.0,5782.1720000000005,64522.0,64522.0
2007-05-01,,,,241533.597,2778297.0,2778297.0,0.0,23.0,23.0,285.897,3289.0,3289.0,22746.935,261652.0,261652.0,291.571,3354.0,3354.0
2007-06-01,,,,248941.656,2849480.0,2849480.0,51.0,1009.0,1009.0,923.2270000000001,10568.0,10568.0,26672.213,305300.0,305300.0,16223.904,185705.0,185705.0
2007-07-01,,,,227252.326,2717345.0,2717345.0,0.0,23.0,23.0,1379.9830000000002,16501.0,16501.0,33380.142,399139.0,399139.0,33481.549,400352.0,400352.0
2007-08-01,,,,250520.524,2944790.0,2944790.0,482.0,6705.0,6705.0,1546.872,18183.0,18183.0,90447.89,1063187.0,1063187.0,20900.714,245681.0,245681.0
2007-09-01,,,,229723.225,2667119.0,2667119.0,218.0,3468.0,3468.0,971.6510000000001,11281.0,11281.0,23448.495,272240.0,272240.0,20580.629,238944.0,238944.0
2007-10-01,,,,208007.036,2723708.0,2723708.0,0.0,17.0,17.0,1072.3590000000002,14042.0,14042.0,37587.673,492184.0,492184.0,9749.932,127669.0,127669.0
2007-11-01,,,,72256.662,883447.0,883447.0,0.0,0.0,0.0,99.145,1212.0,1212.0,10529.209,128736.0,128736.0,1131.9840000000002,13840.0,13840.0
2007-12-01,,,,25399.428,369683.0,369683.0,591.0,7807.0,7807.0,764.711,11130.0,11130.0,8765.998,127587.0,127587.0,1160.863,16896.0,16896.0
2008-01-01,,,,51901.052,751546.0,751546.0,35.0,603.0,603.0,1355.837,19633.0,19633.0,12785.341,185136.0,185136.0,4526.771000000001,65549.0,65549.0
2008-02-01,,,,107180.40000000001,1288839.0,1288839.0,0.0,0.0,0.0,320.267,3851.0,3851.0,14213.115,170912.0,170912.0,12896.218,155076.0,155076.0
2008-03-01,,,,152235.492,1870619.0,1870619.0,0.0,0.0,0.0,1061.096,13038.0,13038.0,18934.977,232667.0,232667.0,1468.4350000000002,18044.0,18044.0
2008-04-01,,,,177884.885,2071679.0,2071679.0,0.0,93.0,93.0,742.046,8642.0,8642.0,16794.069,195587.0,195587.0,0.0,0.0,0.0
2008-05-01,,,,214705.283,2521323.0,2521323.0,166.0,2343.0,2343.0,233.122,2738.0,2738.0,19345.595,227179.0,227179.0,0.0,0.0,0.0
2008-06-01,,,,245255.44,2880748.0,2880748.0,214.0,2053.0,2053.0,580.696,6821.0,6821.0,31847.028,374072.0,374072.0,12954.837,152166.0,152166.0
2008-07-01,,,,222765.046,2712670.0,2712670.0,16.0,261.0,261.0,1119.298,13630.0,13630.0,57194.135,696468.0,696468.0,7882.521000000001,95988.0,95988.0
2008-08-01,,,,145373.302,1831664.0,1831664.0,0.0,0.0,0.0,398.644,5023.0,5023.0,19569.032,246564.0,246564.0,1820.0220000000002,22932.0,22932.0
2008-09-01,,,,197209.633,2510156.0,2510156.0,487.0,7053.0,7053.0,594.2,7563.0,7563.0,21046.015,267881.0,267881.0,91.152,1160.0,1160.0
2008-10-01,,,,111389.743,1414430.0,1414430.0,0.0,0.0,0.0,802.991,10196.0,10196.0,14552.267,184785.0,184785.0,0.0,0.0,0.0
2008-11-01,,,,76830.597,934608.0,934608.0,364.0,5063.0,5063.0,258.9,3149.0,3149.0,11375.057,138372.0,138372.0,318.445,3874.0,3874.0
2008-12-01,,,,148596.715,1895550.0,1895550.0,60.0,487.0,487.0,477.41,6090.0,6090.0,11016.572,140531.0,140531.0,8088.304,103177.0,103177.0
2009-01-01,,,,205819.332,2574640.0,2574640.0,115.0,1589.0,1589.0,1516.625,18972.0,18972.0,18412.209000000003,230322.0,230322.0,63321.834,792107.0,792107.0
2009-02-01,,,,137824.38,1783723.0,1783723.0,1.0,29.0,29.0,605.903,7842.0,7842.0,15995.717,207017.0,207017.0,0.0,0.0,0.0
2009-03-01,,,,170335.278,2319277.0,2319277.0,8.0,197.0,197.0,280.289,3816.0,3816.0,16387.619,223133.0,223133.0,3138.8140000000003,42738.0,42738.0
2009-04-01,,,,119556.944,1550123.0,1550123.0,0.0,180.0,180.0,727.82,9437.0,9437.0,35436.096,459449.0,459449.0,2347.14,30432.0,30432.0
2009-05-01,,,,209946.539,2843014.0,2843014.0,0.0,0.0,0.0,0.0,0.0,0.0,16658.461,225582.0,225582.0,0.0,0.0,0.0
2009-06-01,,,,170495.854,2322367.0,2322367.0,0.0,0.0,0.0,512.244,6977.0,6977.0,14841.902,202165.0,202165.0,0.0,0.0,0.0
2009-07-01,,,,189167.656,2415158.0,2415158.0,69.0,1038.0,1038.0,199.886,2552.0,2552.0,17200.458,219603.0,219603.0,0.0,0.0,0.0
2009-08-01,,,,177793.676,2287957.0,2287957.0,0.0,0.0,0.0,732.402,9425.0,9425.0,27589.298000000003,355036.0,355036.0,7151.624000000001,92031.0,92031.0
2009-09-01,,,,19097.675000000003,335447.0,335447.0,0.0,23.0,23.0,360.029,6324.0,6324.0,4178.296,73391.0,73391.0,0.0,0.0,0.0
2009-10-01,,,,62940.396,860110.0,860110.0,0.0,47.0,47.0,147.69,2018.0,2018.0,7443.914000000001,101725.0,101725.0,0.0,0.0,0.0
2009-11-01,,,,41906.585,603107.0,603107.0,1.0,94.0,94.0,138.61100000000002,1995.0,1995.0,5869.804,84476.0,84476.0,0.0,0.0,0.0
2009-12-01,,,,254208.474,2927933.0,2927933.0,0.0,0.0,0.0,696.341,8020.0,8020.0,20116.185,231695.0,231695.0,0.0,0.0,0.0
2010-01-01,,,,247256.379,2772931.0,2772931.0,0.0,0.0,0.0,554.495,6219.0,6219.0,21390.126,239886.0,239886.0,0.0,0.0,0.0
2010-02-01,,,,226166.306,2605725.0,2605725.0,0.0,0.0,0.0,155.881,1796.0,1796.0,19638.813000000002,226264.0,226264.0,0.0,0.0,0.0
2010-03-01,,,,52473.911,682589.0,682589.0,0.0,0.0,0.0,0.0,0.0,0.0,7831.089,101868.0,101868.0,0.0,0.0,0.0
2010-04-01,,,,26357.092,383645.0,383645.0,2.0,82.0,82.0,256.014,3726.0,3726.0,5386.894,78410.0,78410.0,0.0,0.0,0.0
2010-05-01,,,,103375.424,1276203.0,1276203.0,4.0,58.0,58.0,488.136,6026.0,6026.0,10566.464,130446.0,130446.0,36.976,456.0,456.0
2010-06-01,,,,251368.783,2944941.0,2944941.0,119.0,2053.0,2053.0,161.285,1890.0,1890.0,41651.668,487975.0,487975.0,6543.264,76658.0,76658.0
2010-07-01,,,,251921.478,3141851.0,3141851.0,809.0,10700.0,10700.0,1510.867,18843.0,18843.0,121682.435,1517568.0,1517568.0,29939.22,373388.0,373388.0
2010-08-01,,,,189676.565,2433478.0,2433478.0,207.0,2907.0,2907.0,2471.847,31713.0,31713.0,68398.407,877525.0,877525.0,15382.181,197348.0,197348.0
2010-09-01,,,,87475.487,1205489.0,1205489.0,121.0,1773.0,1773.0,1413.165,19475.0,19475.0,31158.501,429391.0,429391.0,5960.847000000001,82146.0,82146.0
2010-10-01,,,,22136.953,454761.0,454761.0,0.0,0.0,0.0,456.53400000000005,9379.0,9379.0,4273.513,87791.0,87791.0,0.0,0.0,0.0
2010-11-01,,,,591.008,105926.0,105926.0,0.0,0.0,0.0,71.775,12864.0,12864.0,295.65500000000003,52990.0,52990.0,0.562,101.0,101.0
2010-12-01,,,,158428.18,1869911.0,1869911.0,198.0,2065.0,2065.0,775.678,9155.0,9155.0,17097.142,201796.0,201796.0,0.0,0.0,0.0
2011-01-01,,,,183843.86,2177165.0,2177165.0,0.0,848.0,848.0,1071.453,12689.0,12689.0,19870.425,235315.0,235315.0,79.266,939.0,939.0
2011-02-01,,,,76781.386,1041497.0,1041497.0,0.0,76.0,76.0,605.078,8208.0,8208.0,11242.536,152499.0,152499.0,0.0,0.0,0.0
2011-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6514.0,50316.0,50316.0,0.0,0.0,0.0
2011-04-01,,,,30226.823,421148.0,421148.0,0.0,0.0,0.0,118.823,1656.0,1656.0,4599.354,64082.0,64082.0,0.0,0.0,0.0
