measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2016-01-01,334.966,3092.0,3092.0
2016-02-01,291.41,2690.0,2690.0
2016-03-01,470.565,4344.0,4344.0
2016-04-01,518.769,4789.0,4789.0
2016-05-01,458.988,4237.0,4237.0
2016-06-01,591.076,5457.0,5457.0
2016-07-01,558.813,5159.0,5159.0
2016-08-01,542.587,5009.0,5009.0
2016-09-01,407.842,3765.0,3765.0
2016-10-01,399.776,3691.0,3691.0
2016-11-01,359.068,3315.0,3315.0
2016-12-01,261.14,2411.0,2411.0
2017-01-01,185.772,1712.0,1712.0
2017-02-01,340.471,3137.0,3137.0
2017-03-01,432.859,3988.0,3988.0
2017-04-01,451.054,4156.0,4156.0
2017-05-01,486.28,4480.0,4480.0
2017-06-01,554.574,5109.0,5109.0
2017-07-01,542.693,5000.0,5000.0
2017-08-01,542.444,4998.0,4998.0
2017-09-01,462.685,4263.0,4263.0
2017-10-01,293.945,2708.0,2708.0
2017-11-01,304.995,2810.0,2810.0
2017-12-01,200.228,1845.0,1845.0
2018-01-01,270.338,2461.0,2461.0
2018-02-01,251.271,2288.0,2288.0
2018-03-01,421.496,3837.0,3837.0
2018-04-01,419.422,3818.0,3818.0
2018-05-01,485.63,4421.0,4421.0
2018-06-01,539.394,4911.0,4911.0
2018-07-01,574.093,5227.0,5227.0
2018-08-01,499.111,4544.0,4544.0
2018-09-01,330.879,3012.0,3012.0
2018-10-01,305.513,2781.0,2781.0
2018-11-01,237.63,2163.0,2163.0
2018-12-01,226.223,2060.0,2060.0
2019-01-01,263.491,2346.0,2346.0
2019-02-01,315.341,2808.0,2808.0
2019-03-01,444.39,3957.0,3957.0
2019-04-01,422.047,3758.0,3758.0
2019-05-01,461.263,4108.0,4108.0
2019-06-01,502.789,4477.0,4477.0
2019-07-01,563.423,5017.0,5017.0
2019-08-01,505.332,4500.0,4500.0
2019-09-01,432.91,3855.0,3855.0
2019-10-01,310.41,2764.0,2764.0
2019-11-01,297.467,2649.0,2649.0
2019-12-01,185.137,1649.0,1649.0
2020-01-01,250.818,2199.0,2199.0
2020-02-01,281.794,2470.0,2470.0
2020-03-01,403.594,3538.0,3538.0
2020-04-01,419.694,3679.0,3679.0
2020-05-01,549.266,4815.0,4815.0
2020-06-01,576.579,5055.0,5055.0
2020-07-01,543.048,4761.0,4761.0
2020-08-01,469.213,4114.0,4114.0
2020-09-01,431.13,3780.0,3780.0
2020-10-01,311.328,2729.0,2729.0
2020-11-01,285.68,2505.0,2505.0
2020-12-01,197.856,1735.0,1735.0
2021-01-01,256.236,2266.0,2266.0
2021-02-01,152.591,1350.0,1350.0
2021-03-01,500.327,4425.0,4425.0
2021-04-01,493.37,4363.0,4363.0
2021-05-01,558.071,4936.0,4936.0
2021-06-01,555.752,4915.0,4915.0
2021-07-01,533.953,4722.0,4722.0
2021-08-01,467.05,4131.0,4131.0
2021-09-01,421.945,3732.0,3732.0
2021-10-01,338.112,2990.0,2990.0
2021-11-01,292.312,2585.0,2585.0
2021-12-01,262.281,2320.0,2320.0
2022-01-01,254.68,869.0,869.0
2022-02-01,310.901,1061.0,1061.0
2022-03-01,416.43,1421.0,1421.0
2022-04-01,492.824,1682.0,1682.0
2022-05-01,505.599,1725.0,1725.0
2022-06-01,523.955,1788.0,1788.0
2022-07-01,533.043,1819.0,1819.0
2022-08-01,546.253,1864.0,1864.0
2022-09-01,456.879,1559.0,1559.0
2022-10-01,378.489,1291.0,1291.0
2022-11-01,300.917,1027.0,1027.0
2022-12-01,228.03,778.0,778.0
2023-01-01,140.0,478.0,478.0
2023-02-01,273.0,931.0,931.0
2023-03-01,380.0,1297.0,1297.0
2023-04-01,387.0,1320.0,1320.0
2023-05-01,585.0,1996.0,1996.0
2023-06-01,457.0,1559.0,1559.0
2023-07-01,508.0,1733.0,1733.0
2023-08-01,501.0,1709.0,1709.0
2023-09-01,360.0,1228.0,1228.0
2023-10-01,334.0,1140.0,1140.0
2023-11-01,271.0,925.0,925.0
2023-12-01,167.0,570.0,570.0
2024-01-01,115.0,392.0,392.0
2024-02-01,251.0,856.0,856.0
2024-03-01,381.0,1300.0,1300.0
2024-04-01,411.0,1402.0,1402.0
2024-05-01,436.0,1488.0,1488.0
2024-06-01,486.0,1658.0,1658.0
2024-07-01,489.0,1668.0,1668.0
2024-08-01,444.0,1515.0,1515.0
2024-09-01,374.0,1276.0,1276.0
2024-10-01,362.0,1235.0,1235.0
2024-11-01,215.0,734.0,734.0
2024-12-01,147.0,502.0,502.0
