measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,81.0,1085.0,1085.0
2003-02-01,650.0,10307.0,10307.0
2003-03-01,264.0,4230.0,4230.0
2003-04-01,0.0,0.0,0.0
2003-05-01,25.0,478.0,478.0
2003-06-01,53.0,820.0,820.0
2003-07-01,0.0,0.0,0.0
2003-08-01,35.0,549.0,549.0
2003-09-01,0.0,0.0,0.0
2003-10-01,1.0,12.0,12.0
2003-11-01,0.0,0.0,0.0
2003-12-01,95.0,1392.0,1392.0
2004-01-01,259.40700000000004,4155.0,4155.0
2004-02-01,107.525,1722.0,1722.0
2004-03-01,33.146,531.0,531.0
2004-04-01,62.94,1008.0,1008.0
2004-05-01,121.372,1944.0,1944.0
2004-06-01,45.057,722.0,722.0
2004-07-01,23.822000000000003,382.0,382.0
2004-08-01,23.187,371.0,371.0
2004-09-01,9.91,159.0,159.0
2004-10-01,9.308,149.0,149.0
2004-11-01,15.54,249.0,249.0
2004-12-01,155.787,2495.0,2495.0
2005-01-01,219.721,3505.48,3505.48
2005-02-01,50.575,806.89,806.89
2005-03-01,43.4,692.41,692.41
2005-04-01,43.424,692.8,692.8
2005-05-01,43.782000000000004,698.52,698.52
2005-06-01,53.036,846.16,846.16
2005-07-01,100.445,1602.53,1602.53
2005-08-01,88.965,1419.37,1419.37
2005-09-01,49.502,789.77,789.77
2005-10-01,69.403,1107.27,1107.27
2005-11-01,46.733000000000004,745.59,745.59
2005-12-01,128.012,2042.34,2042.34
2006-01-01,60.525,1005.0,1005.0
2006-02-01,31.671000000000003,526.0,526.0
2006-03-01,26.604000000000003,442.0,442.0
2006-04-01,50.961000000000006,846.0,846.0
2006-05-01,47.635,791.0,791.0
2006-06-01,43.297000000000004,719.0,719.0
2006-07-01,62.717000000000006,1041.0,1041.0
2006-08-01,60.835,1010.0,1010.0
2006-09-01,27.949,464.0,464.0
2006-10-01,29.523,490.0,490.0
2006-11-01,34.764,577.0,577.0
2006-12-01,38.519,639.0,639.0
2007-01-01,20.275,334.0,334.0
2007-02-01,79.919,1311.0,1311.0
2007-03-01,42.442,696.0,696.0
2007-04-01,8.095,135.0,135.0
2007-05-01,10.761000000000001,176.0,176.0
2007-06-01,34.038000000000004,556.0,556.0
2007-07-01,18.581,304.0,304.0
2007-08-01,22.238,363.0,363.0
2007-09-01,14.678,240.0,240.0
2007-10-01,9.5,158.0,158.0
2007-11-01,6.5840000000000005,105.0,105.0
2007-12-01,15.89,263.0,263.0
2008-01-01,49.513000000000005,803.0,803.0
2008-02-01,39.63,639.0,639.0
2008-03-01,12.921000000000001,211.0,211.0
2008-04-01,8.89,147.0,147.0
2008-05-01,9.121,147.0,147.0
2008-06-01,36.74,592.0,592.0
2008-07-01,17.131,276.0,276.0
2008-08-01,10.63,170.0,170.0
2008-09-01,13.253,217.0,217.0
2008-10-01,6.228000000000001,100.0,100.0
2008-11-01,13.347000000000001,217.0,217.0
2008-12-01,25.596,416.0,416.0
2009-01-01,63.32,1015.0,1015.0
2009-02-01,12.213000000000001,198.0,198.0
2009-03-01,15.005,239.0,239.0
2009-04-01,5.618,88.0,88.0
2009-05-01,5.323,88.0,88.0
2009-06-01,4.71,76.0,76.0
2009-07-01,7.392,117.0,117.0
2009-08-01,6.332000000000001,99.0,99.0
2009-09-01,4.042,64.0,64.0
2009-10-01,4.206,70.0,70.0
2009-11-01,4.9830000000000005,82.0,82.0
2009-12-01,4.856,76.0,76.0
2010-01-01,39.179,683.0,683.0
2010-02-01,12.567,216.0,216.0
2010-03-01,12.583,216.0,216.0
2010-04-01,9.358,163.0,163.0
2010-05-01,10.417,181.0,181.0
2010-06-01,22.321,385.0,385.0
2010-07-01,69.212,1197.0,1197.0
2010-08-01,28.13,485.0,485.0
2010-09-01,12.765,222.0,222.0
2010-10-01,8.169,140.0,140.0
2010-11-01,8.739,152.0,152.0
2010-12-01,29.560000000000002,514.0,514.0
2011-01-01,143.682,2322.0,2322.0
2011-02-01,54.661,887.0,887.0
2011-03-01,103.153,1674.0,1674.0
2011-04-01,92.649,1505.0,1505.0
2011-05-01,136.622,2217.0,2217.0
2011-06-01,82.942,1348.0,1348.0
2011-07-01,165.212,2678.0,2678.0
2011-08-01,55.163,893.0,893.0
2011-09-01,53.213,863.0,863.0
2011-10-01,59.334,963.0,963.0
2011-11-01,51.667,840.0,840.0
2011-12-01,54.702,887.0,887.0
2012-01-01,25.841,448.0,448.0
2012-02-01,18.441,326.0,326.0
2012-03-01,17.033,303.0,303.0
2012-04-01,23.552,419.0,419.0
2012-05-01,40.661,722.0,722.0
2012-06-01,32.19,571.0,571.0
2012-07-01,69.605,1228.0,1228.0
2012-08-01,25.531,454.0,454.0
2012-09-01,28.589,507.0,507.0
2012-10-01,21.501,378.0,378.0
2012-11-01,37.455,664.0,664.0
2012-12-01,29.601,524.0,524.0
2013-01-01,69.616,1178.0,1178.0
2013-02-01,20.262,344.0,344.0
2013-03-01,16.767,286.0,286.0
2013-04-01,27.924,472.0,472.0
2013-05-01,26.315,443.0,443.0
2013-06-01,21.671,367.0,367.0
2013-07-01,53.451,904.0,904.0
2013-08-01,27.535,467.0,467.0
2013-09-01,19.53,332.0,332.0
2013-10-01,22.865,385.0,385.0
2013-11-01,21.698,367.0,367.0
2013-12-01,47.366,805.0,805.0
2014-01-01,581.027,9241.0,9241.0
2014-02-01,69.648,1110.0,1110.0
2014-03-01,85.077,1352.0,1352.0
2014-04-01,20.437,324.0,324.0
2014-05-01,54.207,861.0,861.0
2014-06-01,24.42,387.0,387.0
2014-07-01,37.303,595.0,595.0
2014-08-01,33.027,526.0,526.0
2014-09-01,29.909,474.0,474.0
2014-10-01,18.278,289.0,289.0
2014-11-01,35.563,566.0,566.0
2014-12-01,51.104,815.0,815.0
2015-01-01,14.251,248.0,248.0
