measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,141.0,1183.0,1183.0,78116.0,656008.0,656008.0
2003-02-01,,,,5.0,46.0,46.0,0.0,0.0,0.0,71377.0,596309.0,596309.0
2003-03-01,,,,0.0,0.0,0.0,100.0,841.0,841.0,52678.0,444370.0,444370.0
2003-04-01,,,,0.0,0.0,0.0,72.0,592.0,592.0,76539.0,633002.0,633002.0
2003-05-01,,,,0.0,0.0,0.0,207.0,1746.0,1746.0,39685.0,335330.0,335330.0
2003-06-01,,,,0.0,0.0,0.0,465.0,4072.0,4072.0,31887.0,279317.0,279317.0
2003-07-01,,,,4.0,46.0,46.0,0.0,0.0,0.0,75204.0,628762.0,628762.0
2003-08-01,,,,20.0,191.0,191.0,48.0,394.0,394.0,74695.0,615559.0,615559.0
2003-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,47405.0,397104.0,397104.0
2003-10-01,,,,0.0,0.0,0.0,144.0,1241.0,1241.0,57821.0,499668.0,499668.0
2003-11-01,,,,0.0,0.0,0.0,59.0,499.0,499.0,63554.0,538471.0,538471.0
2003-12-01,,,,0.0,0.0,0.0,93.0,974.0,974.0,43567.0,372135.0,372135.0
