measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,,,,595.0,5375.0,5375.0
2003-02-01,,,,,,,,,,291.0,7304.0,7304.0
2003-03-01,,,,,,,,,,485.0,7264.0,7264.0
2003-04-01,,,,,,,,,,569.0,4777.0,4777.0
2003-07-01,,,,,,,,,,565.0,8612.0,8612.0
2003-08-01,,,,,,,,,,455.0,7067.0,7067.0
2003-09-01,,,,,,,,,,761.0,12927.0,12927.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0
2003-12-01,,,,,,,,,,-37.0,0.0,0.0
2004-01-01,,,,,,,,,,5795.911,89220.0,89220.0
2004-02-01,,,,,,,,,,347.39300000000003,5348.0,5348.0
2004-03-01,,,,,,,,,,29.795,459.0,459.0
2004-04-01,,,,,,,,,,50.926,784.0,784.0
2004-05-01,,,,,,,,,,171.161,2635.0,2635.0
2004-06-01,,,,,,,,,,97.308,1498.0,1498.0
2004-07-01,,,,,,,,,,40.466,623.0,623.0
2004-08-01,,,,,,,,,,231.70100000000002,3567.0,3567.0
2004-09-01,,,,,,,,,,37.507000000000005,577.0,577.0
2004-10-01,,,,,,,,,,9.509,146.0,146.0
2004-11-01,,,,,,,,,,7.079000000000001,109.0,109.0
2004-12-01,,,,,,,,,,1045.2440000000001,16090.0,16090.0
2005-01-01,,,,,,,,,,2804.315,43961.29,43961.29
2005-02-01,,,,,,,,,,645.498,10119.02,10119.02
2005-03-01,,,,,,,,,,553.915,8683.34,8683.34
2005-04-01,,,,,,,,,,554.229,8688.26,8688.26
2005-05-01,,,,,,,,,,558.799,8759.9,8759.9
2005-06-01,,,,,,,,,,676.908,10611.41,10611.41
2005-07-01,,,,,,,,,,1281.987,20096.81,20096.81
2005-08-01,,,,,,,,,,1135.467,17799.92,17799.92
2005-09-01,,,,,,,,,,631.8,9904.29,9904.29
2005-10-01,,,,,,,,,,885.7940000000001,13885.97,13885.97
2005-11-01,,,,,,,,,,596.4580000000001,9350.26,9350.26
2005-12-01,,,,,,,,,,1633.83,25612.42,25612.42
2006-01-01,,,,,,,,,,1262.092,22288.0,22288.0
