measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2017-01-01,0.0,0.0,0.0,1908.236,19678.0,19678.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,1619.136,16698.0,16698.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,2385.544,24602.0,24602.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,1754.478,18093.0,18093.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,1944.344,20052.0,20052.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,2484.238,25619.0,25619.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,2872.505,29624.0,29624.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,2558.107,26381.0,26381.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,2268.816,23398.0,23398.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,2034.404,20980.0,20980.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,1549.112,15975.0,15975.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,1921.08,19812.0,19812.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,1063.18,14007.0,16769.0,12.388,113.0,113.0
2018-02-01,0.0,0.0,0.0,1450.978,19116.0,22885.0,11.514,105.0,105.0
2018-03-01,0.0,0.0,0.0,1719.397,22652.0,27118.0,19.314,176.0,176.0
2018-04-01,0.0,0.0,0.0,1599.948,21079.0,25235.0,19.219,175.0,175.0
2018-05-01,0.0,0.0,0.0,1574.412,20742.0,24832.0,22.253,203.0,203.0
2018-06-01,0.0,0.0,0.0,1788.422,23562.0,28207.0,24.717,225.0,225.0
2018-07-01,0.0,0.0,0.0,2642.64,34816.0,41680.0,26.307,239.0,239.0
2018-08-01,0.0,0.0,0.0,2603.605,34301.0,41064.0,22.871,208.0,208.0
2018-09-01,0.0,0.0,0.0,2221.535,29268.0,35038.0,15.162,138.0,138.0
2018-10-01,0.0,0.0,0.0,1789.736,23579.0,28228.0,14.0,127.0,127.0
2018-11-01,0.0,0.0,0.0,1519.658,20021.0,23968.0,10.889,99.0,99.0
2018-12-01,0.0,0.0,0.0,1665.489,21942.0,26268.0,10.366,94.0,94.0
2019-01-01,0.0,0.0,0.0,1527.046,18069.0,21065.0,12.827,114.0,114.0
2019-02-01,0.0,0.0,0.0,1514.947,17926.0,20897.0,15.351,137.0,137.0
2019-03-01,0.0,0.0,0.0,1442.484,17069.0,19897.0,21.634,193.0,193.0
2019-04-01,0.0,0.0,0.0,1674.386,19813.0,23096.0,20.546,183.0,183.0
2019-05-01,0.0,0.0,0.0,1476.084,17466.0,20361.0,22.455,200.0,200.0
2019-06-01,0.0,0.0,0.0,1820.384,21540.0,25111.0,24.477,218.0,218.0
2019-07-01,0.0,0.0,0.0,2436.994,28837.0,33616.0,27.429,244.0,244.0
2019-08-01,0.0,0.0,0.0,2283.215,27017.0,31494.0,24.601,219.0,219.0
2019-09-01,0.0,0.0,0.0,1815.174,21479.0,25039.0,21.075,188.0,188.0
2019-10-01,0.0,0.0,0.0,1770.15,20946.0,24417.0,15.111,135.0,135.0
2019-11-01,0.0,0.0,0.0,1722.179,20378.0,23756.0,14.481,129.0,129.0
2019-12-01,0.0,0.0,0.0,1702.957,20151.0,23490.0,9.013,80.0,80.0
2020-01-01,0.0,0.0,0.0,1670.841,18049.0,18049.0,12.116,106.0,106.0
2020-02-01,0.0,0.0,0.0,1464.979,15822.0,15822.0,13.612,119.0,119.0
2020-03-01,0.0,0.0,0.0,1486.659,16057.0,16057.0,19.496,171.0,171.0
2020-04-01,0.0,0.0,0.0,1351.357,14595.0,14595.0,20.273,178.0,178.0
2020-05-01,0.0,0.0,0.0,1141.753,12332.0,12332.0,26.532,233.0,233.0
2020-06-01,0.0,0.0,0.0,1897.552,20495.0,20495.0,27.852,244.0,244.0
2020-07-01,0.0,0.0,0.0,2893.592,31253.0,31253.0,26.232,230.0,230.0
2020-08-01,0.0,0.0,0.0,2534.518,27375.0,27375.0,22.665,199.0,199.0
2020-09-01,0.0,0.0,0.0,1602.887,17312.0,17312.0,20.826,183.0,183.0
2020-10-01,0.0,0.0,0.0,1767.943,19095.0,19095.0,15.039,132.0,132.0
2020-11-01,0.0,0.0,0.0,1552.977,16773.0,16773.0,13.8,121.0,121.0
2020-12-01,0.0,0.0,0.0,1127.942,12182.0,12182.0,9.557,84.0,84.0
2021-01-01,0.0,0.0,0.0,1148.252,16187.0,18653.0,10.022,89.0,89.0
2021-02-01,0.0,0.0,0.0,1320.64,18617.0,21454.0,5.968,53.0,53.0
2021-03-01,0.0,0.0,0.0,1182.27,16666.0,19207.0,19.57,173.0,173.0
2021-04-01,0.0,0.0,0.0,1400.357,19741.0,22750.0,19.298,171.0,171.0
2021-05-01,0.0,0.0,0.0,1468.916,20707.0,23863.0,21.829,193.0,193.0
2021-06-01,0.0,0.0,0.0,2112.282,29776.0,34315.0,21.738,192.0,192.0
2021-07-01,0.0,0.0,0.0,2576.26,36317.0,41852.0,20.885,185.0,185.0
2021-08-01,0.0,0.0,0.0,2701.566,38083.0,43888.0,18.268,162.0,162.0
2021-09-01,0.0,0.0,0.0,1929.872,27205.0,31352.0,16.504,146.0,146.0
2021-10-01,0.0,0.0,0.0,2290.431,32288.0,37209.0,13.225,117.0,117.0
2021-11-01,0.0,0.0,0.0,1872.267,26393.0,30416.0,11.434,101.0,101.0
2021-12-01,0.0,0.0,0.0,1411.887,19903.0,22937.0,10.259,91.0,91.0
2022-01-01,0.0,0.0,0.0,1054.105,12337.0,12853.0,7.591,26.0,26.0
2022-02-01,0.0,0.0,0.0,1377.406,16121.0,16796.0,9.269,32.0,32.0
2022-03-01,0.0,0.0,0.0,1410.594,16509.0,17201.0,12.415,42.0,42.0
2022-04-01,0.0,0.0,0.0,1568.527,18358.0,19127.0,14.692,50.0,50.0
2022-05-01,0.0,0.0,0.0,1743.424,20405.0,21259.0,15.073,51.0,51.0
2022-06-01,0.0,0.0,0.0,2276.927,26649.0,27764.0,15.62,53.0,53.0
2022-07-01,0.0,0.0,0.0,3261.06,38167.0,39766.0,15.891,54.0,54.0
2022-08-01,0.0,0.0,0.0,3160.823,36994.0,38543.0,16.285,56.0,56.0
2022-09-01,0.0,0.0,0.0,2171.963,25420.0,26485.0,13.621,46.0,46.0
2022-10-01,0.0,0.0,0.0,1816.939,21265.0,22156.0,11.284,39.0,39.0
2022-11-01,0.0,0.0,0.0,1701.243,19911.0,20744.0,8.971,31.0,31.0
2022-12-01,0.0,0.0,0.0,1479.989,17322.0,18047.0,6.798,23.0,23.0
2023-01-01,0.0,0.0,0.0,1643.625,15917.0,15917.0,5.0,17.0,17.0
2023-02-01,0.0,0.0,0.0,1083.079,10488.0,10488.0,8.0,27.0,27.0
2023-03-01,0.0,0.0,0.0,1421.752,13768.0,13768.0,12.0,41.0,41.0
2023-04-01,0.0,0.0,0.0,1803.138,17462.0,17462.0,15.0,51.0,51.0
2023-05-01,0.0,0.0,0.0,1935.229,18741.0,18741.0,20.0,68.0,68.0
2023-06-01,0.0,0.0,0.0,1931.318,18703.0,18703.0,16.0,55.0,55.0
2023-07-01,0.0,0.0,0.0,3211.678,31103.0,31103.0,17.0,58.0,58.0
2023-08-01,0.0,0.0,0.0,2716.986,26312.0,26312.0,16.0,55.0,55.0
2023-09-01,0.0,0.0,0.0,1999.868,19367.0,19367.0,12.0,41.0,41.0
2023-10-01,0.0,0.0,0.0,2070.719,20054.0,20054.0,10.0,34.0,34.0
2023-11-01,0.0,0.0,0.0,2166.67,20983.0,20983.0,8.0,27.0,27.0
2023-12-01,0.0,0.0,0.0,1797.938,17411.0,17411.0,5.0,17.0,17.0
2024-01-01,0.0,0.0,0.0,2311.954,23542.0,23542.0,3.0,10.0,10.0
2024-02-01,0.0,0.0,0.0,1756.356,17884.0,17884.0,9.0,31.0,31.0
2024-03-01,0.0,0.0,0.0,1376.64,14017.0,14017.0,8.0,27.0,27.0
2024-04-01,0.0,0.0,0.0,2212.447,22528.0,22528.0,14.0,48.0,48.0
2024-05-01,0.0,0.0,0.0,1600.814,16301.0,16301.0,15.0,51.0,51.0
2024-06-01,0.0,0.0,0.0,2414.113,24582.0,24582.0,3.0,10.0,10.0
2024-07-01,0.0,0.0,0.0,3172.012,32299.0,32299.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,2195.966,22361.0,22361.0,14.0,48.0,48.0
2024-09-01,0.0,0.0,0.0,1705.894,17370.0,17370.0,6.0,20.0,20.0
2024-10-01,0.0,0.0,0.0,2156.657,21960.0,21960.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,1948.534,19841.0,19841.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,1706.613,17377.0,17377.0,0.0,0.0,0.0
