measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,13748.0,168792.0,168792.0,21.0,256.0,256.0,,,,,,,,,
2003-02-01,,,,14821.0,174048.0,174048.0,42.0,496.0,496.0,,,,,,,,,
2003-03-01,,,,16532.0,195127.0,195127.0,56.0,659.0,659.0,,,,,,,,,
2003-04-01,,,,5179.0,62878.0,62878.0,15.0,185.0,185.0,,,,,,,,,
2003-05-01,,,,6304.0,79286.0,79286.0,64.0,920.0,920.0,,,,,,,,,
2003-06-01,,,,7836.0,95645.0,95645.0,79.0,974.0,974.0,,,,,,,,,
2003-07-01,,,,12028.0,150183.0,150183.0,245.0,2937.0,2937.0,,,,,,,,,
2003-08-01,,,,15398.0,190724.0,190724.0,28.0,342.0,342.0,,,,,,,,,
2003-09-01,,,,6987.0,88634.0,88634.0,71.0,682.0,682.0,,,,,,,,,
2003-10-01,,,,3802.0,48979.0,48979.0,38.0,485.0,485.0,,,,,,,,,
2003-11-01,,,,10191.0,131167.0,131167.0,48.0,616.0,616.0,,,,,,,,,
2003-12-01,,,,12565.0,162606.0,162606.0,19.0,243.0,243.0,,,,,,,,,
2004-01-01,,,,12245.213,160726.0,160726.0,137.94,1923.0,1923.0,,,,,,,,,
2004-02-01,,,,10794.237000000001,141681.0,141681.0,70.384,981.0,981.0,,,,,,,,,
2004-03-01,,,,18709.527000000002,245575.0,245575.0,73.199,1021.0,1021.0,,,,,,,,,
2004-04-01,,,,11560.617,151741.0,151741.0,79.069,1102.0,1102.0,,,,,,,,,
2004-05-01,,,,8786.693000000001,115331.0,115331.0,52.392,730.0,730.0,,,,,,,,,
2004-06-01,,,,12396.627,162714.0,162714.0,70.046,977.0,977.0,,,,,,,,,
2004-07-01,,,,12501.538,164091.0,164091.0,81.342,1134.0,1134.0,,,,,,,,,
2004-08-01,,,,12563.26,164901.0,164901.0,59.905,835.0,835.0,,,,,,,,,
2004-09-01,,,,9909.938,130074.0,130074.0,54.516000000000005,760.0,760.0,,,,,,,,,
2004-10-01,,,,7187.548000000001,94341.0,94341.0,67.307,938.0,938.0,,,,,,,,,
2004-11-01,,,,7719.055,101318.0,101318.0,30.448,424.0,424.0,,,,,,,,,
2004-12-01,,,,3743.748,49139.0,49139.0,81.452,1136.0,1136.0,,,,,,,,,
2005-01-01,,,,14143.523000000001,186122.81,186122.81,42.548,608.49,608.49,,,,,,,,,
2005-02-01,,,,12314.286,162050.82,162050.82,34.039,486.79,486.79,,,,,,,,,
2005-03-01,,,,12776.037,168127.27,168127.27,47.235,675.51,675.51,,,,,,,,,
2005-04-01,,,,11385.962,149834.46,149834.46,44.838,641.24,641.24,,,,,,,,,
2005-05-01,,,,12499.498,164488.12,164488.12,42.876000000000005,613.17,613.17,,,,,,,,,
2005-06-01,,,,13921.848,183205.67,183205.67,80.937,1157.5,1157.5,,,,,,,,,
2005-07-01,,,,14716.867,193667.78,193667.78,106.55,1523.79,1523.79,,,,,,,,,
2005-08-01,,,,14880.606,195822.5,195822.5,105.84700000000001,1513.73,1513.73,,,,,,,,,
2005-09-01,,,,13636.835,179455.02,179455.02,64.084,916.47,916.47,,,,,,,,,
2005-10-01,,,,12877.436,169461.64,169461.64,45.439,649.83,649.83,,,,,,,,,
2005-11-01,,,,12554.904,165217.25,165217.25,39.824000000000005,569.53,569.53,,,,,,,,,
2005-12-01,,,,14021.198,184513.06,184513.06,49.783,711.96,711.96,,,,,,,,,
2006-01-01,,,,8863.816,132469.0,132469.0,25.24,407.0,407.0,,,,,,,,,
2006-02-01,,,,8441.812,126162.0,126162.0,28.531000000000002,460.0,460.0,,,,,,,,,
2006-03-01,,,,8625.97,128915.0,128915.0,37.598,607.0,607.0,,,,,,,,,
2006-04-01,,,,7338.78,109678.0,109678.0,31.113000000000003,502.0,502.0,,,,,,,,,
2006-05-01,,,,7842.8060000000005,117210.0,117210.0,40.984,661.0,661.0,,,,,,,,,
2006-06-01,,,,8496.503,126980.0,126980.0,52.792,852.0,852.0,,,,,,,,,
2006-07-01,,,,9664.757,144439.0,144439.0,94.47,1524.0,1524.0,,,,,,,,,
2006-08-01,,,,9734.494,145481.0,145481.0,83.945,1354.0,1354.0,,,,,,,,,
2006-09-01,,,,8088.189,120877.0,120877.0,49.378,797.0,797.0,,,,,,,,,
2006-10-01,,,,8365.958,125029.0,125029.0,53.486000000000004,863.0,863.0,,,,,,,,,
