measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,722748.0,6988226.0,6988226.0,4580.0,54527.0,54527.0,,,
2001-02-01,807211.0,7542612.0,7542612.0,2089.0,16054.0,16054.0,,,
2001-03-01,919343.0,8702550.0,8702550.0,145.0,1131.0,1131.0,,,
2001-04-01,794399.0,7616783.0,7616783.0,5447.0,42962.0,42962.0,,,
2001-05-01,800097.0,7788615.0,7788615.0,3829.0,30659.0,30659.0,,,
2001-06-01,899946.0,8547911.0,8547911.0,131.0,1027.0,1027.0,,,
2001-07-01,915117.0,8843144.0,8843144.0,299.0,2377.0,2377.0,,,
2001-08-01,860165.0,8201535.0,8201535.0,458.0,3589.0,3589.0,,,
2001-09-01,643303.0,6213602.0,6213602.0,4173.0,33158.0,33158.0,,,
2001-10-01,620717.0,5888124.0,5888124.0,8706.0,67932.0,67932.0,,,
2001-11-01,718005.0,7107075.0,7107075.0,4539.0,36961.0,36961.0,,,
2001-12-01,896640.0,8948650.0,8948650.0,241.0,1979.0,1979.0,,,
2002-01-01,919990.0,8680481.0,8680481.0,512.0,4095.0,4095.0,,,
2002-02-01,832777.0,7910544.0,7910544.0,266.0,2111.0,2111.0,,,
2002-03-01,833303.0,8030712.0,8030712.0,3349.0,26459.0,26459.0,,,
2002-04-01,340931.0,3435577.0,3435577.0,8200.0,68359.0,68359.0,,,
2002-05-01,906544.0,8620669.0,8620669.0,366.0,2877.0,2877.0,,,
2002-06-01,874327.0,8399822.0,8399822.0,473.0,3729.0,3729.0,,,
2002-07-01,854886.0,8355095.0,8355095.0,761.0,6003.0,6003.0,,,
2002-08-01,777075.0,7625150.0,7625150.0,3290.0,31912.0,31912.0,,,
2002-09-01,613528.0,6166993.0,6166993.0,6818.0,66677.0,66677.0,,,
2002-10-01,901392.0,8740264.0,8740264.0,4439.0,42897.0,42897.0,,,
2002-11-01,914803.0,9014808.0,9014808.0,152.0,1543.0,1543.0,,,
2002-12-01,936289.0,8289326.0,8289326.0,92.0,812.0,812.0,,,
2003-01-01,952838.0,8921184.0,8921184.0,235.0,2268.0,2268.0,,,
2003-02-01,859821.0,8056416.0,8056416.0,130.0,1259.0,1259.0,,,
2003-03-01,891796.0,8623516.0,8623516.0,479.0,4541.0,4541.0,,,
2003-04-01,9148.0,258191.0,258191.0,4561.0,125251.0,125251.0,,,
2003-05-01,598943.0,5916809.0,5916809.0,8113.0,79866.0,79866.0,,,
2003-06-01,785432.0,7651584.0,7651584.0,3277.0,32074.0,32074.0,,,
2003-07-01,750434.0,7486599.0,7486599.0,10480.0,104191.0,104191.0,,,
2003-08-01,931482.0,9053850.0,9053850.0,123.0,1177.0,1177.0,,,
2003-09-01,894136.0,8697875.0,8697875.0,165.0,1583.0,1583.0,,,
2003-10-01,774579.0,7506886.0,7506886.0,3489.0,33692.0,33692.0,,,
2003-11-01,799846.0,7765822.0,7765822.0,4040.0,39086.0,39086.0,,,
2003-12-01,927515.0,8911310.0,8911310.0,3248.0,31100.0,31100.0,,,
2004-01-01,935927.0,8845937.0,8845937.0,1008.0,9495.0,9495.0,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,492144.0,4973129.0,4973129.0,6473.0,67918.0,67918.0,,,
2004-04-01,929152.0,9101956.0,9101956.0,129.0,1260.0,1260.0,,,
2004-05-01,961277.0,9416683.0,9416683.0,144.0,1397.0,1397.0,,,
2004-06-01,910863.0,9052406.0,9052406.0,159.0,1556.0,1556.0,,,
2004-07-01,959520.0,9533951.0,9533951.0,219.0,2187.0,2187.0,,,
2004-08-01,701382.0,6959702.0,6959702.0,3573.0,36209.0,36209.0,,,
2004-09-01,765281.0,7118207.0,7118207.0,4079.0,37455.0,37455.0,,,
2004-10-01,916482.0,8742471.0,8742471.0,274.0,2604.0,2604.0,,,
2004-11-01,762347.0,7490567.0,7490567.0,5777.0,55586.0,55586.0,,,
2004-12-01,869303.0,8311233.0,8311233.0,3934.0,37136.0,37136.0,,,
2005-01-01,957155.0,9150857.46,9150857.46,203.0,1948.8,1948.8,,,
2005-02-01,875337.0,8303458.44,8303458.44,115.0,1134.25,1134.25,,,
2005-03-01,649045.0,6543286.18,6543286.18,5630.0,57027.86,57027.86,,,
2005-04-01,862161.0,8383003.2,8383003.2,3429.0,33889.11,33889.11,,,
2005-05-01,895458.0,8540591.46,8540591.46,2449.0,23494.67,23494.67,,,
2005-06-01,910019.0,8757767.47,8757767.47,175.0,1703.44,1703.44,,,
2005-07-01,948683.0,9232295.02,9232295.02,183.0,1784.55,1784.55,,,
2005-08-01,956374.0,9328508.93,9328508.93,195.0,1906.23,1906.23,,,
2005-09-01,691633.0,6590331.88,6590331.88,7065.0,67916.99,67916.99,,,
2005-10-01,712091.0,6995232.41,6995232.41,4488.0,44334.49,44334.49,,,
2005-11-01,900873.0,8895224.15,8895224.15,3314.0,33460.43,33460.43,,,
2005-12-01,954373.0,9053859.8,9053859.8,366.0,3512.03,3512.03,,,
2006-01-01,920883.0,8856227.0,8856227.0,1899.0,18319.0,18319.0,,,
2006-02-01,836733.0,8031789.0,8031789.0,1555.0,14827.0,14827.0,,,
2006-03-01,879969.0,8866733.0,8866733.0,1948.0,19494.0,19494.0,,,
2006-04-01,843726.0,8129687.0,8129687.0,1200.0,11392.0,11392.0,,,
2006-05-01,342290.0,3491918.0,3491918.0,7695.0,78194.0,78194.0,,,
2006-06-01,896814.0,8702008.0,8702008.0,1754.0,17064.0,17064.0,,,
2006-07-01,953219.0,9145619.0,9145619.0,182.0,1727.0,1727.0,,,
2006-08-01,729316.0,7171777.0,7171777.0,2271.0,21912.0,21912.0,,,
2006-09-01,907083.0,8672985.0,8672985.0,180.0,1727.0,1727.0,,,
2006-10-01,515666.0,5067643.0,5067643.0,6528.0,64122.0,64122.0,,,
2006-11-01,930478.0,8931923.0,8931923.0,7199.0,68676.0,68676.0,,,
2006-12-01,795224.0,7804516.0,7804516.0,3750.0,36983.0,36983.0,,,
2007-01-01,768403.796,7505829.0,7505829.0,3226.204,31514.0,31514.0,,,
2007-02-01,806748.125,8180787.0,8180787.0,4575.875,46401.0,46401.0,,,
2007-03-01,797717.661,7528169.0,7528169.0,5770.339,54455.0,54455.0,,,
2007-04-01,399174.217,3960082.0,3960082.0,373.783,3708.0,3708.0,,,
2007-05-01,-2250.5,0.0,0.0,-2250.5,0.0,0.0,,,
2007-06-01,574538.696,5704425.0,5704425.0,4594.304,45615.0,45615.0,,,
2007-07-01,947269.873,9132923.0,9132923.0,1196.127,11532.0,11532.0,,,
2007-08-01,953773.772,9433564.0,9433564.0,208.228,2060.0,2060.0,,,
2007-09-01,717065.969,6963339.0,6963339.0,4610.031,44767.0,44767.0,,,
2007-10-01,814903.176,7994613.0,7994613.0,6293.8240000000005,61746.0,61746.0,,,
2007-11-01,763061.355,7359262.0,7359262.0,3149.645,30376.0,30376.0,,,
2007-12-01,730512.408,7247235.0,7247235.0,5811.592000000001,57655.0,57655.0,,,
2008-01-01,874327.151,8564681.0,8564681.0,4600.849,45069.0,45069.0,,,
2008-02-01,785942.56,7698027.0,7698027.0,621.44,6087.0,6087.0,,,
2008-03-01,830069.744,8213526.0,8213526.0,3803.2560000000003,37633.0,37633.0,,,
2008-04-01,779066.65,7771195.0,7771195.0,4007.35,39973.0,39973.0,,,
2008-05-01,866495.26,8539952.0,8539952.0,449.74,4433.0,4433.0,,,
2008-06-01,770408.459,7759254.0,7759254.0,2976.541,29979.0,29979.0,,,
2008-07-01,702997.234,7136276.0,7136276.0,5083.7660000000005,51606.0,51606.0,,,
2008-08-01,651694.198,6583298.0,6583298.0,5459.802000000001,55154.0,55154.0,,,
2008-09-01,648228.283,6558802.0,6558802.0,6077.717000000001,61495.0,61495.0,,,
2008-10-01,772449.353,7431896.0,7431896.0,3544.6470000000004,34104.0,34104.0,,,
2008-11-01,806320.545,6541105.0,6541105.0,808.455,6558.0,6558.0,,,
2008-12-01,860155.247,10296497.0,10296497.0,315.75300000000004,3780.0,3780.0,,,
2009-01-01,766723.757,7682340.0,7682340.0,1248.2430000000002,12507.0,12507.0,,,
2009-02-01,343259.868,3473086.0,3473086.0,5675.1320000000005,57421.0,57421.0,,,
2009-03-01,17289.936999999998,258685.0,258685.0,279.063,4175.0,4175.0,,,
2009-04-01,-3304.0,0.0,0.0,-3304.0,0.0,0.0,,,
2009-05-01,366059.916,3732373.0,3732373.0,9087.084,92653.0,92653.0,,,
2009-06-01,905634.469,8885060.0,8885060.0,1371.5310000000002,13456.0,13456.0,,,
2009-07-01,921942.818,9091205.0,9091205.0,425.182,4193.0,4193.0,,,
2009-08-01,910636.899,9125126.0,9125126.0,442.101,4430.0,4430.0,,,
2009-09-01,708898.193,6952681.0,6952681.0,3190.8070000000002,31295.0,31295.0,,,
2009-10-01,929776.513,9291274.0,9291274.0,506.487,5061.0,5061.0,,,
2009-11-01,885234.49,8730907.0,8730907.0,237.51,2343.0,2343.0,,,
2009-12-01,492481.009,5015756.0,5015756.0,4569.991,46544.0,46544.0,,,
2010-01-01,906989.155,8721658.0,8721658.0,3999.8450000000003,38463.0,38463.0,,,
