measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,188.0,641.0,641.0
2023-02-01,-1.0,0.0,0.0,190.0,648.0,648.0
2023-03-01,-7.0,0.0,0.0,199.0,679.0,679.0
2023-04-01,-4.0,0.0,0.0,175.0,597.0,597.0
2023-05-01,-7.0,0.0,0.0,165.0,563.0,563.0
2023-06-01,-1.0,0.0,0.0,187.0,638.0,638.0
2023-07-01,-4.0,0.0,0.0,192.0,655.0,655.0
2023-08-01,-4.0,0.0,0.0,197.0,672.0,672.0
2023-09-01,-1.0,0.0,0.0,175.0,597.0,597.0
2023-10-01,-5.0,0.0,0.0,176.0,601.0,601.0
2023-11-01,-30.0,0.0,0.0,188.0,641.0,641.0
2023-12-01,-2.0,0.0,0.0,192.0,655.0,655.0
2024-01-01,-5.0,0.0,0.0,65.0,222.0,222.0
2024-02-01,-17.0,0.0,0.0,132.0,450.0,450.0
2024-03-01,-18.0,0.0,0.0,220.0,751.0,751.0
2024-04-01,-17.0,0.0,0.0,197.0,672.0,672.0
2024-05-01,-21.0,0.0,0.0,256.0,873.0,873.0
2024-06-01,-28.0,0.0,0.0,317.0,1082.0,1082.0
2024-07-01,-27.0,0.0,0.0,283.0,966.0,966.0
2024-08-01,-16.0,0.0,0.0,161.0,549.0,549.0
2024-09-01,-2.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,-1.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0
