measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,,,,,,,,,
2003-02-01,0.0,0.0,0.0,,,,,,,,,,,,
2003-03-01,0.0,0.0,0.0,,,,,,,,,,,,
2003-04-01,0.0,0.0,0.0,,,,,,,,,,,,
2003-05-01,12735.0,70252.0,70252.0,,,,,,,,,,,,
2003-06-01,28549.0,318592.0,318592.0,,,,,,,,,,,,
2003-07-01,58869.0,305951.0,305951.0,,,,,,,,,,,,
2003-08-01,51042.0,256101.0,256101.0,,,,,,,,,,,,
2003-09-01,52846.0,269292.0,271146.0,,,,,,,,,,,,
2003-10-01,65801.0,339173.0,341562.0,,,,,,,,,,,,
2003-11-01,52101.0,264560.0,266291.0,,,,,,,,,,,,
2003-12-01,47085.0,242121.0,243651.0,,,,,,,,,,,,
2004-01-01,63524.58,355280.75,652020.0,,,,,,,,,,,,
2004-02-01,33487.58,187289.59,389732.0,,,,,,,,,,,,
2004-03-01,30153.62,168643.4,351372.0,,,,,,,,,,,,
2004-04-01,59584.98,333247.33,621627.0,,,,,,,,,,,,
2004-05-01,54363.54,304044.82,597661.0,,,,,,,,,,,,
2004-06-01,45407.32,253954.4,494624.0,,,,,,,,,,,,
2004-07-01,57793.54,323228.15,612267.0,,,,,,,,,,,,
2004-08-01,50958.04,284998.51,522957.0,,,,,,,,,,,,
2004-09-01,50430.8,282049.76,484954.0,,,,,,,,,,,,
2004-10-01,55760.04,311855.18,517559.0,,,,,,,,,,,,
2004-11-01,49608.58,277451.24,546977.0,,,,,,,,,,,,
2004-12-01,39145.12,218931.13,390802.0,,,,,,,,,,,,
2005-01-01,32437.02,181414.01,328970.0,0.0,0.0,0.0,,,,,,,,,
2005-02-01,27415.5,153329.62,270489.0,0.0,0.0,0.0,,,,,,,,,
2005-03-01,31456.04,175927.58,352164.0,0.0,0.0,0.0,,,,,,,,,
2005-04-01,65136.68,364296.92,640758.0,0.0,0.0,0.0,,,,,,,,,
2005-05-01,41923.42,234469.62,428354.0,0.0,0.0,0.0,,,,,,,,,
2005-06-01,41936.16,234540.87,441557.0,0.0,0.0,0.0,,,,,,,,,
2005-07-01,60546.36,338624.14,629324.0,0.0,0.0,0.0,,,,,,,,,
2005-08-01,48720.7,272485.5,496975.0,0.0,0.0,0.0,,,,,,,,,
2005-09-01,46157.02,258147.33,489677.0,0.0,0.0,0.0,,,,,,,,,
2005-10-01,56391.16,315384.91,597686.0,0.0,0.0,0.0,,,,,,,,,
