measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2024-06-01,695.251,12069.0,12069.0
2024-07-01,887.053,15399.0,15399.0
2024-08-01,884.785,15361.0,15361.0
2024-09-01,737.184,12799.0,12799.0
2024-10-01,756.494,13134.0,13134.0
2024-11-01,531.507,9228.0,9228.0
2024-12-01,590.726,10256.0,10256.0
