measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2019-01-01,2426.308,27223.0,27223.0
2019-02-01,2183.27,24496.0,24496.0
2019-03-01,2480.862,27835.0,27835.0
2019-04-01,2295.722,25758.0,25758.0
2019-05-01,2434.942,27320.0,27320.0
2019-06-01,2248.359,25226.0,25226.0
2019-07-01,2259.023,25346.0,25346.0
2019-08-01,2200.561,24690.0,24690.0
2019-09-01,2068.273,23206.0,23206.0
2019-10-01,2146.921,24088.0,24088.0
2019-11-01,2114.02,23719.0,23719.0
2019-12-01,2345.739,26319.0,26319.0
2020-01-01,2254.532,27197.0,27197.0
2020-02-01,2090.327,25216.0,25216.0
2020-03-01,2228.583,26884.0,26884.0
2020-04-01,2092.188,25239.0,25239.0
2020-05-01,2057.047,24815.0,24815.0
2020-06-01,1894.296,22852.0,22852.0
2020-07-01,1729.718,20866.0,20866.0
2020-08-01,1843.871,22243.0,22243.0
2020-09-01,1696.283,20463.0,20463.0
2020-10-01,2008.937,24235.0,24235.0
2020-11-01,1960.099,23646.0,23646.0
2020-12-01,2156.119,26010.0,26010.0
2022-01-01,1051.753,9831.0,9831.0
2022-02-01,1140.645,10663.0,10663.0
2022-03-01,1190.676,11130.0,11130.0
2022-04-01,1091.89,10207.0,10207.0
2022-05-01,1111.482,10390.0,10390.0
2022-06-01,1016.233,9500.0,9500.0
2022-07-01,858.701,8027.0,8027.0
2022-08-01,819.27,7659.0,7659.0
2022-09-01,1035.485,9680.0,9680.0
2022-10-01,1096.023,10246.0,10246.0
2022-11-01,1172.566,10961.0,10961.0
2022-12-01,816.276,7631.0,7631.0
2023-01-01,1112.338,12241.0,12241.0
2023-02-01,928.552,10219.0,10219.0
2023-03-01,1069.054,11765.0,11765.0
2023-04-01,1000.918,11015.0,11015.0
2023-05-01,1054.28,11603.0,11603.0
2023-06-01,1050.501,11561.0,11561.0
2023-07-01,1029.958,11335.0,11335.0
2023-08-01,969.629,10671.0,10671.0
2023-09-01,838.655,9229.0,9229.0
2023-10-01,930.867,10244.0,10244.0
2023-11-01,917.966,10103.0,10103.0
2023-12-01,910.282,10018.0,10018.0
2024-01-01,423.321,5397.0,5397.0
2024-02-01,419.72,5351.0,5351.0
2024-03-01,443.11,5649.0,5649.0
2024-04-01,402.077,5126.0,5126.0
2024-05-01,422.772,5389.0,5389.0
