measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,5.613,64.0,64.0,6.721,80.0,80.0,12268.095000000001,140143.0,140143.0
2003-02-01,,,,5.179,59.0,59.0,6.2010000000000005,74.0,74.0,11319.094000000001,129302.0,129302.0
2003-03-01,,,,5.7090000000000005,65.0,65.0,6.836,82.0,82.0,12477.935,142540.0,142540.0
2003-04-01,,,,5.399,62.0,62.0,6.465,77.0,77.0,11800.203,134798.0,134798.0
2003-05-01,,,,6.182,71.0,71.0,7.402,88.0,88.0,13511.03,154341.0,154341.0
2003-06-01,,,,6.441000000000001,74.0,74.0,7.712000000000001,92.0,92.0,14077.143,160808.0,160808.0
2003-07-01,,,,8.269,95.0,95.0,9.901,118.0,118.0,18073.773,206463.0,206463.0
2003-08-01,,,,7.769,89.0,89.0,9.302,111.0,111.0,16979.676,193965.0,193965.0
2003-09-01,,,,7.099,81.0,81.0,8.5,101.0,101.0,15516.207,177247.0,177247.0
2003-10-01,,,,6.681,76.0,76.0,7.9990000000000006,95.0,95.0,14602.118,166805.0,166805.0
2003-11-01,,,,5.655,65.0,65.0,6.772,81.0,81.0,12360.691,141201.0,141201.0
2003-12-01,,,,6.005,69.0,69.0,7.19,86.0,86.0,13124.032,149920.0,149920.0
2004-01-01,,,,0.459,5.0,5.0,5.755,63.0,63.0,13020.06,142382.0,142382.0
2004-02-01,,,,1.4040000000000001,15.0,15.0,7.1770000000000005,79.0,79.0,11160.432,122046.0,122046.0
2004-03-01,,,,0.8310000000000001,9.0,9.0,9.109,100.0,100.0,13446.445,147045.0,147045.0
2004-04-01,,,,24.839000000000002,271.0,271.0,8.725,96.0,96.0,9756.411,106692.0,106692.0
2004-05-01,,,,34.881,380.0,380.0,9.934000000000001,109.0,109.0,11917.2,130322.0,130322.0
2004-06-01,,,,0.799,9.0,9.0,8.582,94.0,94.0,15816.466,172963.0,172963.0
2004-07-01,,,,1.768,19.0,19.0,16.497,181.0,181.0,15455.247,169013.0,169013.0
2004-08-01,,,,8.409,92.0,92.0,15.437000000000001,169.0,169.0,16284.187,178078.0,178078.0
2004-09-01,,,,27.817,303.0,303.0,13.794,151.0,151.0,14691.551,160661.0,160661.0
2004-10-01,,,,0.7020000000000001,8.0,8.0,9.881,108.0,108.0,10849.871,118650.0,118650.0
2004-11-01,,,,2.7960000000000003,31.0,31.0,9.757,107.0,107.0,13348.718,145976.0,145976.0
2004-12-01,,,,4.295,47.0,47.0,8.352,92.0,92.0,13981.411,152895.0,152895.0
2005-01-01,,,,6.273000000000001,69.99,69.99,,,,14430.782,159469.88,159469.88
2005-02-01,,,,1.5310000000000001,17.08,17.08,,,,11991.301,132511.96,132511.96
2005-03-01,,,,2.1870000000000003,24.4,24.4,,,,14409.428,159233.9,159233.9
2005-04-01,,,,1.796,20.05,20.05,,,,11362.006,125557.82,125557.82
2005-05-01,,,,1.858,20.73,20.73,,,,13385.026,147913.58,147913.58
2005-06-01,,,,1.625,18.13,18.13,,,,13687.201000000001,151252.81,151252.81
2005-07-01,,,,4.74,52.89,52.89,,,,14298.131000000001,158004.0,158004.0
2005-08-01,,,,5.738,64.02,64.02,,,,15419.42,170394.98,170394.98
2005-09-01,,,,4.737,52.86,52.86,,,,15416.795,170365.97,170365.97
2005-10-01,,,,1.997,22.29,22.29,,,,14589.957,161228.87,161228.87
2005-11-01,,,,2.0020000000000002,22.33,22.33,,,,13930.318,153939.41,153939.41
2005-12-01,,,,4.515,50.38,50.38,,,,14638.634,161766.78,161766.78
2006-01-01,0.0,0.0,0.0,1.61,18.0,18.0,2.329,27.0,27.0,16081.739000000001,181995.0,181995.0
2006-02-01,0.0,0.0,0.0,1.594,18.0,18.0,2.7630000000000003,31.0,31.0,13937.673,157731.0,157731.0
2006-03-01,0.0,0.0,0.0,1.397,16.0,16.0,3.152,36.0,36.0,13130.678,148599.0,148599.0
2006-04-01,0.0,0.0,0.0,1.8430000000000002,21.0,21.0,3.525,40.0,40.0,14127.449,159879.0,159879.0
2006-05-01,0.0,0.0,0.0,1.6660000000000001,19.0,19.0,4.083,46.0,46.0,12709.368,143831.0,143831.0
2006-06-01,0.0,0.0,0.0,1.992,23.0,23.0,5.203,59.0,59.0,14323.265,162095.0,162095.0
2006-07-01,0.0,0.0,0.0,1.933,22.0,22.0,6.542000000000001,74.0,74.0,16189.648000000001,183217.0,183217.0
2006-08-01,0.0,0.0,0.0,2.08,24.0,24.0,6.6240000000000006,75.0,75.0,15106.458,170958.0,170958.0
2006-09-01,0.0,0.0,0.0,1.477,17.0,17.0,4.507000000000001,51.0,51.0,13576.534,153644.0,153644.0
