measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,1.637,16.76,16.76
2003-02-01,1.476,15.12,15.12
2003-03-01,1.657,16.97,16.97
2003-04-01,1.496,15.32,15.32
2003-05-01,1.348,13.8,13.8
2003-06-01,1.536,15.73,15.73
2003-07-01,1.468,15.03,15.03
2003-08-01,1.413,14.47,14.47
2003-09-01,1.4020000000000001,14.36,14.36
2003-10-01,1.4360000000000002,14.71,14.71
2003-11-01,1.502,15.38,15.38
2003-12-01,1.629,16.68,16.68
2004-01-01,1.624,16.28,16.28
2004-02-01,1.47,14.73,14.73
2004-03-01,1.653,16.57,16.57
2004-04-01,1.38,13.83,13.83
2004-05-01,1.584,15.87,15.87
2004-06-01,1.588,15.91,15.91
2004-07-01,1.187,11.9,11.9
2004-08-01,1.005,10.07,10.07
2004-09-01,1.221,12.24,12.24
2004-10-01,1.24,12.43,12.43
2004-11-01,1.343,13.46,13.46
2004-12-01,1.705,17.09,17.09
2005-01-01,0.601,6.01,6.01
2005-02-01,0.728,7.28,7.28
2005-03-01,0.793,7.93,7.93
2005-04-01,1.318,13.18,13.18
2005-05-01,1.8820000000000001,18.82,18.82
2005-06-01,2.03,20.3,20.3
2005-07-01,2.121,21.21,21.21
2005-08-01,1.788,17.88,17.88
2005-09-01,1.085,10.85,10.85
2005-10-01,0.627,6.27,6.27
2005-11-01,0.54,5.4,5.4
2005-12-01,0.48700000000000004,4.87,4.87
2006-01-01,2.003,20.0,20.0
2006-02-01,1.758,17.0,17.0
2006-03-01,1.889,19.0,19.0
2006-04-01,2.281,23.0,23.0
2006-05-01,2.4610000000000003,24.0,24.0
2006-06-01,2.5420000000000003,25.0,25.0
2006-07-01,2.077,21.0,21.0
2006-08-01,1.703,17.0,17.0
2006-09-01,1.249,12.0,12.0
2006-10-01,1.181,12.0,12.0
2006-11-01,1.37,14.0,14.0
2006-12-01,1.486,15.0,15.0
2007-01-01,2.801,28.0,28.0
2007-02-01,2.136,21.0,21.0
2007-03-01,2.987,30.0,30.0
2007-04-01,2.4570000000000003,24.0,24.0
2007-05-01,2.648,26.0,26.0
2007-06-01,2.072,20.0,20.0
2007-07-01,1.633,16.0,16.0
2007-08-01,1.34,13.0,13.0
2007-09-01,1.4,14.0,14.0
2007-10-01,1.5690000000000002,16.0,16.0
2007-11-01,1.778,18.0,18.0
2007-12-01,2.1790000000000003,22.0,22.0
2008-01-01,1996.5900000000001,19674.0,19674.0
2008-02-01,1710.587,16856.0,16856.0
2008-03-01,1908.298,18804.0,18804.0
2008-04-01,1507.612,14856.0,14856.0
2008-05-01,2285.7960000000003,22524.0,22524.0
2008-06-01,2484.438,24482.0,24482.0
