measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,1662.705,17180.73,17180.73
2001-02-01,1539.6290000000001,15908.99,15908.99
2001-03-01,1822.452,18831.4,18831.4
2001-04-01,2120.082,21906.81,21906.81
2001-05-01,3117.572,32213.87,32213.87
2001-06-01,3035.453,31365.34,31365.34
2001-07-01,2905.859,30026.24,30026.24
2001-08-01,2701.896,27918.69,27918.69
2001-09-01,1910.807,19744.37,19744.37
2001-10-01,1448.246,14964.73,14964.73
2001-11-01,1634.939,16893.82,16893.82
2001-12-01,1585.3590000000002,16381.51,16381.51
2002-01-01,1576.135,16034.02,16034.02
2002-02-01,1400.643,14248.74,14248.74
2002-03-01,1669.717,16986.03,16986.03
2002-04-01,2108.358,21448.33,21448.33
2002-05-01,2585.991,26307.29,26307.29
2002-06-01,2602.8540000000003,26478.83,26478.83
2002-07-01,2944.4950000000003,29954.35,29954.35
2002-08-01,2397.6620000000003,24391.42,24391.42
2002-09-01,1904.255,19371.99,19371.99
2002-10-01,1535.294,15618.55,15618.55
2002-11-01,1237.33,12587.36,12587.36
2002-12-01,1416.265,14407.66,14407.66
2003-01-01,1299.038,13303.45,13303.45
2003-02-01,1633.402,16727.67,16727.67
2003-03-01,1723.5790000000002,17651.17,17651.17
2003-04-01,2469.079,25285.84,25285.84
2003-05-01,2706.719,27719.51,27719.51
2003-06-01,2451.23,25103.05,25103.05
2003-07-01,2962.455,30338.5,30338.5
2003-08-01,2580.8360000000002,26430.34,26430.34
2003-09-01,1859.1490000000001,19039.54,19039.54
2003-10-01,1347.184,13796.51,13796.51
2003-11-01,1453.019,14880.37,14880.37
2003-12-01,1446.309,14811.65,14811.65
2005-01-01,998.1030000000001,9980.03,9980.03
2005-02-01,1207.788,12076.68,12076.68
2005-03-01,1316.006,13158.75,13158.75
2005-04-01,2187.533,21873.15,21873.15
2005-05-01,3123.7760000000003,31234.64,31234.64
2005-06-01,3368.2490000000003,33679.12,33679.12
2005-07-01,3520.302,35199.5,35199.5
2005-08-01,2966.53,29662.34,29662.34
2005-09-01,1799.759,17995.79,17995.79
2005-10-01,1040.678,10405.74,10405.74
2005-11-01,895.796,8957.06,8957.06
2005-12-01,807.479,8073.99,8073.99
2006-01-01,2311.3720000000003,22926.0,22926.0
2006-02-01,2027.8580000000002,20114.0,20114.0
2006-03-01,2179.5190000000002,21619.0,21619.0
2006-04-01,2631.231,26099.0,26099.0
2006-05-01,2839.449,28164.0,28164.0
2006-06-01,2932.7470000000003,29090.0,29090.0
2006-07-01,2396.4230000000002,23770.0,23770.0
2006-08-01,1964.959,19490.0,19490.0
2006-09-01,1440.509,14288.0,14288.0
2006-10-01,1362.353,13513.0,13513.0
