measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,2456.0,36315.0,36315.0,43779.0,528413.0,528413.0,,,,0.0,0.0,0.0
2003-02-01,2439.0,32039.0,32039.0,1750.0,22989.0,22989.0,46641.0,564955.0,564955.0,,,,0.0,0.0,0.0
2003-03-01,2167.0,55402.0,55402.0,133.0,3403.0,3403.0,86919.0,1115867.0,1115867.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,5365.0,72935.0,72935.0,8475.0,136053.0,136053.0,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,5510.0,105051.0,105051.0,114748.0,1345511.0,1345511.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,61485.0,623131.0,623131.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,136822.0,1609458.0,1609458.0,,,,0.0,0.0,0.0
2003-08-01,287.0,3403.0,3403.0,5006.0,59296.0,59296.0,120645.0,1451362.0,1451362.0,,,,0.0,0.0,0.0
2003-09-01,246.0,3511.0,3511.0,4664.0,66449.0,66449.0,17242.0,225816.0,225816.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,3447.0,47598.0,47598.0,45244.0,598453.0,598453.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,382.0,7916.0,7916.0,34039.0,539862.0,539862.0,,,,0.0,0.0,0.0
2003-12-01,157.0,2914.0,2914.0,1527.0,28283.0,28283.0,31074.0,450902.0,450902.0,,,,0.0,0.0,0.0
2004-01-01,586.0,8550.0,8550.0,4997.0,72918.0,72918.0,7043.0,99846.0,99846.0,,,,0.0,0.0,0.0
2004-02-01,17.0,5030.0,5030.0,17.0,4815.0,4815.0,6325.0,103800.0,103800.0,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,8585.0,103607.0,103607.0,1856.0,45271.0,45271.0,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,9772.0,130624.0,130624.0,10326.0,140456.0,140456.0,,,,0.0,0.0,0.0
2004-06-01,559.0,5672.0,5672.0,4276.0,43393.0,43393.0,27571.0,444456.0,444456.0,,,,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,856.0,17960.0,17960.0,23516.0,338122.0,338122.0,,,,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,9099.0,122195.0,122195.0,5182.0,83346.0,83346.0,,,,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,14766.0,197720.0,197720.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,9687.0,177948.0,177948.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,4983.0,72486.0,72486.0,0.0,142.0,142.0,,,,0.0,0.0,0.0
2004-12-01,74.0,1230.0,1230.0,6832.0,107157.0,107157.0,0.0,13280.0,13280.0,,,,0.0,0.0,0.0
2005-01-01,321.0,4361.6,4361.6,18965.0,257933.83,257933.83,0.0,0.0,0.0,,,,,,
2005-02-01,30.0,429.2,429.2,10264.0,145012.21,145012.21,999.0,22663.44,22663.44,,,,,,
2005-03-01,0.0,0.0,0.0,4647.0,70481.92,70481.92,0.0,0.0,0.0,,,,,,
2005-04-01,0.0,0.0,0.0,4602.0,67846.63,67846.63,0.0,0.0,0.0,,,,,,
2005-05-01,0.0,0.0,0.0,4235.0,68405.15,68405.15,480.0,15239.48,15239.48,,,,,,
2005-06-01,72.0,968.6,968.6,9023.0,121341.48,121341.48,0.0,0.0,0.0,,,,,,
2005-07-01,0.0,0.0,0.0,1946.0,31650.09,31650.09,0.0,0.0,0.0,,,,,,
2005-08-01,0.0,0.0,0.0,1967.0,33031.21,33031.21,0.0,0.0,0.0,,,,,,
2005-09-01,0.0,0.0,0.0,6178.0,86551.97,86551.97,0.0,0.0,0.0,,,,,,
2005-10-01,0.0,0.0,0.0,7881.0,116861.22,116861.22,0.0,0.0,0.0,,,,,,
2005-11-01,0.0,0.0,0.0,7044.0,87569.48,87569.48,0.0,0.0,0.0,,,,,,
2005-12-01,1513.0,18948.6,18948.6,40397.0,506084.26,506084.26,0.0,0.0,0.0,,,,,,
2006-01-01,0.0,0.0,0.0,2442.0,45888.0,45888.0,,,,,,,,,
2006-02-01,0.0,0.0,0.0,8282.0,109630.0,109630.0,,,,,,,,,
2006-03-01,0.0,0.0,0.0,4883.0,71353.0,71353.0,,,,,,,,,
2006-04-01,0.0,0.0,0.0,7070.0,93065.0,93065.0,,,,,,,,,
2006-05-01,0.0,0.0,0.0,6577.0,92001.0,92001.0,,,,,,,,,
2006-06-01,881.0,13091.0,13091.0,11402.0,169337.0,169337.0,,,,,,,,,
2006-07-01,4128.0,59166.0,59166.0,21838.0,312993.0,312993.0,6682.0,59537.0,59537.0,,,,,,
2006-08-01,310.0,4362.0,4362.0,11838.0,166292.0,166292.0,11900.0,175501.0,175501.0,,,,,,
2006-09-01,1155.0,28356.0,28356.0,2407.0,59114.0,59114.0,,,,,,,,,
2006-10-01,2258.0,76560.0,76560.0,2114.0,71671.0,71671.0,,,,,,,,,
2006-11-01,0.0,0.0,0.0,2295.0,41147.0,41147.0,,,,,,,,,
2006-12-01,0.0,0.0,0.0,6121.0,89553.0,89553.0,,,,,,,,,
2007-01-01,427.189,6096.0,6096.0,9899.811,141266.0,141266.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,5903.0,86044.0,86044.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,399.77700000000004,5556.0,5556.0,11548.223,160506.0,160506.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,4792.0,73292.0,73292.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,4859.0,68212.0,68212.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,0.447,6.0,6.0,15649.553,202983.0,202983.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,141.286,1763.0,1763.0,20254.714,252771.0,252771.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,1172.797,24070.0,24070.0,11793.203,242039.0,242039.0,5600.0,73901.0,73901.0,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,15052.0,199352.0,199352.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,640.976,8555.0,8555.0,11979.024,159882.0,159882.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,14726.0,135966.0,135966.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,90.72,1380.0,1380.0,14639.28,222751.0,222751.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,1761.0,30175.0,30175.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,8349.0,107356.0,107356.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,5326.0,76653.0,76653.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,4065.0,57240.0,57240.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,2941.0,44139.0,44139.0,-187.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,6977.0,95555.0,95555.0,-186.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,4366.0,63463.0,63463.0,-189.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,9257.0,125473.0,125473.0,-186.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,809.0,15115.0,15115.0,-164.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,2151.0,33934.0,33934.0,-179.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,3638.0,51962.0,51962.0,,,,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,6994.0,98609.0,98609.0,,,,0.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,610.0,13023.0,13023.0,0.0,0.0,0.0,,,,,,
2009-02-01,0.0,0.0,0.0,554.0,11491.0,11491.0,0.0,0.0,0.0,,,,,,
2009-03-01,0.0,0.0,0.0,2783.0,37394.0,37394.0,0.0,0.0,0.0,,,,,,
2009-04-01,0.0,0.0,0.0,-78.0,2534.0,2534.0,0.0,0.0,0.0,,,,,,
2009-05-01,0.0,0.0,0.0,1083.0,19040.0,19040.0,0.0,0.0,0.0,,,,,,
2009-06-01,0.0,0.0,0.0,3297.0,48306.0,48306.0,0.0,0.0,0.0,,,,,,
2009-07-01,0.0,0.0,0.0,2486.0,36114.0,36114.0,0.0,0.0,0.0,,,,,,
2009-08-01,0.0,0.0,0.0,2486.0,62552.0,62552.0,0.0,0.0,0.0,,,,,,
2009-09-01,0.0,0.0,0.0,775.0,15861.0,15861.0,0.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,991.0,17034.0,17034.0,0.0,0.0,0.0,,,,,,
2009-11-01,0.0,0.0,0.0,3248.0,47812.0,47812.0,0.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,9902.0,133390.0,133390.0,0.0,0.0,0.0,,,,,,
2010-01-01,0.0,0.0,0.0,4874.0,72473.0,72473.0,0.0,0.0,0.0,,,,,,
2010-02-01,0.0,0.0,0.0,5813.0,63398.0,63398.0,0.0,0.0,0.0,,,,,,
2010-03-01,0.0,0.0,0.0,2834.0,36283.0,36283.0,0.0,0.0,0.0,,,,,,
2010-04-01,,,,3925.0,44301.0,44301.0,0.0,0.0,0.0,,,,,,
2010-05-01,,,,8632.0,115288.0,115288.0,0.0,0.0,0.0,,,,,,
2010-06-01,,,,5996.0,82078.0,82078.0,0.0,0.0,0.0,,,,,,
2010-07-01,,,,2780.0,27065.0,27065.0,0.0,0.0,0.0,,,,,,
2010-08-01,,,,7040.0,99395.0,99395.0,0.0,0.0,0.0,,,,,,
2010-09-01,,,,2412.0,33752.0,33752.0,0.0,0.0,0.0,,,,,,
2010-10-01,,,,1692.0,13885.0,13885.0,0.0,0.0,0.0,,,,,,
2010-11-01,,,,306.0,4872.0,4872.0,0.0,0.0,0.0,,,,,,
2010-12-01,,,,1455.0,25848.0,25848.0,0.0,0.0,0.0,,,,,,
2011-01-01,,,,2164.0,43036.0,43036.0,,,,,,,,,
2011-02-01,,,,13762.0,192824.0,192824.0,,,,,,,,,
2011-03-01,,,,2259.0,34026.0,34026.0,,,,,,,,,
2011-04-01,,,,5528.0,79269.0,79269.0,,,,,,,,,
2011-05-01,,,,1292.0,21121.0,21121.0,,,,,,,,,
2011-06-01,,,,2360.0,34387.0,34387.0,,,,,,,,,
2011-07-01,,,,15346.0,222957.0,222957.0,,,,,,,,,
2011-08-01,,,,27377.0,387604.0,387604.0,,,,,,,,,
2011-09-01,0.0,0.0,0.0,3723.0,57759.0,57759.0,,,,,,,,,
2011-10-01,0.0,0.0,0.0,3591.0,57653.0,57653.0,,,,,,,,,
2011-11-01,0.0,0.0,0.0,3995.0,62045.0,62045.0,,,,,,,,,
2011-12-01,0.0,0.0,0.0,1396.0,22860.0,22860.0,,,,,,,,,
2012-01-01,0.0,0.0,0.0,1898.0,31155.0,31155.0,,,,,,,,,
2012-02-01,0.0,0.0,0.0,-7.0,85.0,85.0,,,,,,,,,
2012-03-01,0.0,0.0,0.0,3952.0,60551.0,60551.0,,,,,,,,,
2012-04-01,0.0,0.0,0.0,2621.0,36624.0,36624.0,,,,,,,,,
2012-05-01,0.0,0.0,0.0,2980.0,44597.0,44597.0,,,,,,,,,
2012-06-01,0.0,0.0,0.0,4058.0,56998.0,56998.0,,,,,,,,,
2012-07-01,0.0,0.0,0.0,3726.0,52993.0,52993.0,,,,,,,,,
2012-08-01,0.0,0.0,0.0,7841.0,107974.0,107974.0,,,,,,,,,
2012-09-01,0.0,0.0,0.0,1965.0,22616.0,22616.0,,,,,,,,,
