measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6.763,92.0,92.0,52.805,746.0,746.0,372.603,7881.0,7881.0,0.0,0.0,0.0
2003-02-01,5.588,76.0,76.0,43.634,617.0,617.0,307.885,6513.0,6513.0,0.0,0.0,0.0
2003-03-01,5.935,80.0,80.0,46.339000000000006,655.0,655.0,326.976,6916.0,6916.0,0.0,0.0,0.0
2003-04-01,5.6530000000000005,77.0,77.0,44.138000000000005,624.0,624.0,311.445,6588.0,6588.0,0.0,0.0,0.0
2003-05-01,5.822,79.0,79.0,45.459,642.0,642.0,320.766,6785.0,6785.0,0.0,0.0,0.0
2003-06-01,6.142,83.0,83.0,47.958000000000006,678.0,678.0,338.399,7158.0,7158.0,0.0,0.0,0.0
2003-07-01,7.394,100.0,100.0,57.735,816.0,816.0,407.384,8617.0,8617.0,0.0,0.0,0.0
2003-08-01,7.147,97.0,97.0,55.807,789.0,789.0,393.783,8329.0,8329.0,0.0,0.0,0.0
2003-09-01,5.755,78.0,78.0,44.933,635.0,635.0,317.05400000000003,6706.0,6706.0,0.0,0.0,0.0
2003-10-01,5.5,75.0,75.0,42.941,607.0,607.0,303.0,6409.0,6409.0,0.0,0.0,0.0
2003-11-01,4.607,62.0,62.0,35.973,508.0,508.0,253.83100000000002,5369.0,5369.0,0.0,0.0,0.0
2003-12-01,6.695,91.0,91.0,52.277,739.0,739.0,368.874,7803.0,7803.0,0.0,0.0,0.0
2004-01-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,82.75,940.0,940.0,20.667,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,152.187,1497.26,1497.26,0.0,0.0,0.0,,,,,,
2005-02-01,77.239,759.9,759.9,0.0,0.0,0.0,,,,,,
2005-03-01,93.48100000000001,919.69,919.69,0.0,0.0,0.0,,,,,,
2005-04-01,97.409,958.34,958.34,0.0,0.0,0.0,,,,,,
2005-05-01,114.78,1129.24,1129.24,0.0,0.0,0.0,,,,,,
2005-06-01,103.92,1022.4,1022.4,0.0,0.0,0.0,,,,,,
2005-07-01,166.404,1637.13,1637.13,0.0,0.0,0.0,,,,,,
2005-08-01,184.15,1811.73,1811.73,0.0,0.0,0.0,,,,,,
2005-09-01,182.872,1799.16,1799.16,0.0,0.0,0.0,,,,,,
2005-10-01,109.119,1073.55,1073.55,0.0,0.0,0.0,,,,,,
2005-11-01,86.976,855.7,855.7,0.0,0.0,0.0,,,,,,
2005-12-01,189.46300000000002,1864.0,1864.0,0.0,0.0,0.0,,,,,,
2006-01-01,70.316,797.0,797.0,56.994,721.0,721.0,,,,,,
2006-02-01,69.584,788.0,788.0,67.61800000000001,856.0,856.0,,,,,,
2006-03-01,61.01,691.0,691.0,77.12400000000001,976.0,976.0,,,,,,
2006-04-01,80.483,912.0,912.0,86.265,1092.0,1092.0,,,,,,
2006-05-01,72.73700000000001,824.0,824.0,99.917,1265.0,1265.0,,,,,,
2006-06-01,86.99,986.0,986.0,127.32100000000001,1611.0,1611.0,,,,,,
2006-07-01,84.38600000000001,956.0,956.0,160.07,2026.0,2026.0,,,,,,
2006-08-01,90.81700000000001,1029.0,1029.0,162.089,2052.0,2052.0,,,,,,
2006-09-01,64.51700000000001,731.0,731.0,110.286,1396.0,1396.0,,,,,,
2006-10-01,83.04100000000001,941.0,941.0,99.854,1264.0,1264.0,,,,,,
2006-11-01,72.482,821.0,821.0,74.157,939.0,939.0,,,,,,
2006-12-01,80.637,914.0,914.0,77.307,978.0,978.0,,,,,,
2007-01-01,101.205,1119.0,1119.0,5.845,65.0,65.0,,,,,,
2007-02-01,69.97200000000001,776.0,776.0,17.281000000000002,191.0,191.0,,,,,,
2007-03-01,94.562,1046.0,1046.0,10.425,116.0,116.0,,,,,,
2007-04-01,104.718,1159.0,1159.0,4.875,54.0,54.0,,,,,,
2007-05-01,173.899,1924.0,1924.0,44.801,496.0,496.0,,,,,,
2007-06-01,68.664,759.0,759.0,77.116,854.0,854.0,,,,,,
2007-07-01,59.897000000000006,664.0,664.0,143.64100000000002,1591.0,1591.0,,,,,,
2007-08-01,116.57300000000001,1288.0,1288.0,259.82800000000003,2877.0,2877.0,,,,,,
2007-09-01,45.011,501.0,501.0,68.572,759.0,759.0,,,,,,
2007-10-01,93.607,1035.0,1035.0,41.434000000000005,459.0,459.0,,,,,,
2007-11-01,146.515,1620.0,1620.0,5.573,62.0,62.0,,,,,,
2007-12-01,165.71,1834.0,1834.0,44.197,490.0,490.0,,,,,,
2008-01-01,29.924000000000003,732.0,732.0,7.7700000000000005,190.0,190.0,,,,,,
2008-02-01,12.591000000000001,308.0,308.0,2.92,72.0,72.0,,,,,,
2008-03-01,13.966000000000001,341.0,341.0,4.221,103.0,103.0,,,,,,
2008-04-01,18.243000000000002,446.0,446.0,7.822,191.0,191.0,,,,,,
2008-05-01,30.989,759.0,759.0,7.9350000000000005,195.0,195.0,,,,,,
2008-06-01,27.343,671.0,671.0,12.685,311.0,311.0,,,,,,
2008-07-01,19.624000000000002,479.0,479.0,24.433,598.0,598.0,,,,,,
2008-08-01,12.258000000000001,303.0,303.0,20.594,505.0,505.0,,,,,,
2008-09-01,14.492,358.0,358.0,8.311,204.0,204.0,,,,,,
2008-10-01,15.905000000000001,391.0,391.0,8.204,201.0,201.0,,,,,,
2008-11-01,11.791,292.0,292.0,10.228,251.0,251.0,,,,,,
2008-12-01,12.154,297.0,297.0,11.597000000000001,284.0,284.0,,,,,,
2009-01-01,-30.631,129.0,129.0,0.0,0.0,0.0,,,,,,
2009-02-01,-20.553,90.0,90.0,0.0,0.0,0.0,,,,,,
2009-03-01,-27.685,118.0,118.0,0.0,0.0,0.0,,,,,,
2009-04-01,-41.156,174.0,174.0,0.0,0.0,0.0,,,,,,
2009-05-01,-25.037000000000003,107.0,107.0,0.0,0.0,0.0,,,,,,
2009-06-01,-5.856,23.0,23.0,0.0,0.0,0.0,,,,,,
2009-07-01,-39.447,169.0,169.0,0.0,0.0,0.0,,,,,,
2009-08-01,-22.759,96.0,96.0,0.0,0.0,0.0,,,,,,
2009-09-01,-21.95,96.0,96.0,0.0,0.0,0.0,,,,,,
2009-10-01,-21.699,90.0,90.0,0.0,0.0,0.0,,,,,,
2009-11-01,-24.069000000000003,101.0,101.0,0.0,0.0,0.0,,,,,,
2009-12-01,-23.158,101.0,101.0,0.0,0.0,0.0,,,,,,
2010-01-01,3.89,405.0,405.0,0.307,30.0,30.0,0.0,0.0,0.0,,,
2010-02-01,2.7600000000000002,281.0,281.0,0.124,13.0,13.0,0.0,0.0,0.0,,,
2010-03-01,3.45,354.0,354.0,0.14700000000000002,15.0,15.0,0.0,0.0,0.0,,,
2010-04-01,2.472,253.0,253.0,0.16,17.0,17.0,0.0,0.0,0.0,,,
2010-05-01,2.9890000000000003,309.0,309.0,0.192,20.0,20.0,0.0,0.0,0.0,,,
2010-06-01,4.597,473.0,473.0,0.48,50.0,50.0,0.0,0.0,0.0,,,
2010-07-01,2.944,304.0,304.0,0.748,77.0,77.0,0.0,0.0,0.0,,,
2010-08-01,3.088,315.0,315.0,0.8340000000000001,86.0,86.0,0.0,0.0,0.0,,,
2010-09-01,2.283,236.0,236.0,0.264,28.0,28.0,0.0,0.0,0.0,,,
2010-10-01,4.533,467.0,467.0,0.17700000000000002,19.0,19.0,0.0,0.0,0.0,,,
