measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,424.155,2691.35,13164.69,0.51,3.27,430.52
2004-02-01,355.025,2252.71,11019.07,0.366,2.34,309.02
2004-03-01,289.285,1835.57,8978.66,0.326,2.09,275.5
2004-04-01,422.46200000000005,2680.61,13112.14,0.34800000000000003,2.23,293.61
2004-05-01,507.35900000000004,3219.3,15747.12,0.281,1.8,237.24
2004-06-01,502.644,3189.38,15600.77,0.29600000000000004,1.9,249.86
2004-07-01,598.197,3795.68,18566.48,0.319,2.05,269.65
2004-08-01,566.692,3595.77,17588.67,0.24700000000000003,1.59,208.89
2004-09-01,654.7130000000001,4154.29,20320.61,0.29300000000000004,1.88,247.73
2004-10-01,371.684,2358.41,11536.11,0.303,1.94,255.82
2004-11-01,248.497,1576.76,7712.69,0.276,1.77,233.37
2004-12-01,986.326,6258.43,30613.01,0.314,2.01,264.78
2005-01-01,460.655,2922.95,13009.67,3.7680000000000002,24.16,142.64
2005-02-01,415.79,2638.27,11742.58,3.4010000000000002,21.8,128.74
2005-03-01,448.721,2847.23,12672.62,3.6710000000000003,23.53,138.94
2005-04-01,450.87600000000003,2860.9,12733.48,3.688,23.64,139.61
2005-05-01,495.2,3142.14,13985.26,4.051,25.97,153.33
2005-06-01,636.056,4035.9,17963.25,5.203,33.35,196.95
2005-07-01,814.481,5168.04,23002.28,6.663,42.71,252.2
2005-08-01,844.062,5355.74,23837.69,6.905,44.26,261.36
2005-09-01,636.6030000000001,4039.37,17978.71,5.207,33.39,197.12
2005-10-01,494.127,3135.33,13954.95,4.042,25.91,153.0
2005-11-01,440.879,2797.47,12451.15,3.6060000000000003,23.12,136.51
2005-12-01,503.03,3191.83,14206.39,4.115,26.38,155.75
2006-01-01,466.817,2962.04,13815.71,0.0,0.0,0.0
2006-02-01,411.58,2611.56,12180.96,0.0,0.0,0.0
2006-03-01,455.88100000000003,2892.66,13492.05,0.0,0.0,0.0
2006-04-01,434.36400000000003,2756.13,12855.26,0.0,0.0,0.0
2006-05-01,506.28700000000003,3212.5,14983.86,0.0,0.0,0.0
2006-06-01,536.64,3405.09,15882.17,0.0,0.0,0.0
2006-07-01,604.2330000000001,3833.98,17882.63,0.0,0.0,0.0
2006-08-01,624.21,3960.74,18473.84,0.0,0.0,0.0
2006-09-01,508.254,3224.98,15042.07,0.0,0.0,0.0
2006-10-01,532.796,3380.7,15768.42,0.0,0.0,0.0
2006-11-01,450.062,2855.73,13319.84,0.0,0.0,0.0
2006-12-01,504.695,3202.39,14936.75,0.0,0.0,0.0
2007-01-01,213.696,1356.0,6318.0,0.0,0.0,0.0
2007-02-01,420.69300000000004,2669.0,12438.0,0.0,0.0,0.0
2007-03-01,229.978,1459.0,6800.0,0.0,0.0,0.0
2007-04-01,383.521,2433.0,11339.0,0.0,0.0,0.0
2007-05-01,289.726,1839.0,8566.0,0.0,0.0,0.0
2007-06-01,463.913,2944.0,13716.0,0.0,0.0,0.0
2007-07-01,511.031,3242.0,15109.0,0.0,0.0,0.0
2007-08-01,826.543,5245.0,24438.0,0.0,0.0,0.0
2007-09-01,442.18,2806.0,13073.0,0.0,0.0,0.0
2007-10-01,385.97700000000003,2449.0,11411.0,0.0,0.0,0.0
2007-11-01,252.668,1604.0,7471.0,0.0,0.0,0.0
2007-12-01,299.75300000000004,1902.0,8862.0,0.0,0.0,0.0
2008-01-01,381.798,2423.0,11330.0,0.0,0.0,0.0
2008-02-01,259.368,1646.0,7696.0,0.0,0.0,0.0
2008-03-01,213.881,1357.0,6346.0,0.0,0.0,0.0
2008-04-01,157.05100000000002,997.0,4660.0,0.0,0.0,0.0
2008-05-01,134.382,853.0,3987.0,0.0,0.0,0.0
2008-06-01,470.1,2983.0,13948.0,0.0,0.0,0.0
2008-07-01,551.253,3498.0,16357.0,0.0,0.0,0.0
2008-08-01,549.465,3486.0,16303.0,0.0,0.0,0.0
2008-09-01,341.796,2169.0,10141.0,0.0,0.0,0.0
2008-10-01,348.81800000000004,2213.0,10350.0,0.0,0.0,0.0
2008-11-01,385.327,2445.0,11433.0,0.0,0.0,0.0
2008-12-01,258.081,1638.0,7658.0,0.0,0.0,0.0
2009-01-01,154.971,983.0,4365.0,0.0,0.0,0.0
2009-02-01,169.31,1074.0,4768.0,0.0,0.0,0.0
2009-03-01,170.059,1079.0,4789.0,0.0,0.0,0.0
2009-04-01,163.58,1038.0,4607.0,0.0,0.0,0.0
2009-05-01,163.32,1036.0,4600.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
