measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2004-01-01,,,,60.5,932.0,932.0
2004-02-01,,,,60.5,932.0,932.0
2004-03-01,,,,60.5,932.0,932.0
2004-04-01,,,,60.5,932.0,932.0
2004-05-01,,,,60.5,932.0,932.0
2004-06-01,,,,60.5,932.0,932.0
2004-07-01,,,,60.5,932.0,932.0
2004-08-01,,,,60.5,932.0,932.0
2004-09-01,,,,60.5,932.0,932.0
2004-10-01,,,,60.5,932.0,932.0
2004-11-01,,,,60.5,932.0,932.0
2004-12-01,,,,60.5,932.0,932.0
2005-01-01,,,,131.0,1754.5,1754.5
2005-02-01,,,,76.0,968.0,968.0
2005-03-01,,,,40.0,781.0,781.0
2005-04-01,,,,43.0,528.0,528.0
2005-05-01,,,,12.0,203.5,203.5
2005-06-01,,,,38.0,423.5,423.5
2005-07-01,,,,423.0,5945.5,5945.5
2005-08-01,,,,1268.0,17517.5,17517.5
2005-09-01,,,,12.0,192.4,192.4
2005-10-01,,,,98.0,1534.5,1534.5
2005-11-01,,,,0.0,0.0,0.0
2005-12-01,,,,91.0,1614.43,1614.43
2006-01-01,,,,4.0,270.0,270.0
2006-02-01,,,,90.0,1460.0,1460.0
2006-03-01,,,,0.0,0.0,0.0
2006-04-01,,,,10.0,259.0,259.0
2006-05-01,,,,0.0,0.0,0.0
2006-06-01,,,,18.0,292.0,292.0
2006-07-01,,,,47.0,782.0,782.0
2006-08-01,,,,76.0,1355.0,1355.0
2006-09-01,,,,0.0,0.0,0.0
2006-10-01,,,,0.0,276.0,276.0
2006-11-01,,,,0.0,270.0,270.0
2006-12-01,,,,19.0,386.0,386.0
2007-01-01,,,,104.0,1929.0,1929.0
2007-02-01,,,,32.0,672.0,672.0
2007-03-01,,,,12.0,441.0,441.0
2007-04-01,,,,0.0,165.0,165.0
2007-05-01,,,,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0
2007-07-01,,,,0.0,0.0,0.0
2007-08-01,,,,135.0,2017.0,2017.0
2007-09-01,,,,74.0,1361.0,1361.0
2007-10-01,,,,0.0,11.0,11.0
2007-11-01,,,,77.0,1984.0,1984.0
2007-12-01,,,,53.0,1041.0,1041.0
2008-01-01,28.847,810.0,810.0,0.0,0.0,0.0
2008-02-01,0.446,11.0,11.0,0.0,0.0,0.0
2008-03-01,4.885000000000001,132.0,132.0,0.0,0.0,0.0
2008-04-01,4.468,121.0,121.0,0.0,0.0,0.0
2008-05-01,0.677,17.0,17.0,0.0,0.0,0.0
2008-06-01,23.0,634.0,634.0,0.0,0.0,0.0
2008-07-01,53.419000000000004,1471.0,1471.0,0.0,0.0,0.0
2008-08-01,11.113000000000001,309.0,309.0,0.0,0.0,0.0
2008-09-01,1.724,50.0,50.0,0.0,0.0,0.0
2008-10-01,0.65,17.0,17.0,0.0,0.0,0.0
2008-11-01,0.096,0.0,0.0,0.0,0.0,0.0
2008-12-01,5.675000000000001,154.0,154.0,0.0,0.0,0.0
2009-01-01,-41.704,1405.0,1405.0,0.0,0.0,0.0
2009-02-01,-6.605,220.0,220.0,0.0,0.0,0.0
2009-03-01,-0.8240000000000001,28.0,28.0,0.0,0.0,0.0
2009-04-01,-0.642,22.0,22.0,0.0,0.0,0.0
2009-05-01,-0.326,11.0,11.0,0.0,0.0,0.0
2009-06-01,-0.599,22.0,22.0,0.0,0.0,0.0
2009-07-01,-2.295,77.0,77.0,0.0,0.0,0.0
2009-08-01,-5.8790000000000004,198.0,198.0,0.0,0.0,0.0
2009-09-01,-0.393,11.0,11.0,0.0,0.0,0.0
2009-10-01,-1.357,44.0,44.0,0.0,0.0,0.0
2009-11-01,-7.35,248.0,248.0,0.0,0.0,0.0
2009-12-01,-4.026,138.0,138.0,0.0,0.0,0.0
2010-01-01,27.403000000000002,496.0,496.0,0.0,0.0,0.0
2010-02-01,27.423000000000002,496.0,496.0,0.0,0.0,0.0
2010-03-01,3.482,61.0,61.0,0.0,0.0,0.0
2010-04-01,10.767000000000001,193.0,193.0,0.0,0.0,0.0
2010-05-01,6.03,110.0,110.0,0.0,0.0,0.0
2010-06-01,14.715,264.0,264.0,0.0,0.0,0.0
2010-07-01,64.434,1163.0,1163.0,0.0,0.0,0.0
2010-08-01,38.131,689.0,689.0,0.0,0.0,0.0
2010-09-01,13.581000000000001,242.0,242.0,0.0,0.0,0.0
2010-10-01,2.571,44.0,44.0,0.0,0.0,0.0
2010-11-01,8.974,160.0,160.0,0.0,0.0,0.0
2010-12-01,33.489000000000004,606.0,606.0,0.0,0.0,0.0
2011-01-01,97.989,1493.0,1493.0,0.0,0.0,0.0
2011-02-01,22.773,347.0,347.0,0.0,0.0,0.0
2011-03-01,2.958,44.0,44.0,0.0,0.0,0.0
2011-04-01,1.073,17.0,17.0,0.0,0.0,0.0
2011-05-01,0.858,11.0,11.0,0.0,0.0,0.0
2011-06-01,3.319,50.0,50.0,0.0,0.0,0.0
2011-07-01,11.092,171.0,171.0,0.0,0.0,0.0
2011-08-01,9.598,149.0,149.0,0.0,0.0,0.0
2011-09-01,10.261,154.0,154.0,0.0,0.0,0.0
2011-10-01,2.817,44.0,44.0,0.0,0.0,0.0
2011-11-01,17.912,276.0,276.0,0.0,0.0,0.0
2011-12-01,0.35,6.0,6.0,0.0,0.0,0.0
2012-01-01,50.238,1135.0,1135.0,0.0,0.0,0.0
2012-02-01,0.793,17.0,17.0,0.0,0.0,0.0
2012-03-01,6.095,138.0,138.0,0.0,0.0,0.0
2012-04-01,0.661,17.0,17.0,0.0,0.0,0.0
2012-05-01,0.102,0.0,0.0,0.0,0.0,0.0
2012-06-01,2.068,44.0,44.0,0.0,0.0,0.0
2012-07-01,24.754,562.0,562.0,0.0,0.0,0.0
2012-08-01,5.549,127.0,127.0,0.0,0.0,0.0
2012-09-01,0.515,11.0,11.0,0.0,0.0,0.0
2012-10-01,0.215,6.0,6.0,0.0,0.0,0.0
2012-11-01,3.82,88.0,88.0,0.0,0.0,0.0
2012-12-01,1.19,28.0,28.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,81.871,1201.0,1201.0
2013-02-01,0.0,0.0,0.0,81.679,1196.0,1196.0
2013-03-01,0.0,0.0,0.0,1.993,28.0,28.0
2013-04-01,0.0,0.0,0.0,4.204,61.0,61.0
2013-05-01,0.0,0.0,0.0,6.673,99.0,99.0
2013-06-01,0.0,0.0,0.0,14.863,220.0,220.0
2013-07-01,0.0,0.0,0.0,51.049,749.0,749.0
2013-08-01,0.0,0.0,0.0,11.439,165.0,165.0
2013-09-01,0.0,0.0,0.0,1.954,28.0,28.0
2013-10-01,0.0,0.0,0.0,0.776,11.0,11.0
2013-11-01,0.0,0.0,0.0,21.472,314.0,314.0
2013-12-01,0.0,0.0,0.0,155.027,2270.0,2270.0
2014-01-01,0.0,0.0,0.0,814.758,11455.0,11455.0
2014-02-01,0.0,0.0,0.0,253.079,3559.0,3559.0
2014-03-01,0.0,0.0,0.0,190.144,2672.0,2672.0
2014-04-01,0.0,0.0,0.0,5.899,83.0,83.0
2014-05-01,0.0,0.0,0.0,1.929,28.0,28.0
2014-06-01,0.0,0.0,0.0,1.79,28.0,28.0
2014-07-01,0.0,0.0,0.0,13.573,193.0,193.0
2014-08-01,0.0,0.0,0.0,4.24,61.0,61.0
2014-09-01,0.0,0.0,0.0,2.21,33.0,33.0
2014-10-01,0.0,0.0,0.0,2.952,44.0,44.0
2014-11-01,0.0,0.0,0.0,11.657,165.0,165.0
2014-12-01,0.0,0.0,0.0,8.769,121.0,121.0
2015-01-01,0.0,0.0,0.0,22.674,331.0,331.0
2015-02-01,0.0,0.0,0.0,189.316,2727.0,2727.0
2015-03-01,0.0,0.0,0.0,8.729,127.0,127.0
2015-04-01,0.0,0.0,0.0,2.085,28.0,28.0
2015-05-01,0.0,0.0,0.0,0.605,11.0,11.0
2015-06-01,0.0,0.0,0.0,0.146,0.0,0.0
2015-07-01,0.0,0.0,0.0,3.093,44.0,44.0
2015-08-01,0.0,0.0,0.0,4.312,61.0,61.0
2015-09-01,0.0,0.0,0.0,0.665,11.0,11.0
2015-10-01,0.0,0.0,0.0,1.063,17.0,17.0
2015-11-01,0.0,0.0,0.0,5.849,83.0,83.0
2015-12-01,0.0,0.0,0.0,0.463,6.0,6.0
2016-01-01,0.0,0.0,0.0,8.732,138.0,138.0
2016-02-01,0.0,0.0,0.0,7.739,121.0,121.0
2016-03-01,0.0,0.0,0.0,7.495,116.0,116.0
2016-04-01,0.0,0.0,0.0,32.171,501.0,501.0
2016-05-01,0.0,0.0,0.0,10.415,160.0,160.0
2016-06-01,0.0,0.0,0.0,27.814,430.0,430.0
2016-07-01,0.0,0.0,0.0,82.042,1273.0,1273.0
2016-08-01,0.0,0.0,0.0,41.952,650.0,650.0
2016-09-01,0.0,0.0,0.0,15.238,237.0,237.0
2016-10-01,0.0,0.0,0.0,2.06,33.0,33.0
2016-11-01,0.0,0.0,0.0,17.233,270.0,270.0
2016-12-01,0.0,0.0,0.0,30.109,468.0,468.0
2017-01-01,0.0,0.0,0.0,27.862,440.0,440.0
2017-02-01,0.0,0.0,0.0,15.094,231.0,231.0
2017-03-01,0.0,0.0,0.0,18.129,281.0,281.0
2017-04-01,0.0,0.0,0.0,12.549,193.0,193.0
2017-05-01,0.0,0.0,0.0,12.864,198.0,198.0
