measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2021-01-01,517.063,3830.0,3830.0
2021-02-01,438.486,3247.0,3247.0
2021-03-01,471.457,3492.0,3492.0
2021-04-01,418.34,3098.0,3098.0
2021-05-01,437.219,3237.0,3237.0
2021-06-01,597.872,4427.0,4427.0
2021-07-01,825.052,6110.0,6110.0
2021-08-01,753.3,5578.0,5578.0
2021-09-01,640.97,4746.0,4746.0
2021-10-01,611.041,4525.0,4525.0
2021-11-01,561.577,4158.0,4158.0
2021-12-01,579.623,4292.0,4292.0
2022-01-01,519.616,3784.0,3784.0
2022-02-01,431.421,3143.0,3143.0
2022-03-01,399.179,2908.0,2908.0
2022-04-01,408.893,2979.0,2979.0
2022-05-01,375.228,2734.0,2734.0
2022-06-01,510.336,3717.0,3717.0
2022-07-01,681.757,4967.0,4967.0
2022-08-01,822.631,5993.0,5993.0
2022-09-01,753.939,5492.0,5492.0
2022-10-01,692.377,5044.0,5044.0
2022-11-01,635.829,4632.0,4632.0
2022-12-01,702.794,5119.0,5119.0
2023-01-01,634.342,4455.0,4455.0
2023-02-01,540.336,3794.0,3794.0
2023-03-01,519.332,3646.0,3646.0
2023-04-01,405.707,2849.0,2849.0
2023-05-01,262.774,1845.0,1845.0
2023-06-01,345.689,2427.0,2427.0
2023-07-01,800.203,5619.0,5619.0
2023-08-01,807.42,5669.0,5669.0
2023-09-01,571.514,4013.0,4013.0
2023-10-01,697.925,4900.0,4900.0
2023-11-01,655.623,4603.0,4603.0
2023-12-01,738.135,5183.0,5183.0
2024-01-01,693.0,4932.0,4932.0
2024-02-01,643.0,4532.0,4532.0
2024-03-01,693.0,4865.0,4865.0
2024-04-01,660.0,4667.0,4667.0
2024-05-01,657.0,4682.0,4682.0
2024-06-01,680.0,4778.0,4778.0
2024-07-01,709.0,5002.0,5002.0
2024-08-01,698.0,4985.0,4985.0
2024-09-01,691.0,4903.0,4903.0
2024-10-01,720.0,5039.0,5039.0
2024-11-01,704.0,4923.0,4923.0
2024-12-01,705.0,4959.0,4959.0
