measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-01-01,730.368,7093.0,7093.0
2013-02-01,657.984,6390.0,6390.0
2013-03-01,706.884,6865.0,6865.0
2013-04-01,641.559,6230.0,6230.0
2013-05-01,711.628,6911.0,6911.0
2013-06-01,692.997,6730.0,6730.0
2013-07-01,712.671,6921.0,6921.0
2013-08-01,787.449,7647.0,7647.0
2013-09-01,718.314,6976.0,6976.0
2013-10-01,784.203,7615.0,7615.0
2013-11-01,779.793,7573.0,7573.0
2013-12-01,814.15,7906.0,7906.0
