measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,26710.0,352726.0,352726.0,7359.0,0.0,0.0
2003-02-01,24437.0,357602.0,357602.0,7199.0,0.0,0.0
2003-03-01,20634.0,331433.0,331433.0,5955.0,0.0,0.0
2003-04-01,25209.33,369880.0,369880.0,6973.33,0.0,0.0
2003-05-01,26329.68,373583.0,373583.0,7525.26,0.0,0.0
2003-06-01,24619.57,341984.0,341984.0,6813.28,0.0,0.0
2003-07-01,25698.21,351193.0,351193.0,6941.32,0.0,0.0
2003-08-01,25443.1,350161.0,350161.0,6841.41,0.0,0.0
2003-09-01,24789.32,341425.0,341425.0,6596.0,0.0,0.0
2003-10-01,26096.88,373538.0,373538.0,7375.88,0.0,0.0
2003-11-01,24936.76,369104.0,369104.0,6866.63,0.0,0.0
2003-12-01,25635.16,375191.0,375191.0,6979.15,0.0,0.0
2004-01-01,31298.99,349523.24,391072.08,0.0,0.0,0.0
2004-02-01,31298.99,349523.24,368220.0,0.0,0.0,0.0
2004-03-01,21189.65,236629.84,294232.26,0.0,0.0,0.0
2004-04-01,10426.53,116435.53,216084.96,0.0,0.0,0.0
2004-05-01,36319.71,380799.66,380799.66,0.0,0.0,0.0
2004-06-01,34644.52,359380.68,359380.68,0.0,0.0,0.0
2004-07-01,35631.98,368499.48,368499.48,0.0,0.0,0.0
2004-08-01,36249.87,372684.54,372684.54,0.0,0.0,0.0
2004-09-01,34837.55,363863.58,363863.58,0.0,0.0,0.0
2004-10-01,36802.77,394070.88,394070.88,0.0,0.0,0.0
2004-11-01,32983.88,368338.81,385407.0,0.0,0.0,0.0
2004-12-01,32457.17,362456.91,386611.62,0.0,0.0,0.0
2005-01-01,35011.18,390978.15,426049.0,0.0,0.0,0.0
2005-02-01,32418.37,362023.62,367703.47,0.0,0.0,0.0
2005-03-01,33100.28,369638.67,373166.64,0.0,0.0,0.0
2005-04-01,33406.8,373061.65,373244.09,0.0,0.0,0.0
2005-05-01,34946.19,376582.63,376582.63,0.0,0.0,0.0
2005-06-01,32000.3,348396.73,348396.73,0.0,0.0,0.0
2005-07-01,29617.01,328730.82,328730.82,0.0,0.0,0.0
2005-08-01,29922.56,333007.32,333007.32,0.0,0.0,0.0
2005-09-01,28313.33,316181.67,324657.9,0.0,0.0,0.0
2005-10-01,29041.8,324316.66,333587.34,0.0,0.0,0.0
2005-11-01,26124.04,291733.35,303091.43,0.0,0.0,0.0
2005-12-01,28100.9,313809.41,327228.24,0.0,0.0,0.0
2006-01-01,27133.81,303009.69,331055.87,0.0,0.0,0.0
2006-02-01,25112.33,280435.34,298700.29,0.0,0.0,0.0
2006-03-01,29169.84,325746.52,347752.98,0.0,0.0,0.0
2006-04-01,27315.2,305035.31,402881.64,0.0,0.0,0.0
2006-05-01,31342.64,328536.9,328536.9,0.0,0.0,0.0
2006-06-01,30285.34,307760.91,307760.91,0.0,0.0,0.0
2006-07-01,29931.29,302735.82,302735.82,0.0,0.0,0.0
2006-08-01,31238.85,348851.64,402493.24,0.0,0.0,0.0
2006-09-01,31708.33,330764.58,330764.58,0.0,0.0,0.0
2006-10-01,33536.78,358970.49,358970.49,0.0,0.0,0.0
2006-11-01,30667.52,342471.46,346700.86,0.0,0.0,0.0
2006-12-01,34794.87,388562.56,393675.62,0.0,0.0,0.0
2007-01-01,32750.11,365729.0,397324.0,0.0,0.0,0.0
2007-02-01,33303.01,364191.0,364191.0,0.0,0.0,0.0
2007-03-01,36399.25,401001.0,401001.0,0.0,0.0,0.0
2007-04-01,35450.59,393625.0,393625.0,0.0,0.0,0.0
2007-05-01,34794.87,377535.0,377535.0,0.0,0.0,0.0
2007-06-01,35621.31,371390.0,371390.0,0.0,0.0,0.0
