measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-01-01,,,,1840.359,18422.0,18422.0
2013-02-01,,,,1666.341,16681.0,16681.0
2013-03-01,,,,1797.727,17996.0,17996.0
2013-04-01,,,,1648.565,16502.0,16502.0
2013-05-01,,,,1727.204,17289.0,17289.0
2013-06-01,,,,1641.212,16429.0,16429.0
2013-07-01,,,,1766.671,17685.0,17685.0
2013-08-01,,,,1975.931,19779.0,19779.0
2013-09-01,,,,1794.638,17964.0,17964.0
2013-10-01,,,,1916.828,19188.0,19188.0
2013-11-01,,,,1913.253,19152.0,19152.0
2013-12-01,,,,1973.271,19753.0,19753.0
2014-01-01,,,,2235.08,22869.0,22869.0
2014-02-01,,,,2761.734,28257.0,28257.0
2014-03-01,,,,3011.33,30812.0,30812.0
2014-04-01,,,,2397.014,24526.0,24526.0
2014-05-01,,,,1808.144,18501.0,18501.0
2014-06-01,,,,2588.952,26490.0,26490.0
2014-07-01,,,,4414.719,45170.0,45170.0
2014-08-01,,,,3284.467,33606.0,33606.0
2014-09-01,,,,3299.692,33762.0,33762.0
2014-10-01,,,,2883.915,29508.0,29508.0
2014-11-01,,,,2966.388,30351.0,30351.0
2014-12-01,,,,3161.565,32349.0,32349.0
2015-01-01,,,,2943.665,32444.0,32444.0
2015-02-01,,,,2234.887,24632.0,24632.0
2015-03-01,,,,3800.696,41889.0,41889.0
2015-04-01,,,,2847.366,31382.0,31382.0
2015-05-01,,,,2143.233,23621.0,23621.0
2015-06-01,,,,2757.042,30386.0,30386.0
2015-07-01,,,,2873.389,31669.0,31669.0
2015-08-01,,,,3165.85,34892.0,34892.0
2015-09-01,,,,3116.987,34353.0,34353.0
2015-10-01,,,,2761.124,30432.0,30432.0
2015-11-01,,,,2933.663,32333.0,32333.0
2015-12-01,,,,2719.098,29968.0,29968.0
2016-01-01,,,,1440.608,7022.0,15877.0
2016-02-01,,,,1344.883,6555.0,14823.0
2016-03-01,,,,1363.048,6644.0,15023.0
2016-04-01,,,,1187.992,5791.0,13093.0
2016-05-01,,,,897.736,4376.0,9894.0
2016-06-01,,,,1392.795,6789.0,15351.0
2016-07-01,,,,1315.255,6411.0,14496.0
2016-08-01,,,,1361.744,6638.0,15009.0
