measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,841.0,9827.0,9827.0,0.0,0.0,0.0
2003-02-01,3367.0,34542.0,34542.0,0.0,0.0,0.0
2003-03-01,743.0,8066.0,8066.0,0.0,0.0,0.0
2003-04-01,,,,286.0,3641.0,3641.0
2003-05-01,0.0,0.0,0.0,1993.0,22186.0,22186.0
2003-06-01,0.0,0.0,0.0,10489.0,117359.0,117359.0
2003-07-01,0.0,0.0,0.0,41683.0,457222.0,457222.0
2003-08-01,0.0,0.0,0.0,60113.0,651545.0,651545.0
2003-09-01,679.0,8886.0,8886.0,10960.0,121641.0,121641.0
2003-10-01,61.0,770.0,770.0,6206.0,70376.0,70376.0
2003-11-01,250.0,3922.0,3922.0,552.0,6860.0,6860.0
2003-12-01,0.0,0.0,0.0,8244.0,88454.0,88454.0
2004-01-01,2184.0,23661.0,23661.0,980.0,10540.0,10540.0
2004-02-01,97.0,1265.0,1265.0,0.0,0.0,0.0
2004-03-01,7.0,285.0,285.0,9.0,403.0,403.0
2004-04-01,0.0,0.0,0.0,2062.0,23067.0,23067.0
2004-05-01,233.0,2896.0,2896.0,4091.0,41402.0,41402.0
2004-06-01,241.0,2993.0,2993.0,8228.0,92493.0,92493.0
2004-07-01,0.0,0.0,0.0,27036.0,296547.0,296547.0
2004-08-01,0.0,0.0,0.0,2894.0,31458.0,31458.0
2004-09-01,0.0,0.0,0.0,4577.0,53907.0,53907.0
2004-10-01,76.0,901.0,901.0,656.0,8248.0,8248.0
2004-11-01,49.0,730.0,730.0,0.0,0.0,0.0
2004-12-01,233.0,2839.0,2839.0,11.0,136.0,136.0
2005-01-01,5.0,267.9,267.9,2.0,121.0,121.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,216.0,3363.0,3363.0
2005-04-01,312.0,4326.3,4326.3,6483.0,78384.0,78384.0
2005-05-01,0.0,0.0,0.0,8344.0,96089.0,96089.0
2005-06-01,2300.0,26362.5,26362.5,49962.0,570834.0,570834.0
2005-07-01,0.0,0.0,0.0,54511.0,619885.0,619885.0
2005-08-01,420.0,5614.5,5614.5,50441.0,577347.0,577347.0
2005-09-01,407.0,5044.5,5044.5,34788.0,396902.0,396902.0
2005-10-01,0.0,0.0,0.0,36492.0,452087.0,452087.0
2005-11-01,500.0,6277.43,6277.43,23767.0,292968.0,292968.0
2005-12-01,7466.0,78898.05,78898.05,3845.0,42921.0,42921.0
2006-01-01,0.0,0.0,0.0,4267.0,48818.0,48818.0
2006-02-01,1867.0,23119.0,23119.0,1743.0,19470.0,19470.0
2006-03-01,418.0,4765.0,4765.0,78.0,865.0,865.0
2006-04-01,87.0,1083.0,1083.0,4871.0,58610.0,58610.0
2006-05-01,44.0,542.0,542.0,21760.0,248105.0,248105.0
2006-06-01,0.0,0.0,0.0,25295.0,291833.0,291833.0
2006-07-01,0.0,0.0,0.0,91218.0,1044083.0,1044083.0
