measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,23681.0,107764.0,975125.0,16399.0,74627.0,675271.0,,,,,,,,,,,,,,,
2003-02-01,22070.0,189196.0,852575.0,15429.0,132269.0,596043.0,,,,,,,,,,,,,,,
2003-03-01,22233.0,170921.0,847435.0,18635.0,143257.0,710268.0,,,,,,,,,,,,,,,
2003-04-01,20250.0,351634.0,899525.0,,,,,,,,,,,,,,,,,,
2003-05-01,23666.0,142987.0,901416.0,16394.0,99050.0,624422.0,,,,,,,,,,,,,,,
2003-06-01,10728.0,123960.0,596482.0,12243.0,141469.0,680736.0,,,,,,,,,,,,,,,
2003-07-01,21025.0,152741.0,750260.0,19819.0,143979.0,707224.0,,,,,,,,,,,,,,,
2003-08-01,25423.0,163934.0,799664.0,21268.0,137136.0,668942.0,,,,,,,,,,,,,,,
2003-09-01,21215.0,183698.0,762375.0,18205.0,157639.0,654226.0,,,,,,,,,,,,,,,
2003-10-01,27582.0,192583.0,932700.0,16069.0,112197.0,543378.0,,,,,,,,,,,,,,,
2003-11-01,23451.0,193918.0,854950.0,18737.0,154937.0,683089.0,,,,,,,,,,,,,,,
2003-12-01,23494.0,198059.0,901175.0,17553.0,147977.0,673299.0,,,,,,,,,,,,,,,
2004-01-01,22787.32602,112243.04,996325.0,13884.60998,68391.12,607073.6,,,,,,,,,,,,,,,
2004-02-01,20541.68139,101181.72,869250.0,14208.69461,69987.46,601260.8,,,,,,,,,,,,,,,
2004-03-01,24413.57788,120253.43,986675.0,15422.54712,75966.51,623302.4,,,,,,,,,,,,,,,
2004-04-01,23524.78932,115875.55,929325.0,16260.43968,80093.7,642353.6,,,,,,,,,,,,,,,
2004-05-01,20181.54749,99407.81,896600.0,14280.73851,70342.33,634446.4,,,,,,,,,,,,,,,
2004-06-01,24395.12186,120162.52,956100.0,14239.66814,70140.03,558084.8,,,,,,,,,,,,,,,
2004-07-01,27629.09234,136092.03,996825.0,17224.59966,84842.84,621443.2,,,,,,,,,,,,,,,
2004-08-01,24152.1233,118965.59,865536.0,17832.1927,87835.65,639049.6,,,,,,,,,,,,,,,
2004-09-01,19941.94602,98227.61,789268.0,14994.72798,73859.21,593465.6,,,,,,,,,,,,,,,
2004-10-01,24522.90108,120791.92,904245.0,16166.93092,79633.1,596131.2,,,,,,,,,,,,,,,
2004-11-01,22454.37056,110603.01,892285.0,13700.92444,67486.35,544443.2,,,,,,,,,,,,,,,
2004-12-01,19865.92653,97853.17,886351.0,14879.64847,73292.36,663880.0,,,,,,,,,,,,,,,
2005-01-01,24151.03563,118960.24,1013334.0,15586.17837,76772.5,653968.0,,,,,,,,,,,,,,,
2005-02-01,23260.12404,114571.89,904038.0,15113.46396,74444.06,587406.4,,,,,,,,,,,,,,,
2005-03-01,23135.88426,113959.93,973429.0,15616.06174,76919.7,657036.8,,,,,,,,,,,,,,,
2005-04-01,24631.70252,121327.85,912226.0,17471.69048,86059.93,647057.6,,,,,,,,,,,,,,,
2005-05-01,22886.88306,112733.43,892699.0,15959.17194,78609.75,622484.8,,,,,,,,,,,,,,,
2005-06-01,18537.66822,91310.59,750858.0,15264.89178,75189.95,618296.0,,,,,,,,,,,,,,,
2005-07-01,21018.59212,103530.83,736690.0,14205.21188,69970.31,497884.8,,,,,,,,,,,,,,,
2005-08-01,25740.14725,126787.69,911467.0,17915.09075,88243.98,634379.2,,,,,,,,,,,,,,,
2005-09-01,20870.75638,102802.63,815948.0,16225.63262,79922.25,634345.6,,,,,,,,,,,,,,,
2005-10-01,27878.54153,137320.73,911352.0,16124.32447,79423.24,527105.6,,,,,,,,,,,,,,,
2005-11-01,23356.31673,115045.7,852932.0,17656.17627,86968.65,644772.8,,,,,,,,,,,,,,,
2005-12-01,22725.30999,111937.57,919885.0,16570.16601,81619.31,670734.4,,,,,,,,,,,,,,,
2006-01-01,24942.99672,122861.18,991974.2,16714.81728,82331.82,664742.4,,,,,,,,,,,,,,,
2006-02-01,21374.92625,105286.01,862576.0,15836.69875,78006.49,639083.2,,,,,,,,,,,,,,,
2006-03-01,26371.36077,129896.84,989609.4,18780.02523,92504.36,704737.6,,,,,,,,,,,,,,,
2006-04-01,24972.19551,123005.0,936168.0,18313.32749,90205.56,686537.6,,,,,,,,,,,,,,,
2006-05-01,16914.94286,83317.57,757744.4,15531.67314,76504.03,695777.6,,,,,,,,,,,,,,,
2006-06-01,22087.02603,108793.59,862153.4,17271.82997,85075.48,674195.2,,,,,,,,,,,,,,,
2006-07-01,26526.88393,130662.9,940272.0,17393.39707,85674.28,616526.4,,,,,,,,,,,,,,,
2006-08-01,22453.55624,110599.0,860810.0,16873.60976,83113.98,646889.6,,,,,,,,,,,,,,,
2006-09-01,26609.68576,131070.75,941442.4,13971.63224,68819.77,494312.0,,,,,,,,,,,,,,,
2006-10-01,26281.36241,129453.54,941564.4,18816.24659,92682.78,674116.8,,,,,,,,,,,,,,,
2006-11-01,24263.53561,119514.37,946632.0,16498.31839,81265.41,643675.2,,,,,,,,,,,,,,,
