measured_on,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,10644.777,162653.0,162653.0,6.7620000000000005,43.0,43.0,,,,0.0,0.0,0.0,69.81700000000001,1040.0,1040.0
2003-02-01,,,,9357.182,142978.0,142978.0,5.944,38.0,38.0,,,,0.0,0.0,0.0,61.372,914.0,914.0
2003-03-01,,,,9347.142,142825.0,142825.0,5.938000000000001,38.0,38.0,,,,0.0,0.0,0.0,61.306000000000004,913.0,913.0
2003-04-01,,,,7922.012000000001,121049.0,121049.0,5.033,32.0,32.0,,,,0.0,0.0,0.0,51.959,774.0,774.0
2003-05-01,,,,8625.942000000001,131805.0,131805.0,5.48,35.0,35.0,,,,0.0,0.0,0.0,56.576,842.0,842.0
2003-06-01,,,,9262.702000000001,141535.0,141535.0,5.884,37.0,37.0,,,,0.0,0.0,0.0,60.752,905.0,905.0
2003-07-01,,,,10391.224,158779.0,158779.0,6.601,42.0,42.0,,,,0.0,0.0,0.0,68.154,1015.0,1015.0
2003-08-01,,,,11160.608,170535.0,170535.0,7.09,45.0,45.0,,,,0.0,0.0,0.0,73.2,1090.0,1090.0
2003-09-01,,,,9516.776,145417.0,145417.0,6.046,38.0,38.0,,,,0.0,0.0,0.0,62.418000000000006,929.0,929.0
2003-10-01,,,,10197.503,155819.0,155819.0,6.478000000000001,41.0,41.0,,,,0.0,0.0,0.0,66.88300000000001,996.0,996.0
2003-11-01,,,,9782.826000000001,149482.0,149482.0,6.215,39.0,39.0,,,,0.0,0.0,0.0,64.163,955.0,955.0
2003-12-01,,,,10276.305,157023.0,157023.0,6.5280000000000005,41.0,41.0,,,,0.0,0.0,0.0,67.4,1004.0,1004.0
2004-01-01,,,,6631.416,105467.0,105467.0,1.3980000000000001,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,53.979,837.0,837.0
2004-02-01,,,,5344.631,85002.0,85002.0,4.594,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,56.033,869.0,869.0
2004-03-01,,,,5154.222000000001,81973.0,81973.0,2.597,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,38.092,591.0,591.0
2004-04-01,,,,4794.445000000001,76251.0,76251.0,2.3970000000000002,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,38.393,595.0,595.0
2004-05-01,,,,5595.366,88989.0,88989.0,4.993,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,31.193,484.0,484.0
2004-06-01,,,,5719.666,90966.0,90966.0,3.2960000000000003,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,30.875,479.0,479.0
2004-07-01,,,,5930.2210000000005,94315.0,94315.0,1.498,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,31.444000000000003,488.0,488.0
2004-08-01,,,,5548.398,88242.0,88242.0,4.494,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,28.818,447.0,447.0
2004-09-01,,,,5406.028,85978.0,85978.0,18.376,183.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,44.996,698.0,698.0
2004-10-01,,,,5190.009,82543.0,82543.0,1.198,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.033000000000001,125.0,125.0
2004-11-01,,,,5005.508,79608.0,79608.0,28.463,283.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,30.444000000000003,472.0,472.0
2004-12-01,,,,5949.09,94615.0,94615.0,2.696,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,45.701,709.0,709.0
2005-01-01,,,,7946.827,119640.28,119640.28,24.504,261.89,261.89,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,,,,6919.033,104166.73,104166.73,8.419,89.98,89.98,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,,,,7178.477000000001,108072.7,108072.7,9.331000000000001,99.73,99.73,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,,,,6397.435,96314.03,96314.03,11.303,120.8,120.8,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,,,,7023.098,105733.43,105733.43,10.497,112.19,112.19,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,,,,7822.275000000001,117765.13,117765.13,13.625,145.61,145.61,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,,,,8268.972,124490.2,124490.2,13.868,148.22,148.22,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,,,,8360.972,125875.28,125875.28,16.292,174.12,174.12,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,,,,7662.134,115354.2,115354.2,10.665,113.98,113.98,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,,,,7235.451,108930.43,108930.43,11.843,126.58,126.58,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,,,,7054.229,106202.13,106202.13,9.521,101.75,101.75,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,,,,7878.097000000001,118605.53,118605.53,20.132,215.16,215.16,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,,,,7351.383000000001,114361.0,114361.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,,,,7001.385,108916.0,108916.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
