measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-01-01,1017.941,9885.0,9885.0
2013-02-01,903.307,8772.0,8772.0
2013-03-01,1047.424,10172.0,10172.0
2013-04-01,1004.349,9753.0,9753.0
2013-05-01,1047.73,10175.0,10175.0
2013-06-01,1025.614,9960.0,9960.0
2013-07-01,1073.023,10420.0,10420.0
2013-08-01,1075.222,10441.0,10441.0
2013-09-01,1013.622,9844.0,9844.0
2013-10-01,1067.245,10364.0,10364.0
2013-11-01,1081.524,10503.0,10503.0
2013-12-01,1125.999,10935.0,10935.0
2014-01-01,936.736,138414.0,138414.0
2014-02-01,801.703,118461.0,118461.0
2014-03-01,929.041,137277.0,137277.0
2014-04-01,899.708,132943.0,132943.0
2014-05-01,930.328,137467.0,137467.0
2014-06-01,912.151,134781.0,134781.0
2014-07-01,934.325,138058.0,138058.0
2014-08-01,923.694,136487.0,136487.0
2014-09-01,872.244,128884.0,128884.0
2014-10-01,896.407,132455.0,132455.0
2014-11-01,880.014,130032.0,130032.0
2014-12-01,911.649,134707.0,134707.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0
