measured_on,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2001-01-01,374958.0,3915311.0,3915311.0
2001-02-01,338738.0,3537102.0,3537102.0
2001-03-01,360422.0,3763527.0,3763527.0
2001-04-01,374078.0,3906122.0,3906122.0
2001-05-01,366191.0,3823766.0,3823766.0
2001-06-01,338420.0,3533782.0,3533782.0
2001-07-01,368694.0,3849903.0,3849903.0
2001-08-01,365908.0,3820811.0,3820811.0
2001-09-01,271320.0,2833123.0,2833123.0
2001-10-01,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0
2001-12-01,303281.0,3166860.0,3166860.0
2002-01-01,394109.0,4115286.0,4115286.0
2002-02-01,356706.0,3724724.0,3724724.0
2002-03-01,390893.0,4081705.0,4081705.0
2002-04-01,379730.0,3965141.0,3965141.0
2002-05-01,246100.0,2569776.0,2569776.0
2002-06-01,380201.0,3970059.0,3970059.0
2002-07-01,389404.0,4066157.0,4066157.0
2002-08-01,388724.0,4059056.0,4059056.0
2002-09-01,378133.0,3948465.0,3948465.0
2002-10-01,393001.0,4103716.0,4103716.0
2002-11-01,380890.0,3977253.0,3977253.0
2002-12-01,390843.0,4081183.0,4081183.0
2003-01-01,395017.0,4116472.16,4116472.16
2003-02-01,340614.0,3549538.49,3549538.49
2003-03-01,393504.0,4100705.18,4100705.18
2003-04-01,39977.0,416600.32,416600.32
2003-05-01,233410.0,2432365.61,2432365.61
2003-06-01,383826.0,3999850.75,3999850.75
2003-07-01,395677.0,4123350.02,4123350.02
2003-08-01,398345.0,4151153.25,4151153.25
2003-09-01,388429.0,4047818.61,4047818.61
2003-10-01,402479.0,4194233.66,4194233.66
2003-11-01,390525.0,4069661.03,4069661.03
2003-12-01,397324.0,4140513.4,4140513.4
2004-01-01,195008.0,2033348.42,2033348.42
2004-02-01,363960.0,3795010.92,3795010.92
2004-03-01,386957.0,4034800.64,4034800.64
2004-04-01,411416.0,4289834.63,4289834.63
2004-05-01,425146.0,4432997.34,4432997.34
2004-06-01,410108.0,4276196.12,4276196.12
2004-07-01,420571.0,4385293.82,4385293.82
2004-08-01,420641.0,4386023.71,4386023.71
2004-09-01,410377.0,4279000.98,4279000.98
2004-10-01,102736.0,1071228.27,1071228.27
2004-11-01,0.0,0.0,0.0
2004-12-01,326962.0,3409232.77,3409232.77
2005-01-01,423459.0,4418794.67,4418794.67
