measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,93454.0,1140756.0,1251330.0,,,,,,
2003-02-01,86137.0,1036681.0,1133856.0,,,,,,
2003-03-01,99971.0,1123617.0,1225334.0,,,,0.0,0.0,0.0
2003-04-01,98410.0,1125440.0,1207446.0,,,,0.0,0.0,0.0
2003-05-01,90871.0,1051451.0,1122196.0,,,,6519.0,75433.0,80508.0
2003-06-01,93525.0,1083343.0,1157942.0,,,,1724.0,19967.0,21342.0
2003-07-01,74382.0,885345.0,940853.0,,,,92.0,778.0,846.0
2003-08-01,79272.0,893404.0,941164.0,,,,8572.0,96605.0,101770.0
2003-09-01,85681.0,1070176.0,1122705.0,,,,11260.0,140635.0,147538.0
2003-10-01,87107.0,1067064.0,1141812.0,,,,6897.0,84485.0,90404.0
2003-11-01,74458.0,940192.0,1012875.0,,,,9969.0,125879.0,135610.0
2003-12-01,92743.0,1055414.0,1132215.0,,,,7786.0,88607.0,95054.0
2004-01-01,79131.11671,844340.64,1109674.61,,,,6319.21029,67426.9,88615.8
2004-02-01,66841.95271,713213.45,969867.55,,,,6923.75129,73877.44,100462.68
2004-03-01,67816.3982,723610.93,1030741.8,,,,10232.3018,109180.16,155520.81
2004-04-01,65269.25368,696432.53,973740.54,,,,10886.65532,116162.21,162416.1
2004-05-01,52580.55175,561042.21,842265.35,,,,8738.56925,93241.82,139979.4
2004-06-01,72353.71173,772024.73,1099294.42,,,,11527.05327,122995.35,175134.42
2004-07-01,71313.59845,760926.57,1078715.16,,,,10068.90755,107436.72,152305.92
2004-08-01,68541.29349,731345.67,1046740.08,,,,8614.10651,91913.78,131551.8
2004-09-01,73440.10298,783616.69,1113673.34,,,,3599.79202,38410.31,54588.6
2004-10-01,77834.18911,830502.23,1165507.38,,,,5698.19789,60800.61,85326.15
2004-11-01,73289.78629,782012.8,1101948.53,,,,4514.86171,48174.24,67883.2
2004-12-01,74641.70492,796437.96,1145823.12,,,,1674.42108,17866.32,25704.0
2005-01-01,74641.9584,796440.67,1146000.49,,,,1674.1676,17863.61,25704.0
2005-02-01,70201.57728,749061.15,1068064.84,,,,2028.09772,21640.1,30856.0
2005-03-01,78042.18811,832721.61,1212614.6,,,,82.89389,884.49,1288.0
2005-04-01,78466.59705,837250.12,1184455.05,,,,2277.83695,24304.86,34384.0
2005-05-01,49699.58079,530301.83,821289.06,,,,635.39821,6779.79,10500.0
2005-07-01,71728.533,765353.99,1150418.0,,,,0.0,0.0,0.0
2005-08-01,82380.133,879008.12,1261330.56,,,,0.0,0.0,0.0
2005-09-01,82213.396,877229.01,1124307.54,,,,0.0,0.0,0.0
2005-10-01,83080.614,886482.36,1209901.5,,,,0.0,0.0,0.0
2005-11-01,78572.80828,838383.41,1176790.27,,,,91.60672,977.46,1372.0
2005-12-01,74424.268,794117.87,1145225.64,,,,0.0,0.0,0.0
2006-01-01,77465.59281,826569.26,1261659.36,,,,534.66919,5705.0,8708.0
2006-02-01,83447.621,890398.38,1088108.14,,,,0.0,0.0,0.0
2006-03-01,75634.275,807028.82,1233119.65,,,,0.0,0.0,0.0
2006-04-01,75618.439,806859.86,1099530.12,,,,0.0,0.0,0.0
2006-05-01,66752.508,712259.07,1007036.04,,,,0.0,0.0,0.0
2006-06-01,77563.393,827612.8,1063760.04,,,,0.0,0.0,0.0
2006-07-01,77563.393,827612.8,1136717.44,,,,0.0,0.0,0.0
2006-08-01,67050.585,715439.6,1068897.06,,,,0.0,0.0,0.0
2006-09-01,63821.106,680980.58,1014182.37,,,,0.0,0.0,0.0
2006-10-01,80800.324,862151.33,1226682.24,,,,0.0,0.0,0.0
2006-11-01,76752.064,818955.8,1202490.3,,,,0.0,0.0,0.0
2006-12-01,80544.164,859418.06,1257502.4,,,,0.0,0.0,0.0
2007-01-01,82615.8,881513.0,1274772.0,,,,0.0,0.0,0.0
2007-02-01,72423.426,772766.0,1144709.0,,,,0.0,0.0,0.0
2007-03-01,79525.113,848548.0,1239697.0,,,,0.0,0.0,0.0
2007-04-01,81432.806,868895.0,1235449.0,,,,0.0,0.0,0.0
2007-05-01,67701.697,722380.0,1036425.0,,,,0.0,0.0,0.0
2007-06-01,79588.455,849226.0,1233475.0,,,,0.0,0.0,0.0
2007-07-01,80848.762,862677.0,1235378.0,,,,0.0,0.0,0.0
2007-08-01,79878.148,852317.0,1232272.0,,,,0.0,0.0,0.0
2007-09-01,72788.569,776659.0,1142079.0,,,,0.0,0.0,0.0
2007-10-01,79414.266,847363.0,1177068.0,,,,0.0,0.0,0.0
2007-11-01,47832.063,510365.0,776929.0,,,,0.0,0.0,0.0
2007-12-01,75824.298,809069.0,1148519.0,,,,0.0,0.0,0.0
2008-01-01,85258.185,925427.0,1169951.0,226.815,2462.0,3112.0,0.0,0.0,0.0
2008-02-01,68830.837,751976.0,1019365.0,210.163,2296.0,3112.0,0.0,0.0,0.0
2008-03-01,57099.555,631568.0,909310.0,195.44500000000002,2162.0,3112.0,0.0,0.0,0.0
2008-04-01,66073.149,723759.0,948347.0,216.851,2375.0,3112.0,0.0,0.0,0.0
2008-05-01,85435.461,927257.0,1163540.0,228.53900000000002,2480.0,3112.0,0.0,0.0,0.0
2008-06-01,75130.50200000001,820579.0,1041613.0,224.49800000000002,2452.0,3112.0,0.0,0.0,0.0
2008-07-01,77824.926,849763.0,1175436.0,206.074,2250.0,3112.0,0.0,0.0,0.0
2008-08-01,82832.149,902701.0,1167351.0,220.851,2407.0,3112.0,0.0,0.0,0.0
2008-09-01,52845.192,579137.0,807025.0,203.80800000000002,2234.0,3112.0,0.0,0.0,0.0
2008-10-01,43600.645,477224.0,684152.0,198.35500000000002,2171.0,3112.0,0.0,0.0,0.0
2008-11-01,79190.568,855597.0,1128391.0,218.43200000000002,2360.0,3112.0,0.0,0.0,0.0
2008-12-01,68286.073,745496.0,1000903.0,213.92700000000002,2336.0,3136.0,0.0,0.0,0.0
2009-01-01,81152.888,883241.0,1131685.0,189.11200000000002,2058.0,2637.0,,,
2009-02-01,70671.546,768743.0,989956.0,217.454,2365.0,3046.0,,,
2009-03-01,82979.476,899928.0,1129490.0,117.524,1275.0,1600.0,,,
2009-04-01,81554.34,883726.0,1115804.0,151.66,1643.0,2075.0,,,
2009-05-01,81532.321,885809.0,1118730.0,129.679,1409.0,1779.0,,,
2009-06-01,81228.851,880471.0,1133106.0,95.149,1031.0,1327.0,,,
2009-07-01,85280.841,921037.0,1179570.0,175.15900000000002,1892.0,2423.0,,,
2009-08-01,76595.574,831949.0,1079480.0,132.42600000000002,1438.0,1866.0,,,
2009-09-01,86443.036,934085.0,1187236.0,86.964,940.0,1194.0,,,
2009-10-01,63833.125,697454.0,933351.0,157.875,1725.0,2308.0,,,
2009-11-01,54183.113,596015.0,824732.0,118.887,1308.0,1810.0,,,
2009-12-01,53041.25,585778.0,834392.0,87.75,969.0,1380.0,,,
2010-01-01,60711.477,668316.0,912830.0,229.52300000000002,2527.0,3451.0,,,
2010-02-01,75667.478,823343.0,1059993.0,127.522,1388.0,1786.0,,,
2010-03-01,67066.985,733492.0,992425.0,87.015,952.0,1288.0,,,
2010-04-01,69871.737,760819.0,959941.0,199.263,2170.0,2738.0,,,
2010-05-01,83071.426,896600.0,1139767.0,144.574,1560.0,1984.0,,,
2010-06-01,73311.115,795731.0,1026021.0,128.88500000000002,1399.0,1804.0,,,
2010-07-01,85084.256,919181.0,1191164.0,73.744,797.0,1032.0,,,
2010-08-01,80132.379,869111.0,1163619.0,122.62100000000001,1330.0,1781.0,,,
2010-09-01,78919.419,854157.0,1152512.0,86.581,937.0,1264.0,,,
2010-10-01,81881.871,885199.0,1154985.0,159.12900000000002,1720.0,2245.0,,,
2010-11-01,83948.399,909991.0,1173614.0,111.601,1210.0,1560.0,,,
2010-12-01,81852.513,890894.0,1154633.0,69.48700000000001,756.0,980.0,,,
2011-01-01,83914.58,910839.0,1161542.0,119.42,1296.0,1653.0,,,
2011-02-01,72639.623,790603.0,1022402.0,108.377,1180.0,1525.0,,,
2011-03-01,76749.283,837537.0,1084771.0,99.717,1088.0,1409.0,,,
2011-04-01,79785.909,868385.0,1108608.0,50.091,545.0,696.0,,,
2011-05-01,53253.601,590717.0,810446.0,157.399,1746.0,2395.0,,,
2011-06-01,78274.009,854221.0,1088022.0,110.991,1211.0,1543.0,,,
2011-07-01,83140.282,907492.0,1169194.0,116.718,1274.0,1641.0,,,
2011-08-01,77764.465,852901.0,1103154.0,98.535,1081.0,1398.0,,,
2011-09-01,60752.333,663164.0,868114.0,59.667,651.0,853.0,,,
2011-10-01,50164.333,550329.0,711125.0,235.667,2585.0,3341.0,,,
2011-11-01,87773.652,947233.0,1159994.0,51.348,554.0,679.0,,,
2011-12-01,86580.375,938674.0,1166162.0,101.625,1102.0,1369.0,,,
2012-01-01,84656.389,916829.0,1208221.0,90.611,981.0,1293.0,,,
2012-02-01,83937.322,904729.0,1191648.0,41.678,449.0,592.0,,,
2012-03-01,85536.588,924448.0,1202136.0,89.412,966.0,1257.0,,,
2012-04-01,85525.712,922333.0,1179516.0,78.288,844.0,1080.0,,,
2012-05-01,84086.178,907381.0,1186770.0,29.822,322.0,421.0,,,
2012-06-01,73661.893,798062.0,1071327.0,67.107,727.0,976.0,,,
2012-07-01,81752.942,886358.0,1197233.0,82.058,890.0,1202.0,,,
2012-08-01,80010.174,866046.0,1184066.0,115.826,1254.0,1714.0,,,
2012-09-01,76338.77,823727.0,1104369.0,160.23,1729.0,2318.0,,,
2012-10-01,82280.311,887080.0,1164773.0,179.689,1937.0,2544.0,,,
2012-11-01,84943.622,915878.0,1186788.0,59.378,640.0,830.0,,,
2012-12-01,83931.461,908192.0,1184534.0,114.539,1239.0,1617.0,,,
2013-01-01,0.0,0.0,115686.0,0.0,0.0,754.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,115567.0,0.0,0.0,1137.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,114758.0,0.0,0.0,1102.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,99103.0,0.0,0.0,226.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,77004.0,0.0,0.0,1218.0,0.0,0.0,0.0
2013-06-01,3072.583,52790.0,137668.0,59.417,1021.0,2662.0,0.0,0.0,0.0
2013-07-01,6389.283,88912.0,180135.0,61.717,859.0,1740.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,78600.0,0.0,0.0,336.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,68839.0,0.0,0.0,905.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,67727.0,0.0,0.0,1862.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,100958.0,0.0,0.0,986.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,125959.0,0.0,0.0,725.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,122412.0,0.0,0.0,563.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,109300.0,0.0,0.0,203.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,121639.0,0.0,0.0,638.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,87352.0,0.0,0.0,232.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,85111.0,0.0,0.0,493.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,77435.0,0.0,0.0,313.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,86734.0,0.0,0.0,928.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,86888.0,0.0,0.0,481.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,76404.0,0.0,0.0,215.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,91190.0,0.0,0.0,476.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,115328.0,0.0,0.0,766.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,129624.0,0.0,0.0,534.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,135616.0,0.0,0.0,1102.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,109060.0,0.0,0.0,1740.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,41880.0,0.0,0.0,1102.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
