measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Other - Combined Cycle Combustion Turbine Part - Other - Generation,Other - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-03-01,2027.826,25074.92,25074.92,675.917,0.0,0.0,,,,,,
2005-04-01,2037.565,25195.34,25195.34,679.163,0.0,0.0,,,,,,
2005-05-01,2237.87,27672.2,27672.2,745.9290000000001,0.0,0.0,,,,,,
2005-06-01,2874.414,35543.33,35543.33,958.1020000000001,0.0,0.0,,,,,,
2005-07-01,3680.74,45513.9,45513.9,1226.8680000000002,0.0,0.0,,,,,,
2005-08-01,3814.4190000000003,47166.88,47166.88,1271.4260000000002,0.0,0.0,,,,,,
2005-09-01,2876.886,35573.9,35573.9,958.926,0.0,0.0,,,,,,
2005-10-01,2233.0190000000002,27612.22,27612.22,744.312,0.0,0.0,,,,,,
2005-11-01,1992.3860000000002,24636.69,24636.69,664.104,0.0,0.0,,,,,,
2005-12-01,2273.254,28109.74,28109.74,757.7230000000001,0.0,0.0,,,,,,
2006-01-01,1761.335,20897.0,20897.0,583.578,0.0,0.0,,,,,,
2006-02-01,2089.664,24792.0,24792.0,692.363,0.0,0.0,,,,,,
2006-03-01,2383.453,28278.0,28278.0,789.7030000000001,0.0,0.0,,,,,,
