measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,38297.0,271219.0,467434.0,0.0,0.0,0.0,,,
2003-02-01,32955.0,197553.0,400835.0,,,,,,
2003-03-01,25770.08,194537.0,369944.0,,,,,,
2003-04-01,26624.0,168748.0,328911.0,,,,,,
2003-05-01,18644.0,106647.0,193542.0,,,,,,
2003-06-01,22509.0,169686.0,329461.0,,,,,,
2003-07-01,25326.0,166138.0,318557.0,,,,,,
2003-08-01,25432.0,175573.0,340278.0,0.0,0.0,0.0,,,
2003-09-01,24075.0,208151.0,362775.0,0.0,0.0,0.0,,,
2003-10-01,,,,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,17067.0,165881.0,283222.0,,,,,,
2004-01-01,14098.122,78139.32,217392.97,612.8910000000001,3096.98,20037.5,,,
2004-02-01,11507.397,63780.14,177444.01,438.341,2214.97,14330.86,,,
2004-03-01,8542.528,47347.26,131725.75,812.9540000000001,4107.91,26578.23,,,
2004-04-01,26361.678,146110.5,406496.96,240.275,1214.12,7855.4,,,
2004-05-01,69562.126,385550.46,1072647.69,995.541,5030.54,32547.62,,,
2004-06-01,36903.858,204540.9,569057.33,591.554,2989.16,19339.92,,,
2004-07-01,67893.473,376301.9,1046917.07,980.488,4954.47,32055.47,,,
2004-08-01,58755.254,325653.01,906005.77,844.645,4268.05,27614.32,,,
2004-09-01,25484.083,141246.4,392964.45,629.616,3181.49,20584.29,,,
2004-10-01,4483.844,24851.86,69140.86,282.648,1428.24,9240.74,,,
2004-11-01,3879.746,21503.63,59825.67,660.522,3337.66,21594.7,,,
2004-12-01,8180.83,45342.53,126148.36,444.514,2246.16,14532.67,,,
2005-01-01,24851.029000000002,137737.68,336009.36,514.4,2599.3,19142.3,,,
2005-02-01,22031.083,122108.03,297881.03,456.029,2304.35,16970.14,,,
2005-03-01,26290.234,145714.53,355468.78,544.19,2749.83,20250.89,,,
2005-04-01,26953.941,149393.14,364442.72,557.928,2819.25,20762.13,,,
2005-05-01,21866.097,121193.59,295650.27,452.61400000000003,2287.09,16843.06,,,
2005-06-01,37200.691,206186.1,502988.45,770.029,3891.01,28655.03,,,
2005-07-01,47938.325,265699.81,648171.4,992.291,5014.12,36926.04,,,
2005-08-01,51253.242,284072.85,692992.21,1060.9080000000001,5360.84,39479.46,,,
2005-09-01,33904.49,187916.79,458420.7,701.8,3546.24,26116.02,,,
2005-10-01,23446.721,129954.26,317021.8,485.331,2452.41,18060.59,,,
2005-11-01,21046.076,116648.6,284562.82,435.64,2201.32,16211.41,,,
2005-12-01,22738.91,126031.18,307451.52,470.68,2378.38,17515.37,,,
2006-01-01,22196.554,123025.16,357210.73,457.654,2312.56,21652.53,,,
2006-02-01,22131.858,122666.58,356169.57,456.32,2305.82,21589.41,,,
2006-03-01,24144.661,133822.61,388561.77,497.821,2515.52,23552.88,,,
2006-04-01,20299.959,112513.22,326688.69,418.55,2114.96,19802.41,,,
2006-05-01,19692.369,109145.63,316910.71,406.022,2051.66,19209.72,,,
2006-06-01,25190.338,139618.31,405389.91,519.381,2624.47,24572.93,,,
2006-07-01,37724.117,209087.21,607096.92,777.805,3930.3,36799.51,,,
2006-08-01,35516.243,196850.0,571565.45,732.283,3700.28,34645.75,,,
2006-09-01,25191.674,139625.71,405411.41,519.408,2624.61,24574.23,,,
2006-10-01,28094.917,155717.04,452133.52,579.268,2927.08,27406.32,,,
2006-11-01,24165.384,133937.47,388895.25,498.24800000000005,2517.68,23573.1,,,
2006-12-01,23613.006,130875.9,380005.81,486.85900000000004,2460.13,23034.26,,,
2007-01-01,11694.093,63519.0,137236.0,196.484,963.0,4709.0,0.0,0.0,0.0
2007-02-01,12516.016,67983.0,146882.0,210.294,1031.0,5040.0,0.0,0.0,0.0
2007-03-01,22236.043,120780.0,260952.0,373.60900000000004,1831.0,8954.0,0.0,0.0,0.0
2007-04-01,23268.642,126388.0,273071.0,390.959,1917.0,9370.0,0.0,0.0,0.0
2007-05-01,24791.475,134660.0,290942.0,416.545,2041.0,9983.0,0.0,0.0,0.0
2007-06-01,33608.186,182549.0,394411.0,564.6840000000001,2768.0,13533.0,0.0,0.0,0.0
2007-07-01,47717.626000000004,259187.0,559993.0,801.75,3930.0,19215.0,0.0,0.0,0.0
2007-08-01,68027.921,369506.0,798346.0,1143.0030000000002,5602.0,27393.0,0.0,0.0,0.0
