measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,401.008,4138.0,4138.0,0.0,0.0,0.0,69.55,661.0,661.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,349.992,3612.0,3612.0,0.0,0.0,0.0,79.319,754.0,754.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,365.767,3775.0,3775.0,0.0,0.0,0.0,139.649,1328.0,1328.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,321.214,3315.0,3315.0,0.0,0.0,0.0,165.26,1572.0,1572.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,330.967,3416.0,3416.0,0.0,0.0,0.0,189.851,1805.0,1805.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,351.039,3622.0,3622.0,0.0,0.0,0.0,210.561,2002.0,2002.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,351.135,3623.0,3623.0,0.0,0.0,0.0,194.852,1853.0,1853.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,344.156,3552.0,3552.0,0.0,0.0,0.0,210.837,2005.0,2005.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,346.891,3579.0,3579.0,0.0,0.0,0.0,205.712,1956.0,1956.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,348.632,3598.0,3598.0,0.0,0.0,0.0,185.765,1767.0,1767.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,299.349,3089.0,3089.0,0.0,0.0,0.0,154.373,1468.0,1468.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,319.14,3293.0,3293.0,0.0,0.0,0.0,105.271,1001.0,1001.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,417.569,3394.0,3394.0,33.095,376.0,389.0,91.161,850.0,850.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,388.435,3156.0,3156.0,30.787,350.0,364.0,114.891,1071.0,1071.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,404.834,3289.0,3289.0,32.087,365.0,380.0,168.367,1569.0,1569.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,357.48,2904.0,2904.0,28.333,322.0,334.0,188.967,1761.0,1761.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,390.445,3172.0,3172.0,30.946,352.0,365.0,189.941,1770.0,1770.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,438.821,3565.0,3565.0,34.78,396.0,411.0,195.703,1824.0,1824.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,447.235,3633.0,3633.0,35.447,403.0,419.0,202.543,1887.0,1887.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,430.811,3500.0,3500.0,34.145,388.0,404.0,205.004,1910.0,1910.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,421.653,3425.0,3425.0,33.42,380.0,395.0,169.185,1577.0,1577.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,405.963,3298.0,3298.0,32.176,366.0,381.0,142.525,1328.0,1328.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,376.194,3057.0,3057.0,29.817,339.0,352.0,132.031,1230.0,1230.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,428.56,3482.0,3482.0,33.967,386.0,402.0,108.682,1013.0,1013.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259.039,2946.0,2978.0,13.444,153.0,330.0,69.632,643.0,643.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,245.022,2787.0,2816.0,12.718,145.0,312.0,116.223,1073.0,1073.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,225.545,2565.0,2593.0,11.707,133.0,288.0,128.286,1184.0,1184.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,222.908,2535.0,2562.0,11.57,132.0,284.0,149.445,1380.0,1380.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,261.346,2972.0,3004.0,13.565,154.0,333.0,185.767,1715.0,1715.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,257.8,2932.0,2963.0,13.381,152.0,329.0,178.172,1645.0,1645.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,248.959,2831.0,2861.0,12.922,147.0,318.0,207.996,1920.0,1920.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,240.844,2739.0,2768.0,12.501,142.0,307.0,205.117,1894.0,1894.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,254.418,2894.0,2924.0,13.205,150.0,325.0,180.973,1671.0,1671.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,247.702,2817.0,2847.0,12.857,146.0,316.0,152.559,1408.0,1408.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,252.71,2874.0,2904.0,13.117,149.0,322.0,131.055,1210.0,1210.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,250.707,2851.0,2881.0,13.013,148.0,320.0,95.585,882.0,882.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.209,490.0,490.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.431,548.0,548.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.823,1021.0,1021.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.76,1076.0,1076.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.806,1353.0,1353.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.095,1466.0,1466.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.017,1336.0,1336.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.018,1235.0,1235.0
2017-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,125.145,1153.0,1153.0
2017-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,115.287,1062.0,1062.0
2017-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,70.844,653.0,653.0
2017-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,67.565,622.0,622.0
2018-01-01,169.954,1451.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,149.222,1273.0,1273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,155.197,1324.0,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,116.798,997.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,106.62,910.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,145.852,1244.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,254.512,2173.0,2173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,235.446,2010.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,189.487,1618.0,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,211.804,1807.0,1807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,189.344,1616.0,1616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,190.764,1628.0,1628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,1533.549,13908.0,13908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.925,62.0,62.0
2019-02-01,1421.923,12894.0,12894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081,72.0,72.0
2019-03-01,1239.986,11245.0,11245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.275,109.0,109.0
2019-04-01,870.095,7890.0,7890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.277,127.0,127.0
2019-05-01,749.773,6799.0,6799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.865,132.0,132.0
2019-06-01,1002.581,9092.0,9092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.971,160.0,160.0
2019-07-01,1580.473,14332.0,14332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.735,158.0,158.0
2019-08-01,1856.455,16835.0,16835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.369,155.0,155.0
2019-09-01,1633.543,14813.0,14813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.204,126.0,126.0
2019-10-01,1673.1,15172.0,15172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.051,116.0,116.0
2019-11-01,1640.875,14880.0,14880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.347,74.0,74.0
2019-12-01,1701.897,15433.0,15433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,48.0,48.0
2020-01-01,1177.265,14526.0,14526.0,0.0,0.0,0.0,19.868,245.0,245.0,0.0,0.0,0.0,202.576,1776.0,1776.0
2020-02-01,1039.637,12827.0,12827.0,0.0,0.0,0.0,17.87,221.0,221.0,0.0,0.0,0.0,274.603,2407.0,2407.0
2020-03-01,1154.066,14239.0,14239.0,0.0,0.0,0.0,18.829,232.0,232.0,0.0,0.0,0.0,268.716,2356.0,2356.0
2020-04-01,816.156,10070.0,10070.0,0.0,0.0,0.0,17.623,218.0,218.0,0.0,0.0,0.0,338.658,2969.0,2969.0
2020-05-01,767.408,9468.0,9468.0,0.0,0.0,0.0,18.72,231.0,231.0,0.0,0.0,0.0,443.218,3886.0,3886.0
