measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,,,,13023.0,133368.54,133368.54
2003-02-01,,,,11511.0,117884.15,117884.15
2003-03-01,,,,18739.0,191906.1,191906.1
2003-04-01,,,,27795.0,284648.6,284648.6
2003-05-01,,,,27112.0,277653.99,277653.99
2003-06-01,,,,20004.0,204860.96,204860.96
2003-07-01,,,,14863.0,152211.98,152211.98
2003-08-01,,,,18397.0,188403.68,188403.68
2003-09-01,,,,18949.0,194056.71,194056.71
2003-10-01,,,,25895.0,265190.7,265190.7
2003-11-01,,,,29171.0,298740.21,298740.21
2003-12-01,,,,29794.0,305120.35,305120.35
2004-01-01,,,,27210.0,272698.62,272698.62
2004-02-01,,,,27736.0,277970.19,277970.19
2004-03-01,,,,28244.0,283061.37,283061.37
2004-04-01,,,,28859.0,289224.9,289224.9
2004-05-01,,,,27442.0,275023.72,275023.72
2004-06-01,,,,18449.0,184895.88,184895.88
2004-07-01,,,,18042.0,180816.92,180816.92
2004-08-01,,,,20447.0,204919.83,204919.83
2004-09-01,,,,22961.0,230115.14,230115.14
2004-10-01,,,,21129.0,211754.84,211754.84
2004-11-01,,,,22723.0,227729.91,227729.91
2004-12-01,,,,26277.0,263348.09,263348.09
2005-01-01,,,,24393.0,243905.61,243905.61
2005-02-01,,,,22330.0,223277.67,223277.67
2005-03-01,,,,24871.0,248685.13,248685.13
2005-04-01,,,,27356.0,273532.64,273532.64
2005-05-01,,,,29844.0,298410.16,298410.16
2005-06-01,,,,27837.0,278342.16,278342.16
2005-07-01,,,,22220.0,222177.78,222177.78
2005-08-01,,,,15493.0,154914.51,154914.51
2005-09-01,,,,14799.0,147975.2,147975.2
2005-10-01,,,,22861.0,228587.14,228587.14
2005-11-01,,,,23255.0,232526.75,232526.75
2005-12-01,,,,24810.0,248075.19,248075.19
2006-01-01,,,,28155.0,279269.0,279269.0
2006-02-01,,,,25659.0,254512.0,254512.0
2006-03-01,,,,28555.0,283237.0,283237.0
2006-04-01,,,,26441.0,262268.0,262268.0
2006-05-01,,,,29217.0,289803.0,289803.0
2006-06-01,,,,27888.0,276621.0,276621.0
2006-07-01,,,,25497.0,252905.0,252905.0
2006-08-01,,,,23628.0,234366.0,234366.0
2006-09-01,,,,22548.0,223654.0,223654.0
2006-10-01,,,,26473.0,262586.0,262586.0
2006-11-01,,,,26871.0,266533.0,266533.0
2006-12-01,,,,25477.0,252706.0,252706.0
2007-01-01,,,,26740.0,264298.0,264298.0
2007-02-01,,,,24696.0,244095.0,244095.0
2007-03-01,,,,28893.0,285578.0,285578.0
2007-04-01,,,,27621.0,273006.0,273006.0
2007-05-01,,,,27274.0,269576.0,269576.0
2007-06-01,,,,23874.0,235971.0,235971.0
2007-07-01,,,,20643.0,204035.0,204035.0
2007-08-01,,,,18214.0,180027.0,180027.0
2007-09-01,,,,17862.0,176548.0,176548.0
2007-10-01,,,,21007.0,207633.0,207633.0
2007-11-01,,,,27793.0,274706.0,274706.0
2007-12-01,,,,24442.0,241585.0,241585.0
2008-01-01,,,,25347.96,249779.0,249779.0
2008-02-01,,,,25342.02,249720.0,249720.0
2008-03-01,,,,25096.5,247301.0,247301.0
2008-04-01,,,,23764.95,234180.0,234180.0
2008-05-01,,,,22575.96,222464.0,222464.0
2008-06-01,,,,23891.670000000002,235429.0,235429.0
2008-07-01,,,,23891.670000000002,235429.0,235429.0
2008-08-01,,,,26084.52,257037.0,257037.0
2008-09-01,,,,22167.09,218435.0,218435.0
2008-10-01,,,,23722.38,233760.0,233760.0
2008-11-01,,,,25590.510000000002,252169.0,252169.0
2008-12-01,,,,22445.28,221176.0,221176.0
2009-01-01,,,,23283.81,227250.0,227250.0
2009-02-01,,,,22943.25,223926.0,223926.0
2009-03-01,,,,25600.41,249860.0,249860.0
2009-04-01,,,,23794.65,232236.0,232236.0
2009-05-01,,,,25066.8,244652.0,244652.0
2009-06-01,,,,24513.39,239251.0,239251.0
2009-07-01,,,,25163.82,245599.0,245599.0
2009-08-01,,,,25712.28,250952.0,250952.0
2009-09-01,,,,17033.94,166251.0,166251.0
2009-10-01,,,,21227.58,207181.0,207181.0
2009-11-01,,,,23459.04,228960.0,228960.0
2009-12-01,,,,24408.45,238226.0,238226.0
2010-01-01,,,,25850.88,252201.0,252201.0
2010-02-01,,,,22424.49,218773.0,218773.0
2010-03-01,,,,27906.12,272252.0,272252.0
2010-04-01,,,,29956.41,292255.0,292255.0
2010-05-01,,,,27818.010000000002,271393.0,271393.0
2010-06-01,,,,21908.7,213741.0,213741.0
2010-07-01,,,,17893.260000000002,174567.0,174567.0
2010-08-01,,,,16877.52,164657.0,164657.0
2010-09-01,,,,14354.01,140038.0,140038.0
2010-10-01,,,,29132.73,284219.0,284219.0
2010-11-01,,,,29856.420000000002,291279.0,291279.0
2010-12-01,,,,18364.5,179164.0,179164.0
2011-01-01,,,,23855.0,231775.0,231775.0
2011-02-01,,,,17989.0,174781.0,174781.0
2011-03-01,,,,26345.0,255968.0,255968.0
2011-04-01,,,,26222.0,254773.0,254773.0
2011-05-01,,,,28993.0,281696.0,281696.0
2011-06-01,,,,22504.0,218649.0,218649.0
2011-07-01,,,,17015.0,165318.0,165318.0
2011-08-01,,,,15257.0,148237.0,148237.0
2011-09-01,,,,22444.0,218066.0,218066.0
2011-10-01,,,,28255.0,274526.0,274526.0
2011-11-01,,,,28863.0,280433.0,280433.0
2011-12-01,,,,29184.0,283552.0,283552.0
2012-01-01,,,,24983.0,237738.0,237738.0
2012-02-01,,,,20801.0,197942.0,197942.0
2012-03-01,,,,27546.0,262128.0,262128.0
2012-04-01,,,,22249.0,211721.0,211721.0
2012-05-01,,,,30685.0,291998.0,291998.0
2012-06-01,,,,26360.0,250842.0,250842.0
2012-07-01,,,,20849.0,198399.0,198399.0
2012-08-01,,,,20305.0,193222.0,193222.0
2012-09-01,,,,14505.0,138030.0,138030.0
2012-10-01,,,,25650.0,244085.0,244085.0
2012-11-01,,,,25830.0,245798.0,245798.0
2012-12-01,,,,25916.0,246617.0,246617.0
2013-01-01,,,,24704.0,235701.0,235701.0
2013-02-01,,,,24935.0,237905.0,237905.0
2013-03-01,,,,29214.0,278731.0,278731.0
2013-04-01,,,,30956.0,295351.0,295351.0
2013-05-01,,,,30015.0,286373.0,286373.0
2013-06-01,,,,30805.0,293911.0,293911.0
2013-07-01,,,,25874.0,246864.0,246864.0
2013-08-01,,,,21325.0,203462.0,203462.0
2013-09-01,,,,22308.0,212841.0,212841.0
2013-10-01,,,,18122.0,172902.0,172902.0
2013-11-01,,,,18193.0,173579.0,173579.0
2013-12-01,,,,18188.0,173532.0,173532.0
2014-01-01,,,,25077.0,238482.0,238482.0
2014-02-01,,,,21364.0,203172.0,203172.0
2014-03-01,,,,23101.0,219691.0,219691.0
2014-04-01,,,,27215.0,258815.0,258815.0
2014-05-01,,,,31887.0,303245.0,303245.0
2014-06-01,,,,26718.0,254088.0,254088.0
2014-07-01,,,,26331.0,250408.0,250408.0
2014-08-01,,,,23755.0,225910.0,225910.0
2014-09-01,,,,14171.0,134766.0,134766.0
2014-10-01,,,,21468.0,204161.0,204161.0
2014-11-01,,,,22824.0,217056.0,217056.0
2014-12-01,,,,24572.0,233680.0,233680.0
2015-01-01,,,,26635.0,248212.0,248212.0
2015-02-01,,,,23966.0,223339.0,223339.0
2015-03-01,,,,22362.0,208391.0,208391.0
2015-04-01,,,,27610.0,257298.0,257298.0
2015-05-01,,,,25786.0,240300.0,240300.0
2015-06-01,,,,30755.0,286606.0,286606.0
2015-07-01,,,,22403.0,208774.0,208774.0
2015-08-01,,,,17751.0,165422.0,165422.0
2015-09-01,,,,11548.0,107616.0,107616.0
2015-10-01,,,,17274.0,160976.0,160976.0
2015-11-01,,,,18013.0,167863.0,167863.0
2015-12-01,,,,23881.0,222547.0,222547.0
2016-01-01,,,,21306.0,196697.0,196697.0
2016-02-01,,,,16037.0,148054.0,148054.0
2016-03-01,,,,21150.0,195257.0,195257.0
2016-04-01,,,,25242.0,233034.0,233034.0
2016-05-01,,,,25294.0,233514.0,233514.0
2016-06-01,,,,16074.0,148395.0,148395.0
2016-07-01,,,,15475.0,142865.0,142865.0
2016-08-01,,,,12541.0,115779.0,115779.0
2016-09-01,,,,11470.0,105891.0,105891.0
2016-10-01,,,,11566.0,106777.0,106777.0
2016-11-01,,,,16609.0,153334.0,153334.0
2016-12-01,,,,20000.0,184640.0,184640.0
2017-01-01,,,,20432.338,188243.0,188243.0
2017-02-01,,,,20337.451,187369.0,187369.0
2017-03-01,,,,25054.692,230829.0,230829.0
2017-04-01,,,,34846.128,321037.0,321037.0
2017-05-01,,,,36456.948,335878.0,335878.0
2017-06-01,,,,27853.859,256618.0,256618.0
2017-07-01,,,,23195.358,213699.0,213699.0
2017-08-01,,,,14587.75,134397.0,134397.0
2017-09-01,,,,11002.376,101365.0,101365.0
2017-10-01,,,,10586.68,97535.0,97535.0
2017-11-01,,,,25063.728,230912.0,230912.0
2017-12-01,,,,19415.692,178877.0,178877.0
2018-01-01,,,,22819.803,207751.0,207751.0
2018-02-01,,,,24420.659,222326.0,222326.0
2018-03-01,,,,27062.069,246373.0,246373.0
2018-04-01,,,,32443.991,295370.0,295370.0
2018-05-01,,,,26478.901,241064.0,241064.0
2018-06-01,,,,12080.736,109983.0,109983.0
2018-07-01,,,,10439.86,95044.0,95044.0
2018-08-01,,,,14390.541,131011.0,131011.0
2018-09-01,,,,13805.467,125685.0,125685.0
2018-10-01,,,,20576.702,187330.0,187330.0
2018-11-01,,,,28317.978,257807.0,257807.0
2018-12-01,,,,30334.293,276163.0,276163.0
2019-01-01,,,,28290.313,251925.0,251925.0
2019-02-01,,,,26275.562,233984.0,233984.0
2019-03-01,,,,27732.75,246960.0,246960.0
2019-04-01,,,,30070.75,267780.0,267780.0
2019-05-01,,,,31945.255,284472.0,284472.0
2019-06-01,,,,22759.156,202670.0,202670.0
2019-07-01,,,,13821.052,123076.0,123076.0
2019-08-01,,,,7773.38,69222.0,69222.0
2019-09-01,,,,6907.96,61515.0,61515.0
2019-10-01,,,,15076.423,134256.0,134256.0
2019-11-01,,,,18387.592,163742.0,163742.0
2019-12-01,,,,24939.807,222089.0,222089.0
2020-01-01,,,,29764.367,260944.0,260944.0
2020-02-01,,,,25366.972,222392.0,222392.0
2020-03-01,,,,34616.515,303483.0,303483.0
2020-04-01,,,,37349.287,327441.0,327441.0
2020-05-01,,,,33658.353,295083.0,295083.0
2020-06-01,,,,11140.486,97669.0,97669.0
2020-07-01,,,,14150.341,124056.0,124056.0
2020-08-01,,,,7650.491,67072.0,67072.0
2020-09-01,,,,4355.09,38181.0,38181.0
2020-10-01,,,,16197.805,142006.0,142006.0
2020-11-01,,,,19099.788,167448.0,167448.0
2020-12-01,,,,25762.505,225860.0,225860.0
2021-01-01,,,,20914.794,184970.0,184970.0
2021-02-01,,,,13434.18,118812.0,118812.0
2021-03-01,,,,20691.634,182997.0,182997.0
2021-04-01,,,,25527.812,225768.0,225768.0
2021-05-01,,,,19583.808,173199.0,173199.0
2021-06-01,,,,8679.297,76760.0,76760.0
2021-07-01,,,,17286.863,152885.0,152885.0
2021-08-01,,,,12103.195,107041.0,107041.0
2021-09-01,,,,13936.288,123253.0,123253.0
2021-10-01,,,,14956.444,132275.0,132275.0
2021-11-01,,,,21125.201,186831.0,186831.0
2021-12-01,,,,20731.484,183349.0,183349.0
2022-01-01,,,,18903.018,64497.0,64497.0
2022-02-01,,,,23379.66,79771.0,79771.0
2022-03-01,,,,34290.028,116998.0,116998.0
2022-04-01,,,,39274.374,134004.0,134004.0
2022-05-01,,,,28621.018,97655.0,97655.0
2022-06-01,,,,13497.34,46053.0,46053.0
2022-07-01,,,,7682.972,26214.0,26214.0
