measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Waste heat not directly attributed to a fuel source - Combined Cycle Combustion Turbine Part - Other - Generation,Waste heat not directly attributed to a fuel source - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Generation,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Total Fuel Consumed
2009-06-01,47433.0,508791.0,508791.0,24201.0,0.0,0.0,,,,,,
2009-07-01,216744.0,2396549.0,2396549.0,111912.0,0.0,0.0,,,,,,
2009-08-01,200094.0,2251240.0,2251240.0,101839.0,0.0,0.0,,,,,,
2009-09-01,182761.0,2058184.0,2058184.0,95749.0,0.0,0.0,,,,,,
2009-10-01,129723.0,1449347.0,1449347.0,64719.0,0.0,0.0,,,,,,
2009-11-01,89101.0,980659.0,980659.0,42107.0,0.0,0.0,,,,,,
2009-12-01,119716.0,1299984.0,1299984.0,59443.0,0.0,0.0,,,,,,
2010-01-01,164625.0,1776085.0,1776085.0,83176.0,0.0,0.0,,,,,,
2010-02-01,175224.0,1887458.0,1887458.0,89845.0,0.0,0.0,,,,,,
2010-03-01,140385.0,1582830.0,1582830.0,70253.0,0.0,0.0,,,,,,
2010-04-01,138771.0,1549357.0,1549357.0,70526.0,0.0,0.0,,,,,,
2010-05-01,74665.0,843465.0,843465.0,32132.0,0.0,0.0,,,,,,
2010-06-01,127258.0,1415703.0,1415703.0,63429.0,0.0,0.0,,,,,,
2010-07-01,139436.0,1559717.0,1559717.0,69768.0,0.0,0.0,,,,,,
2010-08-01,199465.0,2215145.0,2215145.0,102631.0,0.0,0.0,,,,,,
2010-09-01,117780.0,1303945.0,1303945.0,57519.0,0.0,0.0,,,,,,
2010-10-01,80815.0,907593.0,907593.0,35418.0,0.0,0.0,,,,,,
2010-11-01,37519.0,425200.0,425200.0,15648.0,0.0,0.0,,,,,,
2010-12-01,72489.0,802160.0,802160.0,32317.0,0.0,0.0,,,,,,
2011-01-01,68668.0,750939.0,750939.0,29570.0,0.0,0.0,,,,,,
2011-02-01,61536.0,656060.0,656060.0,25771.0,0.0,0.0,,,,,,
2011-03-01,10580.0,118964.0,118964.0,3392.0,0.0,0.0,,,,,,
2011-04-01,0.0,0.0,0.0,-371.0,0.0,0.0,,,,,,
2011-05-01,0.0,0.0,0.0,-336.0,0.0,0.0,,,,,,
2011-06-01,0.0,0.0,0.0,-327.0,0.0,0.0,,,,,,
2011-07-01,0.0,0.0,0.0,-363.0,0.0,0.0,,,,,,
2011-08-01,0.0,0.0,0.0,-384.0,0.0,0.0,,,,,,
2011-09-01,0.0,0.0,0.0,-363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,3429.0,42119.0,42119.0,-710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,32350.0,372561.0,372561.0,13383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,26143.0,289570.0,289570.0,11771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,15060.0,169312.0,169312.0,6338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,5852.0,63871.0,63871.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,19147.0,224769.0,224769.0,7879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,183149.0,1996277.0,1996277.0,87840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,182850.0,2064003.0,2064003.0,88270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,180909.0,2050848.0,2050848.0,85041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,183023.0,2067057.0,2067057.0,85266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,192750.0,2201852.0,2201852.0,92566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,106668.0,1221727.0,1221727.0,51835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,57689.0,656782.0,656782.0,28327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,28041.0,320864.0,320864.0,13195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,18472.0,202433.0,202433.0,8027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,25716.0,284587.0,284587.0,11693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,1.0,121.0,121.0,-495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,28630.0,334837.0,334837.0,12510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,27320.0,316395.0,316395.0,11750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,57320.0,656843.0,656843.0,27920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,92521.0,1079378.0,1079378.0,45199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,67007.0,772614.0,772614.0,32412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,139601.0,1583476.0,1583476.0,68530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,126001.0,1436291.0,1436291.0,61018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,61893.0,702516.0,702516.0,30520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,30243.0,332220.0,332220.0,14038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,44572.0,495468.0,495468.0,21534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,34702.0,390995.0,390995.0,15689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,42834.0,477560.0,477560.0,20184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,35860.0,400656.0,400656.0,16683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,25526.0,293640.0,293640.0,12675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,65793.0,744971.0,744971.0,31907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,78996.0,915297.0,915297.0,38522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,108632.0,1275636.0,1275636.0,52262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,136290.0,1585916.0,1585916.0,67366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,76905.0,913188.0,913188.0,37186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,78049.0,897012.0,897012.0,36936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,14259.0,161216.0,161216.0,6187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,10258.0,115414.0,115414.0,4404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,18925.0,208587.0,208587.0,8314.0,0.0,0.0,,,,,,
2015-02-01,50339.0,562659.0,562659.0,24175.0,0.0,0.0,,,,,,
2015-03-01,71910.0,826975.0,826975.0,35409.0,0.0,0.0,,,,,,
2015-04-01,73105.0,853357.0,853357.0,35623.0,0.0,0.0,,,,,,
2015-05-01,13081.0,162261.0,162261.0,4594.0,0.0,0.0,,,,,,
2015-06-01,108767.0,1230240.0,1230240.0,54387.0,0.0,0.0,,,,,,
2015-07-01,133746.0,1585342.0,1585342.0,66788.0,0.0,0.0,,,,,,
2015-08-01,101430.0,1204031.0,1204031.0,51373.0,0.0,0.0,,,,,,
2015-09-01,48285.0,585429.0,585429.0,23103.0,0.0,0.0,,,,,,
2015-10-01,104073.0,1214679.0,1214679.0,53615.0,0.0,0.0,,,,,,
2015-11-01,68512.0,780502.0,780502.0,34154.0,0.0,0.0,,,,,,
2015-12-01,76934.0,865799.0,865799.0,39899.0,0.0,0.0,,,,,,
2016-01-01,19940.0,226381.0,226381.0,8881.0,0.0,0.0,,,,,,
2016-02-01,3901.0,57866.0,57866.0,2728.0,0.0,0.0,,,,,,
2016-03-01,26336.0,309565.0,309565.0,12142.0,0.0,0.0,,,,,,
2016-04-01,73276.0,837351.0,837351.0,37131.0,0.0,0.0,,,,,,
2016-05-01,73867.0,867576.0,867576.0,36610.0,0.0,0.0,,,,,,
2016-06-01,111010.0,1313911.0,1313911.0,56278.0,0.0,0.0,,,,,,
2016-07-01,155850.0,1829927.0,1829927.0,80086.0,0.0,0.0,,,,,,
2016-08-01,126039.0,1547960.0,1547960.0,65376.0,0.0,0.0,,,,,,
2016-09-01,108967.0,1273308.0,1273308.0,55742.0,0.0,0.0,,,,,,
2016-10-01,83070.0,967666.0,967666.0,41887.0,0.0,0.0,,,,,,
2016-11-01,28230.0,329931.0,329931.0,14066.0,0.0,0.0,,,,,,
2016-12-01,19184.0,218285.0,218285.0,9179.0,0.0,0.0,,,,,,
2017-01-01,-693.0,1705.0,1705.0,0.0,0.0,0.0,,,,,,
2017-02-01,21529.0,253841.0,253841.0,10302.0,0.0,0.0,,,,,,
2017-03-01,80497.0,957430.0,957430.0,41315.0,0.0,0.0,,,,,,
2017-04-01,111379.0,1291392.0,1291392.0,58189.0,0.0,0.0,,,,,,
2017-05-01,115324.0,1345371.0,1345371.0,58433.0,0.0,0.0,,,,,,
2017-06-01,132221.0,1539405.0,1539405.0,67521.0,0.0,0.0,,,,,,
2017-07-01,158969.0,1845491.0,1845491.0,80511.0,0.0,0.0,,,,,,
2017-08-01,128704.0,1493612.0,1493612.0,64110.0,0.0,0.0,,,,,,
2017-09-01,75387.0,884561.0,884561.0,36834.0,0.0,0.0,,,,,,
2017-10-01,77474.0,909478.0,909478.0,37970.0,0.0,0.0,,,,,,
2017-11-01,35360.0,417061.0,417061.0,17238.0,0.0,0.0,,,,,,
2017-12-01,15625.0,178568.0,178568.0,6774.0,0.0,0.0,,,,,,
2018-01-01,6754.0,75633.0,75633.0,2601.0,0.0,0.0,,,,,,
2018-02-01,17867.0,202802.0,202802.0,8705.0,0.0,0.0,,,,,,
2018-03-01,28315.0,336589.0,336589.0,15360.0,0.0,0.0,,,,,,
2018-04-01,26208.0,306541.0,306541.0,12822.0,0.0,0.0,,,,,,
2018-05-01,59352.0,692714.0,692714.0,29820.0,0.0,0.0,,,,,,
2018-06-01,55764.0,668930.0,668930.0,27633.0,0.0,0.0,,,,,,
2018-07-01,78691.0,917108.0,917108.0,40465.0,0.0,0.0,,,,,,
2018-08-01,61240.0,715234.0,715234.0,32825.0,0.0,0.0,,,,,,
2018-09-01,33417.0,393254.0,393254.0,16191.0,0.0,0.0,,,,,,
2018-10-01,29708.0,348652.0,348652.0,14587.0,0.0,0.0,,,,,,
2018-11-01,16219.0,254142.0,254142.0,7947.0,0.0,0.0,,,,,,
2018-12-01,677.0,10396.0,10396.0,172.0,0.0,0.0,,,,,,
2019-01-01,10553.0,122314.0,122314.0,5291.0,0.0,0.0,,,,,,
2019-02-01,3761.0,43983.0,43983.0,1422.0,0.0,0.0,,,,,,
2019-03-01,24268.0,279554.0,279554.0,11614.0,0.0,0.0,,,,,,
2019-04-01,17666.0,205165.0,205165.0,8543.0,0.0,0.0,,,,,,
2019-05-01,48495.0,565492.0,565492.0,24245.0,0.0,0.0,,,,,,
2019-06-01,53253.0,639625.0,639625.0,26695.0,0.0,0.0,,,,,,
2019-07-01,60742.0,731980.0,731980.0,30563.0,0.0,0.0,,,,,,
2019-08-01,81070.0,968955.0,968955.0,42508.0,0.0,0.0,,,,,,
2019-09-01,57075.0,674573.0,674573.0,28847.0,0.0,0.0,,,,,,
2019-10-01,28637.0,339766.0,339766.0,13793.0,0.0,0.0,,,,,,
2019-11-01,23981.0,272681.0,272681.0,11518.0,0.0,0.0,,,,,,
2019-12-01,2677.0,31300.0,31300.0,1415.0,0.0,0.0,,,,,,
2020-01-01,11930.0,140273.0,140273.0,5549.0,0.0,0.0,,,,,,
2020-02-01,39677.0,449708.0,449708.0,19115.0,0.0,0.0,,,,,,
2020-03-01,155236.0,1791064.0,1791064.0,83081.0,0.0,0.0,,,,,,
2020-04-01,35206.0,412203.0,412203.0,17983.0,0.0,0.0,,,,,,
2020-05-01,96454.0,1139664.0,1139664.0,49159.0,0.0,0.0,,,,,,
2020-06-01,158866.0,1875876.0,1875876.0,85971.0,0.0,0.0,,,,,,
2020-07-01,192958.0,2277542.0,2277542.0,106031.0,0.0,0.0,,,,,,
2020-08-01,189812.0,2284117.0,2284117.0,105185.0,0.0,0.0,,,,,,
2020-09-01,111297.0,1353399.0,1353399.0,58206.0,0.0,0.0,,,,,,
2020-10-01,120305.0,1412388.0,1412388.0,65437.0,0.0,0.0,,,,,,
2020-11-01,11636.0,134686.0,134686.0,5713.0,0.0,0.0,,,,,,
2020-12-01,11146.0,129060.0,129060.0,5145.0,0.0,0.0,,,,,,
2021-01-01,11196.0,126770.0,126770.0,5012.0,0.0,0.0,,,,,,
2021-02-01,92453.0,1013715.0,1013715.0,46139.0,0.0,0.0,,,,,,
2021-03-01,116018.0,1391712.0,1391712.0,63974.0,0.0,0.0,,,,,,
2021-04-01,111814.0,1351017.0,1351017.0,61347.0,0.0,0.0,,,,,,
2021-05-01,112635.0,1349487.0,1349487.0,61078.0,0.0,0.0,,,,,,
2021-06-01,182746.0,2181876.0,2181876.0,101592.0,0.0,0.0,,,,,,
2021-07-01,192740.0,2266982.0,2266982.0,106722.0,0.0,0.0,,,,,,
2021-08-01,187174.0,2207469.0,2207469.0,102089.0,0.0,0.0,,,,,,
2021-09-01,143499.0,1689514.0,1689514.0,75795.0,0.0,0.0,,,,,,
2021-10-01,170168.0,1983253.0,1983253.0,92452.0,0.0,0.0,,,,,,
2021-11-01,90903.0,1053072.0,1053072.0,48121.0,0.0,0.0,,,,,,
2021-12-01,16737.0,199577.0,199577.0,8341.0,0.0,0.0,,,,,,
2022-01-01,81656.0,923070.0,923070.0,41517.0,0.0,0.0,,,,,,
2022-02-01,93289.0,1040575.0,1040575.0,47321.0,0.0,0.0,,,,,,
2022-03-01,146795.0,1696523.0,1696523.0,78804.0,0.0,0.0,,,,,,
2022-04-01,192313.0,2220956.0,2220956.0,105650.0,0.0,0.0,,,,,,
2022-05-01,137641.0,1600822.0,1600822.0,73096.0,0.0,0.0,,,,,,
2022-06-01,200371.0,2323050.0,2323050.0,105716.0,0.0,0.0,,,,,,
2022-07-01,199585.0,2337387.0,2337387.0,105599.0,0.0,0.0,,,,,,
2022-08-01,201976.0,2332898.0,2332898.0,106674.0,0.0,0.0,,,,,,
2022-09-01,174671.0,2004784.0,2004784.0,91798.0,0.0,0.0,,,,,,
2022-10-01,51841.0,587466.0,587466.0,25846.0,0.0,0.0,,,,,,
2022-11-01,67044.0,728509.0,728509.0,32713.0,0.0,0.0,,,,,,
2022-12-01,60895.0,690612.0,690612.0,30284.0,0.0,0.0,,,,,,
2023-01-01,29844.0,323115.0,323115.0,14306.0,0.0,0.0,,,,,,
2023-02-01,51306.0,525435.0,525435.0,25460.0,0.0,0.0,,,,,,
2023-03-01,52588.0,583302.0,583302.0,26119.0,0.0,0.0,,,,,,
2023-04-01,62702.0,715969.0,715969.0,30633.0,0.0,0.0,,,,,,
2023-05-01,186104.0,2144586.0,2144586.0,97993.0,0.0,0.0,,,,,,
2023-06-01,167796.0,1966072.0,1966072.0,88220.0,0.0,0.0,,,,,,
2023-07-01,185972.0,2174887.0,2174887.0,98449.0,0.0,0.0,,,,,,
2023-08-01,208568.0,2435311.0,2435311.0,109884.0,0.0,0.0,,,,,,
2023-09-01,167002.0,1960782.0,1960782.0,89364.0,0.0,0.0,,,,,,
2023-10-01,110569.0,1308391.0,1308391.0,58204.0,0.0,0.0,,,,,,
2023-11-01,28815.0,338212.0,338212.0,14197.0,0.0,0.0,,,,,,
2023-12-01,933.0,13896.0,13896.0,-352.0,0.0,0.0,,,,,,
2024-01-01,73338.0,829762.0,829762.0,37537.0,0.0,0.0,,,,,,
2024-02-01,17566.0,199893.0,199893.0,8072.0,0.0,0.0,,,,,,
2024-03-01,153191.0,1766915.0,1766915.0,83111.0,0.0,0.0,,,,,,
2024-04-01,114117.0,1330476.0,1330476.0,62848.0,0.0,0.0,,,,,,
2024-05-01,187121.0,2195535.0,2195535.0,102803.0,0.0,0.0,,,,,,
2024-06-01,198981.0,2303839.0,2303839.0,107132.0,0.0,0.0,,,,,,
2024-07-01,170561.0,1972222.0,1972222.0,89867.0,0.0,0.0,,,,,,
2024-08-01,204999.0,2319911.0,2319911.0,108672.0,0.0,0.0,,,,,,
2024-09-01,136059.0,1565290.0,1565290.0,70335.0,0.0,0.0,,,,,,
2024-10-01,94013.0,1100350.0,1100350.0,48750.0,0.0,0.0,,,,,,
2024-11-01,66246.0,769012.0,769012.0,33910.0,0.0,0.0,,,,,,
2024-12-01,63771.0,721520.0,721520.0,33071.0,0.0,0.0,,,,,,
