measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2016-08-01,99.875,843.0,843.0,636.352,5367.0,5367.0
2016-09-01,82.681,697.0,697.0,672.219,5670.0,5670.0
2016-10-01,81.558,688.0,688.0,654.472,5520.0,5520.0
2016-11-01,62.711,529.0,529.0,667.704,5632.0,5632.0
2016-12-01,71.014,599.0,599.0,662.414,5587.0,5587.0
2017-01-01,35.005,316.0,316.0,868.368,7851.0,7851.0
2017-02-01,26.719,241.0,241.0,785.569,7103.0,7103.0
2017-03-01,22.127,200.0,200.0,879.705,7954.0,7954.0
2017-04-01,19.766,179.0,179.0,790.767,7150.0,7150.0
2017-05-01,24.522,222.0,222.0,861.866,7793.0,7793.0
2017-06-01,32.262,292.0,292.0,882.058,7975.0,7975.0
2017-07-01,43.995,398.0,398.0,874.589,7908.0,7908.0
2017-08-01,49.664,449.0,449.0,877.293,7932.0,7932.0
2017-09-01,40.864,370.0,370.0,822.673,7438.0,7438.0
2017-10-01,38.701,350.0,350.0,694.096,6275.0,6275.0
2017-11-01,33.634,304.0,304.0,828.593,7491.0,7491.0
2017-12-01,35.658,323.0,323.0,912.506,8250.0,8250.0
2018-01-01,80.011,737.0,737.0,710.595,6550.0,6550.0
2018-02-01,70.251,648.0,648.0,664.07,6121.0,6121.0
2018-03-01,73.064,673.0,673.0,659.455,6078.0,6078.0
2018-04-01,54.987,507.0,507.0,626.429,5773.0,5773.0
2018-05-01,50.195,463.0,463.0,640.807,5906.0,5906.0
2018-06-01,68.665,633.0,633.0,641.542,5913.0,5913.0
2018-07-01,119.819,1105.0,1105.0,688.648,6347.0,6347.0
2018-08-01,110.844,1022.0,1022.0,717.624,6614.0,6614.0
2018-09-01,89.207,822.0,822.0,693.66,6394.0,6394.0
2018-10-01,99.713,919.0,919.0,699.049,6443.0,6443.0
2018-11-01,89.14,821.0,821.0,685.419,6317.0,6317.0
2018-12-01,89.808,828.0,828.0,728.998,6719.0,6719.0
2019-01-01,19.248,200.0,200.0,838.837,8668.0,8668.0
2019-02-01,17.848,184.0,184.0,767.542,7930.0,7930.0
2019-03-01,15.565,161.0,161.0,850.397,8787.0,8787.0
2019-04-01,10.922,113.0,113.0,788.945,8152.0,8152.0
2019-05-01,9.411,97.0,97.0,734.023,7584.0,7584.0
2019-06-01,12.585,130.0,130.0,745.708,7705.0,7705.0
2019-07-01,19.839,205.0,205.0,822.844,8502.0,8502.0
2019-08-01,23.303,240.0,240.0,858.444,8870.0,8870.0
2019-09-01,20.505,212.0,212.0,790.321,8166.0,8166.0
2019-10-01,21.001,217.0,217.0,703.658,7271.0,7271.0
2019-11-01,20.597,213.0,213.0,765.291,7908.0,7908.0
2019-12-01,21.363,220.0,220.0,825.803,8532.0,8532.0
2020-01-01,82.025,811.0,811.0,639.363,6329.0,6329.0
2020-02-01,72.437,717.0,717.0,575.117,5694.0,5694.0
2020-03-01,80.409,796.0,796.0,606.005,6000.0,6000.0
2020-04-01,56.866,563.0,563.0,567.166,5615.0,5615.0
2020-05-01,53.469,530.0,530.0,602.489,5965.0,5965.0
2020-06-01,75.215,745.0,745.0,555.3,5497.0,5497.0
2020-07-01,105.219,1042.0,1042.0,623.667,6174.0,6174.0
2020-08-01,130.847,1296.0,1296.0,595.45,5895.0,5895.0
2020-09-01,113.947,1128.0,1128.0,590.618,5847.0,5847.0
2020-10-01,118.337,1171.0,1171.0,568.415,5628.0,5628.0
2020-11-01,94.523,935.0,935.0,572.246,5665.0,5665.0
2020-12-01,104.773,1038.0,1038.0,511.097,5060.0,5060.0
2021-01-01,96.541,865.0,865.0,654.634,5869.0,5869.0
2021-02-01,81.869,734.0,734.0,608.027,5451.0,5451.0
2021-03-01,88.025,789.0,789.0,679.031,6088.0,6088.0
2021-04-01,78.107,700.0,700.0,563.423,5052.0,5052.0
2021-05-01,81.632,732.0,732.0,609.858,5468.0,5468.0
2021-06-01,111.628,1001.0,1001.0,626.617,5618.0,5618.0
2021-07-01,154.044,1381.0,1381.0,608.94,5460.0,5460.0
2021-08-01,140.647,1261.0,1261.0,605.038,5424.0,5424.0
2021-09-01,119.674,1073.0,1073.0,614.027,5505.0,5505.0
2021-10-01,114.086,1023.0,1023.0,601.533,5393.0,5393.0
2021-11-01,104.851,941.0,941.0,592.663,5314.0,5314.0
2021-12-01,108.22,970.0,970.0,593.885,5325.0,5325.0
2022-01-01,285.826,2435.0,2435.0,646.578,5507.0,5507.0
2022-02-01,237.312,2021.0,2021.0,572.604,4877.0,4877.0
2022-03-01,219.577,1871.0,1871.0,617.827,5262.0,5262.0
2022-04-01,224.92,1915.0,1915.0,480.834,4096.0,4096.0
2022-05-01,206.402,1758.0,1758.0,496.332,4227.0,4227.0
2022-06-01,280.721,2391.0,2391.0,551.224,4695.0,4695.0
2022-07-01,375.015,3195.0,3195.0,592.665,5048.0,5048.0
2022-08-01,452.506,3854.0,3854.0,623.468,5311.0,5311.0
2022-09-01,414.72,3532.0,3532.0,604.342,5147.0,5147.0
2022-10-01,380.857,3244.0,3244.0,608.349,5181.0,5181.0
2022-11-01,349.751,2979.0,2979.0,516.605,4400.0,4400.0
2022-12-01,386.587,3293.0,3293.0,588.978,5017.0,5017.0
2023-01-01,85.15,974.0,1238.0,789.85,9035.0,11487.0
2023-02-01,37.715,432.0,532.0,591.285,6778.0,8339.0
2023-03-01,89.28,1022.0,1342.0,729.72,8350.0,10967.0
2023-04-01,90.247,1033.0,1510.0,666.753,7633.0,11156.0
2023-05-01,106.136,1214.0,1672.0,781.864,8942.0,12317.0
2023-06-01,119.458,1367.0,1929.0,693.542,7936.0,11200.0
2023-07-01,209.865,2400.0,3845.0,672.135,7688.0,12313.0
2023-08-01,167.459,1916.0,2946.0,653.541,7478.0,11497.0
2023-09-01,160.041,1831.0,2793.0,651.959,7461.0,11379.0
2023-10-01,123.111,1411.0,2159.0,528.889,6061.0,9275.0
2023-11-01,105.837,1213.0,1772.0,576.163,6601.0,9648.0
2023-12-01,128.443,1470.0,2245.0,689.557,7891.0,12051.0
2024-01-01,45.366,524.0,784.0,258.634,2990.0,4468.0
2024-02-01,102.78,1187.0,1550.0,626.22,7230.0,9442.0
2024-03-01,86.787,1002.0,1304.0,758.213,8756.0,11394.0
2024-04-01,75.746,874.0,1151.0,670.254,7735.0,10181.0
2024-05-01,109.564,1265.0,1762.0,634.436,7322.0,10202.0
2024-06-01,80.809,934.0,1402.0,473.191,5469.0,8212.0
2024-07-01,131.411,1516.0,1947.0,483.589,5581.0,7164.0
2024-08-01,169.205,1337.0,1337.0,697.795,5512.0,5512.0
2024-09-01,140.159,1619.0,2464.0,562.841,6502.0,9895.0
2024-10-01,185.26,2139.0,3258.0,658.74,7607.0,11586.0
2024-11-01,135.818,1569.0,2245.0,640.182,7394.0,10580.0
2024-12-01,113.036,1305.0,1792.0,675.964,7805.0,10717.0
