measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,88225.0,949195.0,949195.0,892.0,20933.0,20933.0,162.0,1811.0,1811.0,0.0,0.0,0.0,,,
2003-02-01,,,,56860.0,646002.0,646002.0,308.0,5694.0,5694.0,72.0,856.0,856.0,0.0,0.0,0.0,,,
2003-03-01,,,,47408.0,547377.0,547377.0,171.0,4059.0,4059.0,200.0,2301.0,2301.0,0.0,0.0,0.0,,,
2003-04-01,,,,43294.0,489925.0,489925.0,109.0,3180.0,3180.0,131.0,1451.0,1451.0,0.0,0.0,0.0,,,
2003-05-01,,,,47533.0,572285.0,572285.0,,,,155.0,1835.0,1835.0,0.0,0.0,0.0,,,
2003-06-01,,,,64570.0,769677.0,769677.0,272.0,5823.0,5823.0,181.0,2148.0,2148.0,0.0,0.0,0.0,,,
2003-07-01,,,,79455.0,910325.0,910325.0,291.0,6874.0,6874.0,185.0,2165.0,2165.0,0.0,0.0,0.0,,,
2003-08-01,,,,84330.0,1014355.0,1014355.0,,,,80.0,974.0,974.0,0.0,0.0,0.0,,,
2003-09-01,,,,45277.0,547031.0,547031.0,,,,144.0,1788.0,1788.0,0.0,0.0,0.0,,,
2003-10-01,,,,-611.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,,,,48887.0,560787.0,560787.0,132.0,3676.0,3676.0,251.0,2844.0,2844.0,0.0,0.0,0.0,,,
2003-12-01,,,,70176.0,810264.0,810264.0,,,,125.0,1463.0,1463.0,0.0,0.0,0.0,,,
2004-01-01,,,,68666.0,771263.0,771263.0,-60.0,1634.0,1634.0,285.0,3275.0,3275.0,0.0,0.0,0.0,,,
2004-02-01,,,,70260.0,799622.0,799622.0,427.0,8431.0,8431.0,176.0,2047.0,2047.0,0.0,0.0,0.0,,,
2004-03-01,,,,67188.0,789684.0,789684.0,16.0,1918.0,1918.0,132.0,1581.0,1581.0,0.0,0.0,0.0,,,
