measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2006-01-01,,,,5.061,41.0,41.0,,,,2182.679,22861.0,22861.0
2006-02-01,,,,5.008,40.0,40.0,,,,2589.55,27122.0,27122.0
2006-03-01,,,,4.391,35.0,35.0,,,,2953.619,30935.0,30935.0
2006-04-01,,,,5.793,47.0,47.0,,,,3303.6870000000004,34602.0,34602.0
2006-05-01,,,,5.235,42.0,42.0,,,,3826.4950000000003,40078.0,40078.0
2006-06-01,,,,6.261,51.0,51.0,,,,4875.995,51070.0,51070.0
2006-07-01,,,,6.074000000000001,49.0,49.0,,,,6130.19,64206.0,64206.0
2006-08-01,,,,6.5360000000000005,53.0,53.0,,,,6207.499000000001,65016.0,65016.0
2006-09-01,,,,4.644,38.0,38.0,,,,4223.597,44237.0,44237.0
2006-10-01,,,,5.977,48.0,48.0,,,,3824.094,40053.0,40053.0
2006-11-01,,,,5.2170000000000005,42.0,42.0,,,,2839.984,29745.0,29745.0
2006-12-01,,,,5.804,47.0,47.0,,,,2960.6110000000003,31009.0,31009.0
2007-01-01,0.33,6.0,6.0,,,,777.465,8396.0,8396.0,,,
2007-02-01,0.454,6.0,6.0,,,,1391.323,15026.0,15026.0,,,
2007-03-01,0.728,6.0,6.0,,,,1298.829,14026.0,14026.0,,,
2007-04-01,0.398,6.0,6.0,,,,2516.0530000000003,27172.0,27172.0,,,
2007-05-01,0.687,6.0,6.0,,,,3847.8430000000003,41554.0,41554.0,,,
2007-06-01,0.905,12.0,12.0,,,,5834.667,63011.0,63011.0,,,
2007-07-01,0.432,6.0,6.0,,,,5518.6320000000005,59598.0,59598.0,,,
2007-08-01,0.194,0.0,0.0,,,,8080.127,87259.0,87259.0,,,
2007-09-01,0.115,0.0,0.0,,,,4314.385,46593.0,46593.0,,,
2007-10-01,0.154,0.0,0.0,,,,2189.9990000000003,23651.0,23651.0,,,
2007-11-01,0.8320000000000001,6.0,6.0,,,,1961.814,21186.0,21186.0,,,
2007-12-01,0.41900000000000004,6.0,6.0,,,,1478.2140000000002,15964.0,15964.0,,,
2008-01-01,,,,73.35300000000001,811.0,811.0,,,,2432.647,26906.0,26906.0
2008-02-01,,,,0.0,0.0,0.0,,,,1265.0,15000.0,15000.0
2008-03-01,,,,0.0,0.0,0.0,,,,46.0,766.0,766.0
2008-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,,,,1.897,25.0,25.0,,,,468.103,6120.0,6120.0
2008-06-01,,,,0.0,0.0,0.0,,,,1649.0,21501.0,21501.0
2008-07-01,,,,0.0,0.0,0.0,,,,4589.0,45000.0,45000.0
2008-08-01,,,,0.0,0.0,0.0,,,,3021.0,34500.0,34500.0
2008-09-01,,,,0.0,0.0,0.0,,,,1832.0,19499.0,19499.0
2008-10-01,,,,7.6930000000000005,93.0,93.0,,,,496.307,6000.0,6000.0
2008-11-01,,,,0.0,0.0,0.0,,,,0.0,461.0,461.0
2008-12-01,,,,0.0,0.0,0.0,,,,3498.0,41122.0,41122.0
2009-01-01,,,,5.4670000000000005,81.0,81.0,,,,3764.5330000000004,55499.0,55499.0
2009-02-01,,,,0.0,0.0,0.0,,,,771.0,8720.0,8720.0
2009-03-01,,,,0.0,0.0,0.0,,,,3158.0,33438.0,33438.0
2009-04-01,,,,0.0,0.0,0.0,,,,47.0,1500.0,1500.0
