measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2009-05-01,,,,0.0,0.0,0.0,,,,588.0,5500.0,5500.0
2009-06-01,,,,0.0,0.0,0.0,,,,4475.0,48068.0,48068.0
2009-07-01,,,,298.362,3292.0,3292.0,,,,3860.6380000000004,42599.0,42599.0
2009-08-01,,,,0.0,0.0,0.0,,,,3230.0,35500.0,35500.0
2009-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,138.0,1383.0,1383.0
2009-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,229.0,3000.0,3000.0
2010-01-01,,,,0.0,0.0,0.0,,,,1870.0,21710.0,21710.0
2010-02-01,,,,0.0,0.0,0.0,,,,138.0,800.0,800.0
2010-03-01,,,,0.0,0.0,0.0,,,,120.0,1500.0,1500.0
2010-04-01,,,,0.0,0.0,0.0,,,,1086.0,13000.0,13000.0
2010-05-01,,,,0.0,0.0,0.0,,,,2758.0,29000.0,29000.0
2010-06-01,,,,0.0,0.0,0.0,,,,10928.0,113436.0,113436.0
2010-07-01,,,,0.0,0.0,0.0,,,,23905.0,259534.0,259534.0
2010-08-01,,,,0.0,0.0,0.0,,,,40109.0,440199.0,440199.0
2010-09-01,,,,0.0,0.0,0.0,,,,3324.0,36500.0,36500.0
2010-10-01,,,,11.587,81.0,81.0,,,,359.413,2500.0,2500.0
2010-11-01,,,,0.0,0.0,0.0,,,,88.0,1500.0,1500.0
2010-12-01,,,,0.0,0.0,0.0,,,,7282.0,76300.0,76300.0
2011-01-01,,,,0.0,0.0,0.0,,,,11313.0,123889.0,123889.0
2011-02-01,,,,0.0,0.0,0.0,,,,10063.0,102101.0,102101.0
2011-03-01,,,,1.936,25.0,25.0,,,,184.064,2358.0,2358.0
2011-04-01,,,,2.722,31.0,31.0,,,,4899.278,55800.0,55800.0
2011-05-01,,,,2.958,31.0,31.0,,,,27609.042,289311.0,289311.0
2011-06-01,,,,0.0,0.0,0.0,,,,65033.0,693074.0,693074.0
2011-07-01,,,,0.0,0.0,0.0,,,,42364.0,446200.0,446200.0
2011-08-01,,,,0.0,0.0,0.0,,,,18614.0,201100.0,201100.0
2011-09-01,,,,0.0,0.0,0.0,,,,3574.0,33500.0,33500.0
2011-10-01,,,,0.0,0.0,0.0,,,,20994.0,223994.0,223994.0
2011-11-01,,,,4.606,50.0,50.0,,,,14160.394,152500.0,152500.0
2011-12-01,,,,36.474,384.0,384.0,,,,28464.526,299991.0,299991.0
2012-01-01,,,,0.0,0.0,0.0,,,,19770.0,216600.0,216600.0
2012-02-01,,,,0.0,0.0,0.0,,,,38065.0,407400.0,407400.0
2012-03-01,,,,0.0,0.0,0.0,,,,33339.0,349000.0,349000.0
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,19620.0,201500.0,201500.0
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,15434.0,153103.0,153103.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,7453.0,81500.0,81500.0
2012-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,29228.0,314300.0,314300.0
2012-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,13839.0,146300.0,146300.0
2012-09-01,,,,4.588,50.0,50.0,0.0,0.0,0.0,9240.412,99900.0,99900.0
2012-10-01,,,,2.208,19.0,19.0,0.0,0.0,0.0,395.792,3334.0,3334.0
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1937.0,1937.0
2012-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,641.0,6999.0,6999.0
2013-01-01,,,,0.37,6.0,6.0,0.0,0.0,0.0,89.63,1500.0,1500.0
2013-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,376.0,4500.0,4500.0
2013-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,310.0,310.0
2013-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,979.0,11000.0,11000.0
2013-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,15000.0,15000.0
2013-09-01,,,,1.571,25.0,25.0,0.0,0.0,0.0,253.429,4000.0,4000.0
2013-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,74.0,972.0,972.0
2013-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,37477.0,37477.0
2014-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,17328.0,17328.0
2014-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2501.0,29000.0,29000.0
2014-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1000.0,1000.0
2014-05-01,,,,0.0,0.0,0.0,,,,2070.0,24101.0,24101.0
2014-06-01,,,,0.0,0.0,0.0,,,,1203.0,15922.0,15922.0
2014-07-01,,,,146.628,1525.0,1525.0,,,,1749.672,18200.0,18200.0
2014-08-01,,,,2.233,25.0,25.0,,,,3853.767,42800.0,42800.0
2014-09-01,,,,0.0,0.0,0.0,,,,1820.0,24500.0,24500.0
2014-10-01,,,,0.0,0.0,0.0,,,,4437.0,53500.0,53500.0
2014-11-01,,,,0.0,0.0,0.0,,,,1383.0,18700.0,18700.0
2014-12-01,,,,0.0,0.0,0.0,,,,1222.0,12699.0,12699.0
2015-01-01,,,,0.0,0.0,0.0,,,,517.0,5801.0,5801.0
2015-02-01,,,,0.0,0.0,0.0,,,,2676.0,29380.0,29380.0
2015-03-01,,,,0.0,0.0,0.0,,,,4814.0,61400.0,61400.0
2015-04-01,,,,0.0,0.0,0.0,,,,261.0,1000.0,1000.0
2015-05-01,,,,0.0,0.0,0.0,,,,541.0,7000.0,7000.0
2015-06-01,,,,0.0,0.0,0.0,,,,5016.0,54235.0,54235.0
2015-07-01,,,,0.0,0.0,0.0,,,,9032.0,95306.0,95306.0
2015-08-01,,,,0.0,0.0,0.0,,,,23131.0,294105.0,294105.0
2015-09-01,,,,0.0,0.0,0.0,,,,11363.0,138924.0,138924.0
2015-10-01,,,,3.359,37.0,37.0,,,,9904.641,109700.0,109700.0
2015-11-01,,,,0.0,0.0,0.0,,,,2480.0,25860.0,25860.0
2015-12-01,,,,0.0,0.0,0.0,,,,2585.0,28000.0,28000.0
2016-01-01,,,,0.0,0.0,0.0,,,,249.0,2630.0,2630.0
2016-02-01,,,,0.0,0.0,0.0,,,,11.0,1.0,1.0
2016-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-04-01,,,,0.0,0.0,0.0,,,,3090.0,37579.0,37579.0
2016-05-01,,,,0.0,0.0,0.0,,,,7425.0,82664.0,82664.0
2016-06-01,,,,0.0,0.0,0.0,,,,11423.0,145755.0,145755.0
2016-07-01,,,,0.0,0.0,0.0,,,,5450.0,59397.0,59397.0
2016-08-01,,,,0.0,0.0,0.0,,,,1945.0,21823.0,21823.0
2016-09-01,,,,0.0,0.0,0.0,,,,9702.0,100000.0,100000.0
2016-10-01,,,,1.138,12.0,12.0,,,,10154.862,110669.0,110669.0
2016-11-01,,,,3.755,37.0,37.0,,,,9238.245,91527.0,91527.0
2016-12-01,,,,0.0,0.0,0.0,,,,9030.0,109731.0,109731.0
2017-01-01,,,,1.609,25.0,25.0,,,,2450.365,27179.0,27179.0
2017-02-01,,,,1.565,19.0,19.0,,,,2927.624,32472.0,32472.0
2017-03-01,,,,2.504,25.0,25.0,,,,4481.427,49706.0,49706.0
2017-04-01,,,,1.932,19.0,19.0,,,,4897.322,54320.0,54320.0
2017-05-01,,,,3.007,31.0,31.0,,,,4829.108,53563.0,53563.0
2017-06-01,,,,2.192,25.0,25.0,,,,4927.909,54659.0,54659.0
2017-07-01,,,,2.069,25.0,25.0,,,,6409.939,71097.0,71097.0
2017-08-01,,,,2.799,31.0,31.0,,,,4551.663,50485.0,50485.0
2017-09-01,,,,1.211,12.0,12.0,,,,4289.45,47577.0,47577.0
2017-10-01,,,,1.753,19.0,19.0,,,,4245.39,47088.0,47088.0
2017-11-01,,,,2.052,25.0,25.0,,,,2413.83,26773.0,26773.0
2017-12-01,,,,2.461,25.0,25.0,,,,5159.819,57231.0,57231.0
2018-01-01,,,,0.6,6.0,6.0,,,,3904.69,47036.0,47036.0
2018-02-01,,,,0.703,6.0,6.0,,,,3869.892,46617.0,46617.0
2018-03-01,,,,0.66,6.0,6.0,,,,4272.734,51470.0,51470.0
2018-04-01,,,,0.855,6.0,6.0,,,,4475.493,53912.0,53912.0
2018-05-01,,,,0.875,12.0,12.0,,,,4897.103,58991.0,58991.0
2018-06-01,,,,0.622,6.0,6.0,,,,5221.041,62893.0,62893.0
2018-07-01,,,,0.302,6.0,6.0,,,,5639.458,67934.0,67934.0
2018-08-01,,,,0.324,6.0,6.0,,,,5294.534,63779.0,63779.0
2018-09-01,,,,0.429,6.0,6.0,,,,3612.346,43515.0,43515.0
2018-10-01,,,,0.528,6.0,6.0,,,,4505.696,54277.0,54277.0
2018-11-01,,,,0.447,6.0,6.0,,,,2418.181,29130.0,29130.0
2018-12-01,,,,0.346,6.0,6.0,,,,1862.141,22431.0,22431.0
2019-01-01,,,,16.633,178.0,178.0,,,,1706.938,18254.0,18254.0
2019-02-01,,,,24.418,259.0,259.0,,,,2288.05,24470.0,24470.0
2019-03-01,,,,16.431,178.0,178.0,,,,1936.909,20715.0,20715.0
2019-04-01,,,,35.72,380.0,380.0,,,,1724.895,18448.0,18448.0
2019-05-01,,,,45.137,483.0,483.0,,,,2027.641,21685.0,21685.0
2019-06-01,,,,26.181,282.0,282.0,,,,2684.76,28713.0,28713.0
2019-07-01,,,,13.884,150.0,150.0,,,,2903.705,31055.0,31055.0
2019-08-01,,,,19.488,207.0,207.0,,,,3049.059,32609.0,32609.0
2019-09-01,,,,13.616,144.0,144.0,,,,2360.156,25241.0,25241.0
2019-10-01,,,,15.362,167.0,167.0,,,,2602.047,27829.0,27829.0
2019-11-01,,,,39.576,426.0,426.0,,,,1809.896,19357.0,19357.0
2019-12-01,,,,17.431,184.0,184.0,,,,1888.067,20192.0,20192.0
2020-01-01,,,,7.065,86.0,86.0,,,,1083.481,14565.0,14565.0
2020-02-01,,,,15.641,213.0,213.0,,,,805.536,10830.0,10830.0
2020-03-01,,,,7.064,98.0,98.0,,,,880.658,11840.0,11840.0
2020-04-01,,,,10.114,138.0,138.0,,,,609.406,8194.0,8194.0
2020-05-01,,,,11.205,150.0,150.0,,,,701.383,9430.0,9430.0
2020-06-01,,,,10.057,138.0,138.0,,,,1019.537,13708.0,13708.0
2020-07-01,,,,8.447,115.0,115.0,,,,1302.446,17511.0,17511.0
2020-08-01,,,,6.173,81.0,81.0,,,,1247.748,16776.0,16776.0
2020-09-01,,,,10.248,138.0,138.0,,,,583.629,7847.0,7847.0
2020-10-01,,,,8.443,115.0,115.0,,,,784.719,10550.0,10550.0
2020-11-01,,,,6.871,92.0,92.0,,,,485.682,6530.0,6530.0
2020-12-01,,,,8.586,115.0,115.0,,,,827.861,11130.0,11130.0
2021-01-01,,,,0.547,6.0,6.0,,,,537.168,5284.0,5284.0
2021-02-01,,,,3.659,35.0,35.0,,,,3592.617,35335.0,35335.0
2021-03-01,,,,1.663,17.0,17.0,,,,1632.843,16060.0,16060.0
2021-04-01,,,,1.008,12.0,12.0,,,,989.441,9732.0,9732.0
2021-05-01,,,,3.797,35.0,35.0,,,,3728.12,36667.0,36667.0
2021-06-01,,,,3.131,29.0,29.0,,,,3074.422,30238.0,30238.0
2021-07-01,,,,3.565,35.0,35.0,,,,3500.389,34427.0,34427.0
2021-08-01,,,,6.246,64.0,64.0,,,,6133.103,60321.0,60321.0
2021-09-01,,,,3.021,29.0,29.0,,,,2965.833,29170.0,29170.0
2021-10-01,,,,4.338,41.0,41.0,,,,4259.898,41898.0,41898.0
2021-11-01,,,,1.798,17.0,17.0,,,,1765.154,17360.0,17360.0
2021-12-01,,,,1.961,17.0,17.0,,,,1925.279,18935.0,18935.0
2022-01-01,,,,163.264,1737.0,1737.0,,,,8648.463,92627.0,92627.0
2022-02-01,,,,75.041,805.0,805.0,,,,4142.66,44368.0,44368.0
2022-03-01,,,,105.36,1129.0,1129.0,,,,7686.464,82322.0,82322.0
2022-04-01,,,,79.892,857.0,857.0,,,,6144.779,65811.0,65811.0
2022-05-01,,,,135.64,1453.0,1453.0,,,,6021.881,64495.0,64495.0
2022-06-01,,,,115.033,1233.0,1233.0,,,,8720.538,93397.0,93397.0
2022-07-01,,,,106.488,1141.0,1141.0,,,,11107.98,118967.0,118967.0
2022-08-01,,,,52.183,562.0,562.0,,,,11109.794,118987.0,118987.0
2022-09-01,,,,145.369,1558.0,1558.0,,,,9819.507,105167.0,105167.0
2022-10-01,,,,121.385,1303.0,1303.0,,,,7601.62,81413.0,81413.0
2022-11-01,,,,149.604,1604.0,1604.0,,,,7658.467,82022.0,82022.0
2022-12-01,,,,179.041,1916.0,1916.0,,,,8911.547,95443.0,95443.0
2023-01-01,,,,0.038,0.0,0.0,,,,543.333,5820.0,5820.0
2023-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-03-01,,,,0.167,0.0,0.0,,,,2385.519,25554.0,25554.0
2023-04-01,,,,0.673,6.0,6.0,,,,9598.461,102822.0,102822.0
2023-05-01,,,,0.768,6.0,6.0,,,,10946.482,117262.0,117262.0
2023-06-01,,,,0.861,12.0,12.0,,,,12275.893,131504.0,131504.0
2023-07-01,,,,1.069,12.0,12.0,,,,15235.962,163212.0,163212.0
2023-08-01,,,,0.982,12.0,12.0,,,,14002.081,149995.0,149995.0
2023-09-01,,,,0.685,6.0,6.0,,,,9757.059,104520.0,104520.0
2023-10-01,,,,0.592,6.0,6.0,,,,8432.587,90332.0,90332.0
2023-11-01,,,,0.098,0.0,0.0,,,,1402.473,15024.0,15024.0
2023-12-01,,,,0.01,0.0,0.0,,,,147.206,1577.0,1577.0
2024-01-01,,,,25.799,272.0,272.0,,,,3835.134,40709.0,40709.0
2024-02-01,,,,2.187,23.0,23.0,,,,325.123,3451.0,3451.0
2024-03-01,,,,4.329,46.0,46.0,,,,643.479,6830.0,6830.0
2024-04-01,,,,129.883,1378.0,1378.0,,,,19307.479,204945.0,204945.0
2024-05-01,,,,92.605,984.0,984.0,,,,13766.012,146123.0,146123.0
2024-06-01,,,,24.785,261.0,261.0,,,,3684.413,39109.0,39109.0
2024-07-01,,,,56.059,596.0,596.0,,,,8333.337,88456.0,88456.0
2024-08-01,,,,64.781,689.0,689.0,,,,9629.867,102218.0,102218.0
2024-09-01,,,,45.311,481.0,481.0,,,,6735.636,71497.0,71497.0
2024-10-01,,,,37.616,400.0,400.0,,,,5591.803,59356.0,59356.0
2024-11-01,,,,33.977,359.0,359.0,,,,5050.73,53612.0,53612.0
2024-12-01,,,,4.134,46.0,46.0,,,,614.522,6523.0,6523.0
