measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,1298.83,12598.74,72814.0
2004-02-01,,,,1164.97,11300.29,69454.0
2004-03-01,,,,1298.83,12598.74,72814.0
2004-04-01,,,,1298.83,12598.74,69370.0
2004-05-01,,,,1257.12,12194.15,71750.0
2004-06-01,,,,838.08,8129.43,41440.0
2004-07-01,,,,0.0,0.0,21518.0
2004-08-01,,,,670.27,6501.66,54908.0
2004-09-01,,,,1298.83,12598.74,72814.0
2004-10-01,,,,1298.83,12598.74,62958.0
2004-11-01,,,,1215.41,11789.56,65646.0
2004-12-01,,,,1298.83,12598.74,72814.0
2006-01-01,3.1357399999999997,30.42,230.42,730.21626,7083.15,53656.68
2006-02-01,3.12885,30.35,229.74,663.39515,6434.98,48711.46
2006-03-01,3.4135199999999997,33.11,250.63,718.55548,6970.03,52758.72
2006-04-01,2.86794,27.82,210.73,663.66006,6437.54,48763.82
2006-05-01,2.7814699999999997,26.98,204.42,661.93653,6420.83,48647.06
2006-06-01,3.56521,34.58,261.49,662.15079,6422.91,48565.02
2006-07-01,5.3584000000000005,51.98,391.6,714.0766,6926.59,52185.84
2006-08-01,5.03769,48.87,368.68,755.09031,7324.42,55260.8
2006-09-01,3.56345,34.57,261.5,704.65855,6835.24,51711.38
2006-10-01,3.9766299999999997,38.57,291.64,732.24937,7102.87,53702.04
2006-11-01,3.41662,33.14,250.85,715.26638,6938.13,52514.84
2006-12-01,3.33694,32.37,245.11,741.09206,7188.64,54436.34
2007-01-01,0.0,0.0,0.0,859.758,8347.0,32929.0
2007-02-01,0.0,0.0,0.0,900.6610000000001,8738.0,34493.0
2007-03-01,0.0,0.0,0.0,807.055,7820.0,30906.0
2007-04-01,0.0,0.0,0.0,1018.812,9877.0,39015.0
2007-05-01,0.0,0.0,0.0,974.446,9452.0,37315.0
2007-06-01,0.0,0.0,0.0,998.8860000000001,9690.0,38250.0
2007-07-01,0.0,0.0,0.0,1065.556,10336.0,40817.0
2007-08-01,0.0,0.0,0.0,971.4110000000001,9418.0,37196.0
2007-09-01,0.0,0.0,0.0,925.695,8976.0,35445.0
2007-10-01,0.0,0.0,0.0,855.4770000000001,8296.0,32759.0
2007-11-01,0.0,0.0,0.0,923.936,8959.0,35394.0
2007-12-01,0.0,0.0,0.0,899.8660000000001,8721.0,34459.0
2008-01-01,0.0,0.0,0.0,616.171,5977.0,6174.0
2008-02-01,0.0,0.0,0.0,623.345,6046.0,6264.0
2008-03-01,0.0,0.0,0.0,560.6890000000001,5439.0,5634.0
2008-04-01,0.0,0.0,0.0,550.797,5343.0,5526.0
2008-05-01,0.0,0.0,0.0,603.701,5856.0,6066.0
2008-06-01,0.0,0.0,0.0,602.643,5846.0,6048.0
2008-07-01,0.0,0.0,0.0,625.922,6071.0,6282.0
2008-08-01,0.0,0.0,0.0,643.227,6239.0,6462.0
2008-09-01,0.0,0.0,0.0,649.697,6302.0,6516.0
2008-10-01,0.0,0.0,0.0,642.984,6237.0,6462.0
2008-11-01,0.0,0.0,0.0,601.745,5837.0,6048.0
2008-12-01,0.0,0.0,0.0,508.48900000000003,4932.0,5112.0
2009-01-01,0.0,0.0,0.0,68.281,662.0,2358.0
2009-02-01,0.0,0.0,0.0,64.72,628.0,2214.0
2009-03-01,0.0,0.0,0.0,71.391,692.0,2448.0
2009-04-01,0.0,0.0,0.0,51.109,496.0,1746.0
2009-05-01,0.0,0.0,0.0,79.736,773.0,2736.0
2009-06-01,0.0,0.0,0.0,76.11800000000001,738.0,2610.0
2009-07-01,0.0,0.0,0.0,76.043,738.0,2610.0
2009-08-01,0.0,0.0,0.0,79.547,772.0,2736.0
2009-09-01,0.0,0.0,0.0,75.263,730.0,2592.0
2009-10-01,0.0,0.0,0.0,76.506,742.0,2628.0
2009-11-01,0.0,0.0,0.0,79.433,770.0,2718.0
2009-12-01,0.0,0.0,0.0,74.85300000000001,726.0,2574.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0
