measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2024-01-01,-19.0,0.0,0.0
2024-02-01,-52.0,0.0,0.0
2024-03-01,-38.0,0.0,0.0
2024-04-01,-27.0,0.0,0.0
2024-05-01,-26.0,0.0,0.0
2024-06-01,-33.0,0.0,0.0
2024-07-01,-58.0,0.0,0.0
2024-08-01,-48.0,0.0,0.0
2024-09-01,-26.0,0.0,0.0
2024-10-01,-125.0,0.0,0.0
2024-11-01,-28.0,0.0,0.0
2024-12-01,-55.0,0.0,0.0
