measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2015-01-01,17107.888,208884.0,645737.0,288.396,3521.0,10886.0,0.0,0.0,0.0,21.666,265.0,818.0,8540.841,104282.0,322374.0
2015-02-01,16191.243,197692.0,599977.0,73.468,897.0,2722.0,0.0,0.0,0.0,53.53,654.0,1984.0,8012.304,97829.0,296901.0
2015-03-01,17523.756,213962.0,637844.0,98.448,1202.0,3583.0,0.0,0.0,0.0,0.0,0.0,0.0,9280.188,113309.0,337788.0
2015-04-01,17482.187,213454.0,632783.0,201.34,2458.0,7288.0,0.0,0.0,0.0,1.122,14.0,41.0,8821.859,107713.0,319315.0
2015-05-01,16919.416,206583.0,519295.0,632.555,7723.0,19415.0,0.0,0.0,0.0,68.975,842.0,2117.0,10174.745,124232.0,312286.0
2015-06-01,16359.875,199751.0,552139.0,1316.755,16077.0,44440.0,0.0,0.0,0.0,23.028,281.0,777.0,9003.394,109930.0,303861.0
2015-07-01,20273.738,247539.0,674348.0,2401.694,29324.0,79885.0,0.0,0.0,0.0,23.017,281.0,766.0,8411.487,102703.0,279784.0
2015-08-01,17880.033,218312.0,643544.0,2418.521,29530.0,87048.0,0.0,0.0,0.0,15.631,191.0,563.0,6781.025,82795.0,244065.0
2015-09-01,16952.433,206986.0,681921.0,407.879,4980.0,16407.0,0.0,0.0,0.0,14.995,183.0,603.0,7706.019,94089.0,309979.0
2015-10-01,16153.143,197227.0,627989.0,64.647,789.0,2513.0,0.0,0.0,0.0,12.532,153.0,487.0,8613.474,105169.0,334868.0
2015-11-01,16224.136,198094.0,622302.0,114.722,1401.0,4400.0,0.0,0.0,0.0,5.746,70.0,220.0,8471.248,103432.0,324928.0
2015-12-01,15819.754,193156.0,619153.0,629.882,7691.0,24652.0,0.0,0.0,0.0,1.186,14.0,46.0,8460.973,103307.0,331145.0
