measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2021-01-01,15.422,216.0,216.0
2021-02-01,14.996,211.0,211.0
2021-03-01,11.687,164.0,164.0
2021-04-01,13.314,187.0,187.0
2021-05-01,15.239,215.0,215.0
2021-06-01,20.743,292.0,292.0
2021-07-01,22.852,322.0,322.0
2021-08-01,23.304,328.0,328.0
2021-09-01,19.692,277.0,277.0
2021-10-01,16.663,234.0,234.0
2021-11-01,13.706,193.0,193.0
2021-12-01,14.382,203.0,203.0
2022-01-01,22.517,319.0,319.0
2022-02-01,20.045,282.0,282.0
2022-03-01,15.962,224.0,224.0
2022-04-01,16.64,234.0,234.0
2022-05-01,24.581,347.0,347.0
2022-06-01,29.922,421.0,421.0
2022-07-01,35.26,497.0,497.0
2022-08-01,35.444,499.0,499.0
2022-09-01,29.877,421.0,421.0
2022-10-01,23.091,325.0,325.0
2022-11-01,21.643,305.0,305.0
2022-12-01,24.018,338.0,338.0
2023-01-01,24.009,338.0,338.0
2023-02-01,22.643,319.0,319.0
2023-03-01,22.347,314.0,314.0
2023-04-01,21.582,304.0,304.0
2023-05-01,30.813,434.0,434.0
2023-06-01,35.595,502.0,502.0
2023-07-01,39.037,550.0,550.0
2023-08-01,42.966,605.0,605.0
2023-09-01,36.196,510.0,510.0
2023-10-01,26.718,377.0,377.0
2023-11-01,24.772,349.0,349.0
2023-12-01,26.322,371.0,371.0
2024-01-01,19.441,281.0,281.0
2024-02-01,13.422,193.0,193.0
2024-03-01,15.232,220.0,220.0
2024-04-01,14.311,206.0,206.0
2024-05-01,19.12,276.0,276.0
2024-06-01,21.571,311.0,311.0
2024-07-01,23.317,336.0,336.0
2024-08-01,26.346,379.0,379.0
2024-09-01,21.86,314.0,314.0
2024-10-01,18.936,272.0,272.0
2024-11-01,15.17,218.0,218.0
2024-12-01,16.274,234.0,234.0
