measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,140.0,2189.0,2189.0,13004.0,135219.0,135219.0,,,,63160.0,757463.0,757463.0
2003-02-01,234.0,3646.0,3646.0,14271.0,147390.0,147390.0,,,,53941.0,645696.0,645696.0
2003-03-01,44.0,690.0,690.0,9420.0,97446.0,97446.0,,,,63966.0,760000.0,760000.0
2003-04-01,264.0,4112.0,4112.0,8158.0,89373.0,89373.0,,,,43337.0,521779.0,521779.0
2003-05-01,1.0,24.0,24.0,2057.0,25390.0,25390.0,,,,63501.0,744986.0,744986.0
2003-06-01,60.0,944.0,944.0,1152.0,13463.0,13463.0,,,,60752.0,716483.0,716483.0
2003-07-01,0.0,0.0,0.0,10161.0,119742.0,119742.0,,,,60290.0,745475.0,745475.0
2003-08-01,63.0,979.0,979.0,8495.0,97308.0,97308.0,,,,57579.0,714290.0,714290.0
2003-09-01,100.0,1564.0,1564.0,3207.0,36725.0,36725.0,,,,59199.0,705840.0,705840.0
2003-10-01,4.0,59.0,59.0,2625.0,32547.0,32547.0,,,,63723.0,749776.0,749776.0
2003-11-01,3.0,41.0,41.0,1717.0,20272.0,20272.0,,,,61580.0,721728.0,721728.0
2003-12-01,57.0,885.0,885.0,735.0,9731.0,9731.0,,,,60456.0,712960.0,712960.0
2004-01-01,87.962,1330.0,1330.0,585.3330000000001,7616.0,7616.0,,,,60371.738,710277.0,710277.0
2004-02-01,65.434,989.0,989.0,585.3330000000001,7616.0,7616.0,,,,56735.673,667499.0,667499.0
2004-03-01,79.78200000000001,1206.0,1206.0,585.3330000000001,7616.0,7616.0,,,,57661.481,678391.0,678391.0
2004-04-01,97.13900000000001,1468.0,1468.0,585.3330000000001,7616.0,7616.0,,,,51385.029,604548.0,604548.0
2004-05-01,79.44,1201.0,1201.0,585.3330000000001,7616.0,7616.0,,,,43955.281,517137.0,517137.0
2004-06-01,64.393,973.0,973.0,585.3330000000001,7616.0,7616.0,,,,55919.809,657900.0,657900.0
2004-07-01,89.45,1352.0,1352.0,585.3330000000001,7616.0,7616.0,,,,57933.69,681593.0,681593.0
2004-08-01,47.857,723.0,723.0,585.3330000000001,7616.0,7616.0,,,,61997.607,729406.0,729406.0
2004-09-01,27.996000000000002,423.0,423.0,585.3330000000001,7616.0,7616.0,,,,61557.354,724226.0,724226.0
2004-10-01,98.599,1491.0,1491.0,585.3330000000001,7616.0,7616.0,,,,57593.337,677589.0,677589.0
2004-11-01,53.127,803.0,803.0,585.3330000000001,7616.0,7616.0,,,,60257.462,708933.0,708933.0
2004-12-01,59.821000000000005,904.0,904.0,585.3330000000001,7616.0,7616.0,,,,60242.539,708757.0,708757.0
2005-01-01,186.691,2914.08,2914.08,1033.844,9771.95,9771.95,,,,57402.981,685583.26,685583.26
2005-02-01,64.141,1001.18,1001.18,827.082,7817.62,7817.62,,,,49978.827000000005,596914.08,596914.08
2005-03-01,71.092,1109.69,1109.69,1147.73,10848.4,10848.4,,,,51852.896,619296.72,619296.72
2005-04-01,86.113,1344.15,1344.15,1089.489,10297.91,10297.91,,,,46211.13,551915.2,551915.2
2005-05-01,79.977,1248.37,1248.37,1041.8110000000001,9847.25,9847.25,,,,50730.53,605891.92,605891.92
2005-06-01,103.802,1620.26,1620.26,1966.641,18588.79,18588.79,,,,56503.29,674837.95,674837.95
2005-07-01,105.658,1649.23,1649.23,2588.99,24471.27,24471.27,,,,59729.956,713375.12,713375.12
2005-08-01,124.123,1937.45,1937.45,2571.9030000000002,24309.76,24309.76,,,,60394.509,721312.1,721312.1
2005-09-01,81.25200000000001,1268.27,1268.27,1557.122,14718.0,14718.0,,,,55346.533,661022.4,661022.4
2005-10-01,90.232,1408.44,1408.44,1104.092,10435.94,10435.94,,,,52264.435,624211.86,624211.86
2005-11-01,72.538,1132.26,1132.26,967.649,9146.27,9146.27,,,,50955.401,608577.63,608577.63
2005-12-01,153.38,2394.13,2394.13,1209.646,11433.64,11433.64,,,,56906.512,679653.78,679653.78
2006-01-01,25.268,386.0,386.0,1174.5890000000002,11926.0,11926.0,,,,61631.359,739101.0,739101.0
2006-02-01,13.222000000000001,202.0,202.0,1327.765,13481.0,13481.0,,,,58697.104999999996,703913.0,703913.0
2006-03-01,11.106,170.0,170.0,1749.6760000000002,17765.0,17765.0,,,,59977.581,719269.0,719269.0
2006-04-01,21.275,325.0,325.0,1447.919,14701.0,14701.0,,,,51027.566,611938.0,611938.0
2006-05-01,19.887,304.0,304.0,1907.278,19365.0,19365.0,,,,54532.132,653965.0,653965.0
2006-06-01,18.076,276.0,276.0,2456.792,24944.0,24944.0,,,,59077.382,708473.0,708473.0
2006-07-01,26.183,400.0,400.0,4396.3460000000005,44637.0,44637.0,,,,67200.414,805887.0,805887.0
2006-08-01,25.397000000000002,388.0,388.0,3906.541,39664.0,39664.0,,,,67685.302,811702.0,811702.0
2006-09-01,11.668000000000001,178.0,178.0,2297.907,23331.0,23331.0,,,,56238.318,674426.0,674426.0
2006-10-01,12.325,188.0,188.0,2489.089,25272.0,25272.0,,,,58169.682,697588.0,697588.0
2006-11-01,14.513,222.0,222.0,1673.394,16990.0,16990.0,,,,57515.66,689745.0,689745.0
2006-12-01,16.081,246.0,246.0,1698.705,17247.0,17247.0,,,,62265.499,746706.0,746706.0
2007-01-01,17.69,210.0,210.0,5987.974,61236.0,61236.0,,,,61239.31,728649.0,728649.0
2007-02-01,0.0,0.0,0.0,5251.361,53703.0,53703.0,,,,55161.0,663104.0,663104.0
