measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,11.0,251.0,251.0,19.0,427.0,427.0
2003-02-01,0.0,0.0,0.0,-29.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,-27.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-27.0,0.0,0.0
2003-05-01,62.0,707.0,707.0,386.0,4416.0,4416.0
2003-06-01,14.0,249.0,249.0,65.0,1146.0,1146.0
2003-07-01,28.0,331.0,331.0,138.0,1656.0,1656.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,61.0,695.0,695.0,440.0,5122.0,5122.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.8420000000000001,7.0,7.0,0.0,0.0,0.0
2004-02-01,0.47800000000000004,4.0,4.0,22.348000000000003,187.0,187.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.9790000000000001,8.0,8.0,0.0,0.0,0.0
2004-05-01,3.801,31.0,31.0,0.0,0.0,0.0
2004-06-01,59.402,491.0,491.0,0.0,0.0,0.0
2004-07-01,86.75800000000001,717.0,717.0,0.0,0.0,0.0
2004-08-01,0.9560000000000001,8.0,8.0,53.635,449.0,449.0
2004-09-01,5.986000000000001,49.0,49.0,158.67,1328.0,1328.0
2004-10-01,0.91,8.0,8.0,0.0,0.0,0.0
2004-11-01,1.2970000000000002,11.0,11.0,2.235,19.0,19.0
2004-12-01,0.5920000000000001,5.0,5.0,20.113,168.0,168.0
2005-01-01,8.889000000000001,84.92,84.92,5.033,48.51,48.51
2005-02-01,4.511,43.1,43.1,4.178,40.27,40.27
2005-03-01,5.46,52.16,52.16,5.174,49.87,49.87
2005-04-01,5.689,54.36,54.36,5.098,49.14,49.14
2005-05-01,6.704000000000001,64.05,64.05,6.01,57.93,57.93
2005-06-01,6.07,57.99,57.99,7.585,73.11,73.11
2005-07-01,9.719000000000001,92.86,92.86,9.506,91.63,91.63
2005-08-01,10.756,102.76,102.76,9.847000000000001,94.91,94.91
2005-09-01,10.681000000000001,102.04,102.04,7.493,72.22,72.22
2005-10-01,6.373,60.89,60.89,5.986000000000001,57.7,57.7
2005-11-01,5.08,48.54,48.54,5.107,49.23,49.23
2005-12-01,11.066,105.73,105.73,4.984,48.04,48.04
2006-01-01,4.831,51.0,51.0,3.708,39.0,39.0
2006-02-01,4.781000000000001,50.0,50.0,4.399,46.0,46.0
2006-03-01,4.192,44.0,44.0,5.017,53.0,53.0
2006-04-01,5.529,58.0,58.0,5.612,59.0,59.0
2006-05-01,4.997,52.0,52.0,6.5,69.0,69.0
2006-06-01,5.976,63.0,63.0,8.283000000000001,87.0,87.0
2006-07-01,5.798,61.0,61.0,10.413,110.0,110.0
2006-08-01,6.239,65.0,65.0,10.545,111.0,111.0
2006-09-01,4.432,46.0,46.0,7.175,76.0,76.0
2006-10-01,5.705,60.0,60.0,6.496,69.0,69.0
2006-11-01,4.98,52.0,52.0,4.824,51.0,51.0
2006-12-01,5.54,58.0,58.0,5.029,53.0,53.0
2007-01-01,-5.352,35.0,35.0,-11.553,70.0,70.0
2007-02-01,-10.517000000000001,64.0,64.0,-11.644,71.0,71.0
2007-03-01,-5.962000000000001,35.0,35.0,-11.601,71.0,71.0
2007-04-01,-12.408000000000001,75.0,75.0,-15.382000000000001,93.0,93.0
2007-05-01,-12.519,75.0,75.0,-16.494,101.0,101.0
2007-06-01,-13.82,81.0,81.0,-16.9,103.0,103.0
2007-07-01,-15.521,93.0,93.0,-18.711000000000002,114.0,114.0
2007-08-01,-22.265,133.0,133.0,-20.099,122.0,122.0
2007-09-01,-14.249,87.0,87.0,-18.658,114.0,114.0
2007-10-01,-13.671000000000001,81.0,81.0,-18.399,112.0,112.0
2007-11-01,-5.029,29.0,29.0,-14.781,90.0,90.0
2007-12-01,-3.14,17.0,17.0,-14.324,87.0,87.0
