measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0
2003-05-01,105.84,1135.0,1135.0
2003-06-01,497.84,5398.0,5398.0
2003-07-01,1245.58,13554.0,13554.0
2003-08-01,369.46,4187.0,4187.0
2003-09-01,1577.8,17663.0,17663.0
2003-10-01,536.06,6206.0,6206.0
2003-11-01,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,406.949,4437.0,4437.0
2004-02-01,368.099,4013.0,4013.0
2004-03-01,364.92400000000004,3979.0,3979.0
2004-04-01,344.719,3759.0,3759.0
2004-05-01,378.848,4131.0,4131.0
2004-06-01,345.215,3764.0,3764.0
2004-07-01,388.406,4235.0,4235.0
2004-08-01,387.487,4225.0,4225.0
2004-09-01,377.41400000000004,4115.0,4115.0
2004-10-01,341.189,3720.0,3720.0
2004-11-01,368.843,4022.0,4022.0
2004-12-01,375.90700000000004,4099.0,4099.0
2005-01-01,278.038,2932.25,2932.25
2005-02-01,250.958,2646.66,2646.66
2005-03-01,270.835,2856.28,2856.28
2005-04-01,272.136,2870.0,2870.0
2005-05-01,298.88800000000003,3152.13,3152.13
2005-06-01,383.905,4048.73,4048.73
2005-07-01,491.59700000000004,5184.48,5184.48
2005-08-01,509.451,5372.77,5372.77
2005-09-01,384.235,4052.22,4052.22
2005-10-01,298.24,3145.3,3145.3
2005-11-01,266.10200000000003,2806.36,2806.36
2005-12-01,303.61400000000003,3201.97,3201.97
2006-01-01,468.73600000000005,5001.0,5001.0
2006-02-01,556.1120000000001,5933.0,5933.0
2006-03-01,634.297,6767.0,6767.0
2006-04-01,709.475,7569.0,7569.0
2006-05-01,821.749,8767.0,8767.0
2006-06-01,1047.132,11171.0,11171.0
2006-07-01,1316.473,14045.0,14045.0
2006-08-01,1333.075,14222.0,14222.0
2006-09-01,907.027,9677.0,9677.0
2006-10-01,821.2330000000001,8761.0,8761.0
2006-11-01,609.893,6507.0,6507.0
2006-12-01,635.798,6783.0,6783.0
2007-01-01,846.004,8915.0,8915.0
2007-02-01,769.534,8109.0,8109.0
2007-03-01,711.8380000000001,7501.0,7501.0
2007-04-01,708.544,7466.0,7466.0
2007-05-01,790.3230000000001,8328.0,8328.0
2007-06-01,934.428,9846.0,9846.0
2007-07-01,1272.894,13413.0,13413.0
2007-08-01,1411.132,14870.0,14870.0
2007-09-01,1112.001,11718.0,11718.0
2007-10-01,1053.848,11105.0,11105.0
2007-11-01,1001.942,10558.0,10558.0
2007-12-01,1116.511,11765.0,11765.0
2008-01-01,627.659,6520.0,6520.0
2008-02-01,525.921,5462.0,5462.0
2008-03-01,493.57500000000005,5127.0,5127.0
2008-04-01,561.484,5831.0,5831.0
2008-05-01,446.29400000000004,4635.0,4635.0
2008-06-01,488.471,5073.0,5073.0
2008-07-01,639.8050000000001,6645.0,6645.0
2008-08-01,748.503,7773.0,7773.0
2008-09-01,674.162,7001.0,7001.0
2008-10-01,628.498,6527.0,6527.0
2008-11-01,547.3430000000001,5684.0,5684.0
2008-12-01,612.2850000000001,6359.0,6359.0
2009-01-01,924.529,10092.0,10092.0
2009-02-01,850.676,9287.0,9287.0
2009-03-01,791.55,8642.0,8642.0
2009-04-01,679.957,7423.0,7423.0
2009-05-01,690.8190000000001,7542.0,7542.0
2009-06-01,640.265,6990.0,6990.0
2009-07-01,1171.559,12790.0,12790.0
2009-08-01,1201.34,13116.0,13116.0
2009-09-01,1258.913,13744.0,13744.0
2009-10-01,984.451,10747.0,10747.0
2009-11-01,899.0160000000001,9815.0,9815.0
2009-12-01,1031.925,11266.0,11266.0
