measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed
2001-01-01,2124.925,21831.0,32925.0
2001-02-01,1850.32,19010.0,28670.0
2001-03-01,1992.245,20468.0,30869.0
2001-04-01,1959.8280000000002,20135.0,30367.0
2001-05-01,2054.353,21106.0,31832.0
2001-06-01,2022.698,20781.0,31341.0
2001-07-01,2320.92,23845.0,35962.0
2001-08-01,2401.321,24671.0,37208.0
2001-09-01,1998.4460000000001,20532.0,30966.0
2001-10-01,1888.2230000000002,19400.0,29258.0
2001-11-01,1554.356,15969.0,24084.0
2001-12-01,1675.3670000000002,17213.0,25959.0
2002-01-01,3185.675,38714.0,44554.0
2002-02-01,2778.915,33770.0,38865.0
2002-03-01,3530.5080000000003,42904.0,49377.0
2002-04-01,2847.3610000000003,34602.0,39822.0
2002-05-01,2952.319,35878.0,41290.0
2002-06-01,3832.482,46574.0,53600.0
2002-07-01,4627.35,56233.0,64717.0
2002-08-01,4405.452,53537.0,61613.0
2002-09-01,3971.619,48265.0,55546.0
2002-10-01,3366.541,40911.0,47083.0
2002-11-01,3101.025,37685.0,43370.0
2002-12-01,3400.752,41327.0,47562.0
2003-01-01,1544.621,28493.0,36462.0
2003-02-01,1425.1370000000002,26288.0,33642.0
2003-03-01,1571.0410000000002,28980.0,37086.0
2003-04-01,1485.711,27406.0,35072.0
2003-05-01,1701.114,31379.0,40156.0
2003-06-01,1772.39,32694.0,41839.0
2003-07-01,2275.588,41976.0,53717.0
2003-08-01,2137.835,39435.0,50466.0
2003-09-01,1953.577,36036.0,46116.0
2003-10-01,1838.488,33913.0,43399.0
2003-11-01,1556.28,28708.0,36737.0
2003-12-01,1652.3880000000001,30480.0,39006.0
2004-01-01,1662.823,19496.74,38583.33
2004-02-01,1662.823,19496.74,38583.33
2004-03-01,1662.823,19496.74,38583.33
2004-04-01,1662.823,19496.74,38583.33
2004-05-01,1662.823,19496.74,38583.33
2004-06-01,1662.823,19496.74,38583.33
2004-07-01,1662.823,19496.74,38583.33
2004-08-01,1662.823,19496.74,38583.33
2004-09-01,1662.823,19496.74,38583.33
2004-10-01,1662.823,19496.74,38583.33
2004-11-01,1662.823,19496.74,38583.33
2004-12-01,1662.823,19496.74,38583.33
2005-01-01,1713.2530000000002,20088.04,37550.52
2005-02-01,1461.172,17132.36,32025.59
2005-03-01,1632.355,19139.5,35777.44
2005-04-01,1507.154,17671.51,33033.31
2005-05-01,1651.3290000000002,19361.97,36193.33
2005-06-01,1601.183,18774.01,35094.26
2005-07-01,1720.2420000000002,20169.99,37703.79
2005-08-01,1657.065,19429.24,36319.1
2005-09-01,1577.6390000000001,18497.95,34578.2
2005-10-01,1361.488,15963.57,29840.77
2005-11-01,1516.0120000000002,17775.37,33227.59
2005-12-01,0.0,0.0,0.0
