measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,10054.899,50349.05,575150.94
2004-02-01,,,,10070.013,50424.73,576015.54
2004-03-01,,,,8512.098,42623.6,486901.17
2004-04-01,,,,7971.466,39916.43,455976.37
2004-05-01,,,,7381.646000000001,36962.96,422238.05
2004-06-01,,,,9138.628,45760.9,522739.31
2004-07-01,,,,10025.088,50199.77,573445.73
2004-08-01,,,,9995.092,50049.57,571729.87
2004-09-01,,,,9742.399000000001,48784.23,557275.64
2004-10-01,,,,9633.265000000001,48237.76,551033.12
2004-11-01,,,,8941.909,44775.85,511486.78
2004-12-01,,,,9607.557,48109.02,549562.48
2005-01-01,,,,4424.247,22154.04,559662.1
2005-02-01,,,,4017.0150000000003,20114.86,508147.75
2005-03-01,,,,4305.982,21561.83,544701.7
2005-04-01,,,,3542.4590000000003,17738.56,448116.98
2005-05-01,,,,3365.429,16852.1,425722.75
2005-06-01,,,,4313.767,21600.82,545686.51
2005-07-01,,,,4812.905000000001,24100.21,608826.96
2005-08-01,,,,4767.109,23870.89,603033.65
2005-09-01,,,,4294.43,21503.99,543240.26
2005-10-01,,,,4021.547,20137.55,508720.97
2005-11-01,,,,3949.309,19775.83,499582.94
2005-12-01,,,,4555.457,22811.06,576259.99
2006-01-01,,,,8761.445,43872.19,499679.88
2006-02-01,,,,8237.718,41249.67,469810.82
2006-03-01,,,,8044.273,40281.01,458778.43
2006-04-01,,,,8051.935,40319.38,459215.4
2006-05-01,,,,8468.199,42403.78,482955.65
2006-06-01,,,,8662.755000000001,43378.01,494051.38
2006-07-01,,,,9097.041000000001,45552.66,518819.45
2006-08-01,,,,9093.059000000001,45532.72,518592.31
2006-09-01,,,,8211.989,41120.83,468343.51
2006-10-01,,,,8040.014,40259.68,458535.5
2006-11-01,,,,8151.164000000001,40816.26,464874.48
2006-12-01,,,,8687.959,43504.21,495488.78
2007-01-01,,,,7283.876,36475.0,471958.0
2007-02-01,,,,1179.248,5911.0,471958.0
2007-03-01,,,,3273.663,16385.0,500199.0
2007-04-01,,,,0.0,0.0,500199.0
2007-05-01,,,,2148.1910000000003,10761.0,500199.0
2007-06-01,,,,6068.136,30379.0,391145.0
2007-07-01,,,,7656.472000000001,38331.0,391145.0
2007-08-01,,,,9713.435000000001,48648.0,391145.0
2007-09-01,,,,9920.859,49675.0,317244.0
2007-10-01,,,,8154.868,40833.0,317244.0
