measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-01-01,,,,0.0,0.0,0.0
2008-02-01,,,,0.0,0.0,0.0
2008-03-01,,,,0.0,0.0,0.0
2008-04-01,,,,0.0,0.0,0.0
2008-05-01,,,,188.0,5602.0,5602.0
2008-06-01,,,,1489.0,44341.0,44341.0
2008-07-01,,,,4030.0,119984.0,119984.0
2008-08-01,,,,4484.0,133497.0,133497.0
2008-09-01,,,,4778.0,142260.0,142260.0
2008-10-01,,,,395.0,11761.0,11761.0
2008-11-01,,,,1397.0,41605.0,41605.0
2008-12-01,,,,3793.0,112940.0,112940.0
2009-01-01,,,,5153.0,88534.0,88534.0
2009-02-01,,,,4779.0,98794.0,98794.0
2009-03-01,,,,5106.0,85120.0,85120.0
2009-04-01,,,,5995.0,89985.0,89985.0
2009-05-01,,,,2979.0,59164.0,59164.0
2009-06-01,,,,2431.0,57070.0,57070.0
2009-07-01,,,,2616.0,59968.0,59968.0
2009-08-01,,,,4173.0,97843.0,97843.0
2009-09-01,,,,4157.0,102352.0,102352.0
2009-10-01,,,,5712.0,115315.0,115315.0
2009-11-01,,,,4704.0,91578.0,91578.0
2009-12-01,,,,3990.0,72810.0,72810.0
2010-01-01,,,,3746.0,74509.0,74509.0
2010-02-01,,,,3226.0,85920.0,85920.0
2010-03-01,,,,4760.0,101687.0,101687.0
2010-04-01,,,,3102.0,70871.0,70871.0
2010-05-01,,,,480.0,59904.0,59904.0
2010-06-01,,,,1514.0,4552.0,4552.0
2010-07-01,,,,0.0,0.0,0.0
2010-08-01,,,,0.0,0.0,0.0
2010-09-01,,,,0.0,0.0,0.0
2010-10-01,,,,0.0,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0
2010-12-01,,,,0.0,0.0,0.0
2011-01-01,,,,0.0,0.0,0.0
2011-02-01,,,,0.0,0.0,0.0
2011-03-01,,,,0.0,0.0,0.0
2011-04-01,,,,0.0,0.0,0.0
2011-05-01,,,,738.0,17873.0,17873.0
2011-06-01,,,,3342.0,101145.0,101145.0
2011-07-01,,,,3229.0,69412.0,69412.0
2011-08-01,,,,4624.0,94227.0,94227.0
2011-09-01,,,,3627.0,80782.0,80782.0
2011-10-01,,,,5402.0,128442.0,128442.0
2011-11-01,,,,4823.0,111861.0,111861.0
2011-12-01,,,,6154.0,142510.0,142510.0
2012-01-01,,,,4445.0,112780.0,112780.0
2012-02-01,,,,5438.0,162463.0,162463.0
2012-03-01,,,,6209.0,153704.0,153704.0
2012-04-01,,,,3897.0,105840.0,105840.0
2012-05-01,,,,5538.0,103874.0,103874.0
2012-06-01,,,,4697.0,103428.0,103428.0
2012-07-01,,,,5939.0,112392.0,112392.0
2012-08-01,,,,5780.0,109979.0,109979.0
2012-09-01,,,,5022.0,146512.0,146512.0
2012-10-01,,,,4843.0,115339.0,115339.0
2012-11-01,,,,2699.0,69228.0,69228.0
2012-12-01,,,,4592.0,109399.0,109399.0
2013-01-01,5.063,63.0,63.0,6365.937,79508.0,79508.0
2013-02-01,3.492,80.0,80.0,5237.508,119316.0,119316.0
2013-03-01,4.891,110.0,110.0,6507.109,146555.0,146555.0
2013-04-01,4.235,83.0,83.0,4601.765,90665.0,90665.0
2013-05-01,13.976,304.0,304.0,3716.024,80788.0,80788.0
2013-06-01,1.431,29.0,29.0,6671.569,137051.0,137051.0
2013-07-01,4.182,101.0,101.0,5156.818,124479.0,124479.0
2013-08-01,2.179,46.0,46.0,6252.821,133034.0,133034.0
2013-09-01,3.828,75.0,75.0,6259.172,122933.0,122933.0
2013-10-01,2.832,60.0,60.0,4601.168,97774.0,97774.0
2013-11-01,0.0,0.0,0.0,6563.0,142576.0,142576.0
2013-12-01,3.636,72.0,72.0,6999.364,139391.0,139391.0
2014-01-01,3.547,74.0,74.0,6764.453,141988.0,141988.0
2014-02-01,3.218,69.0,69.0,5982.782,128185.0,128185.0
2014-03-01,0.0,0.0,0.0,7524.0,157168.0,157168.0
2014-04-01,13.674,304.0,304.0,2820.326,62631.0,62631.0
2014-05-01,5.237,110.0,110.0,5700.763,120139.0,120139.0
2014-06-01,2.913,62.0,62.0,6139.087,131237.0,131237.0
2014-07-01,1.289,26.0,26.0,7533.711,154802.0,154802.0
2014-08-01,0.0,0.0,0.0,7030.0,134950.0,134950.0
2014-09-01,2.873,53.0,53.0,7077.127,129418.0,129418.0
2014-10-01,3.656,77.0,77.0,7227.344,152396.0,152396.0
2014-11-01,2.63,52.0,52.0,4234.37,84009.0,84009.0
2014-12-01,3.716,74.0,74.0,3771.284,74823.0,74823.0
2015-01-01,3.585,79.0,79.0,6453.415,142481.0,142481.0
2015-02-01,3.063,78.0,78.0,1317.937,33522.0,33522.0
2015-03-01,8.609,206.0,206.0,3373.391,80559.0,80559.0
2015-04-01,6.495,135.0,135.0,5921.505,122659.0,122659.0
2015-05-01,6.328,127.0,127.0,6794.672,136869.0,136869.0
2015-06-01,2.407,48.0,48.0,6487.593,130110.0,130110.0
2015-07-01,2.221,46.0,46.0,5688.779,116862.0,116862.0
2015-08-01,7.586,142.0,142.0,6354.414,119232.0,119232.0
2015-09-01,2.703,53.0,53.0,6143.297,120309.0,120309.0
2015-10-01,5.754,111.0,111.0,4109.246,79241.0,79241.0
2015-11-01,9.316,195.0,195.0,6370.684,133246.0,133246.0
2015-12-01,4.829,106.0,106.0,6951.171,152430.0,152430.0
2016-01-01,7.353,153.0,153.0,6018.647,125374.0,125374.0
2016-02-01,5.296,96.0,96.0,6092.704,110946.0,110946.0
2016-03-01,8.229,175.0,175.0,6179.771,131243.0,131243.0
2016-04-01,0.0,0.0,0.0,5581.0,101028.0,101028.0
2016-05-01,2.553,51.0,51.0,6449.447,128137.0,128137.0
2016-06-01,12.764,236.0,236.0,3721.236,68731.0,68731.0
2016-07-01,2.432,45.0,45.0,6788.568,124567.0,124567.0
2016-08-01,3.839,68.0,68.0,6544.161,115120.0,115120.0
2016-09-01,9.047,183.0,183.0,4931.953,99494.0,99494.0
2016-10-01,2.829,50.0,50.0,7301.171,128085.0,128085.0
2016-11-01,14.095,328.0,328.0,2229.905,51881.0,51881.0
2016-12-01,9.489,201.0,201.0,6995.511,147928.0,147928.0
2017-01-01,39.205,689.0,689.0,3841.795,67523.0,67523.0
2017-02-01,9.051,204.0,204.0,5707.949,128612.0,128612.0
2017-03-01,0.0,0.0,0.0,7659.0,160707.0,160707.0
2017-04-01,11.493,208.0,208.0,5966.507,108015.0,108015.0
2017-05-01,8.346,176.0,176.0,2775.654,58575.0,58575.0
2017-06-01,6.63,149.0,149.0,5742.37,128807.0,128807.0
2017-07-01,4.428,60.0,60.0,6994.572,95273.0,95273.0
2017-08-01,4.488,68.0,68.0,6676.512,100564.0,100564.0
2017-09-01,0.0,0.0,0.0,7350.0,141197.0,141197.0
2017-10-01,24.459,462.0,462.0,4673.541,88367.0,88367.0
2017-11-01,9.353,227.0,227.0,4948.647,119892.0,119892.0
2017-12-01,0.0,0.0,0.0,7685.0,112407.0,112407.0
2018-01-01,4.385,69.0,69.0,7167.615,112077.0,112077.0
2018-02-01,0.0,0.0,0.0,7005.0,111552.0,111552.0
2018-03-01,8.533,141.0,141.0,6326.467,104219.0,104219.0
2018-04-01,0.0,0.0,0.0,7319.0,120720.0,120720.0
2018-05-01,7.031,131.0,131.0,3205.969,59763.0,59763.0
2018-06-01,0.0,0.0,0.0,5781.0,107582.0,107582.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,4.672,78.0,78.0,2293.328,38395.0,38395.0
2018-09-01,10.776,186.0,186.0,5626.224,96919.0,96919.0
2018-10-01,0.0,0.0,0.0,7456.0,159710.0,159710.0
2018-11-01,0.0,0.0,0.0,7385.0,156661.0,156661.0
2018-12-01,0.0,0.0,0.0,7580.0,155837.0,155837.0
2019-01-01,2.464,51.0,51.0,6553.536,135542.0,135542.0
2019-02-01,0.0,0.0,0.0,6786.0,156924.0,156924.0
2019-03-01,8.573,141.0,141.0,5955.427,97780.0,97780.0
2019-04-01,6.978,179.0,179.0,3947.022,100966.0,100966.0
2019-05-01,6.208,108.0,108.0,6074.792,105835.0,105835.0
2019-06-01,2.309,43.0,43.0,6608.691,122599.0,122599.0
2019-07-01,1.809,32.0,32.0,6834.191,120599.0,120599.0
2019-08-01,0.0,0.0,0.0,7171.0,128369.0,128369.0
2019-09-01,7.319,182.0,182.0,4684.681,116697.0,116697.0
2019-10-01,4.91,90.0,90.0,6437.09,117489.0,117489.0
2019-11-01,5.354,105.0,105.0,5790.646,113617.0,113617.0
2019-12-01,10.3,224.0,224.0,4811.7,104569.0,104569.0
2020-01-01,6.076,127.0,127.0,5455.924,113927.0,113927.0
2020-02-01,2.473,50.0,50.0,5052.527,103102.0,103102.0
2020-03-01,4.858,108.0,108.0,5082.142,113102.0,113102.0
2020-04-01,6.126,97.0,97.0,1454.874,22992.0,22992.0
2020-05-01,4.251,108.0,108.0,5520.749,140453.0,140453.0
2020-06-01,7.717,148.0,148.0,5459.283,104926.0,104926.0
2020-07-01,5.395,108.0,108.0,5818.605,116652.0,116652.0
2020-08-01,1.597,32.0,32.0,5615.403,113346.0,113346.0
2020-09-01,2.085,44.0,44.0,6286.915,131706.0,131706.0
2020-10-01,4.025,102.0,102.0,3416.975,86596.0,86596.0
2020-11-01,0.0,0.0,0.0,6627.0,121317.0,121317.0
2020-12-01,2.581,47.0,47.0,6157.419,111651.0,111651.0
2021-01-01,4.718,93.0,93.0,4986.282,98014.0,98014.0
2021-02-01,1.286,31.0,31.0,6378.714,153601.0,153601.0
2021-03-01,1.275,28.0,28.0,5351.725,116964.0,116964.0
2021-04-01,6.045,119.0,119.0,2388.955,47219.0,47219.0
2021-05-01,3.545,78.0,78.0,5842.455,128403.0,128403.0
2021-06-01,2.063,43.0,43.0,5943.937,123522.0,123522.0
2021-07-01,3.313,88.0,88.0,5354.687,141744.0,141744.0
2021-08-01,4.224,93.0,93.0,5891.776,129304.0,129304.0
2021-09-01,1.928,59.0,59.0,1150.072,35157.0,35157.0
2021-10-01,2.872,66.0,66.0,5595.128,129169.0,129169.0
2021-11-01,4.164,87.0,87.0,6211.836,129354.0,129354.0
2021-12-01,3.003,67.0,67.0,5031.997,112569.0,112569.0
2022-01-01,2.924,61.0,61.0,5833.076,122648.0,122648.0
