measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,110.0,2123.0,2123.0,0.0,0.0,0.0
2003-02-01,283.0,4787.0,4787.0,8465.0,99166.0,99166.0
2003-03-01,418.0,7915.0,7915.0,16844.0,284427.0,284427.0
2003-04-01,0.0,0.0,0.0,5985.0,109833.0,109833.0
2003-05-01,990.0,18056.0,18056.0,0.0,0.0,0.0
2003-06-01,,,,15151.0,233131.0,233131.0
2003-07-01,338.0,7022.0,7022.0,107421.0,1145024.0,1145024.0
2003-08-01,1062.0,18739.0,18739.0,64209.0,824332.0,824332.0
2003-09-01,471.0,11983.0,11983.0,29913.0,420503.0,420503.0
2003-10-01,796.0,13497.0,13497.0,9475.0,153418.0,153418.0
2003-11-01,0.0,0.0,0.0,1850.0,34127.0,34127.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,-819.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,-747.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-782.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,-749.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,-738.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,-698.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,51278.0,613758.0,613758.0
2004-08-01,0.0,0.0,0.0,61478.0,730515.0,730515.0
2004-09-01,0.0,0.0,0.0,96238.0,1105428.0,1105428.0
2004-10-01,0.0,0.0,0.0,1473.0,27577.0,27577.0
2004-11-01,0.0,0.0,0.0,8003.0,105630.0,105630.0
2004-12-01,0.0,0.0,0.0,-1146.0,7870.0,7870.0
2005-01-01,,,,42518.0,500563.82,500563.82
2005-02-01,,,,60908.0,664059.22,664059.22
2005-03-01,,,,27510.0,328423.92,328423.92
2005-04-01,,,,-828.0,0.0,0.0
2005-05-01,,,,70240.0,800414.05,800414.05
2005-06-01,,,,74106.0,882127.92,882127.92
2005-07-01,,,,107608.0,1242812.25,1242812.25
2005-08-01,,,,74659.0,869211.49,869211.49
2005-09-01,,,,41155.0,536559.76,536559.76
2005-10-01,,,,53907.0,684149.81,684149.81
2005-11-01,,,,85016.0,1040769.6,1040769.6
2005-12-01,,,,87506.0,1111629.66,1111629.66
2006-01-01,,,,37735.0,534707.0,534707.0
2006-02-01,,,,66926.0,799704.0,799704.0
2006-03-01,,,,92936.0,1200059.0,1200059.0
2006-04-01,,,,81429.0,919419.0,919419.0
2006-05-01,,,,26371.0,326026.0,326026.0
2006-06-01,,,,75449.0,978943.0,978943.0
2006-07-01,,,,140572.0,1616893.0,1616893.0
2006-08-01,,,,58848.0,756289.0,756289.0
2006-09-01,,,,56271.0,695010.0,695010.0
2006-10-01,,,,-999.0,5223.0,5223.0
2006-11-01,,,,93789.0,1072172.0,1072172.0
2006-12-01,,,,94039.0,1213425.0,1213425.0
2007-01-01,,,,23001.0,374452.0,374452.0
2007-02-01,,,,3828.0,83152.0,83152.0
2007-03-01,,,,-958.0,0.0,0.0
2007-04-01,,,,60.0,16748.0,16748.0
2007-05-01,,,,11787.0,144609.0,144609.0
2007-06-01,,,,65101.0,796346.0,796346.0
2007-07-01,,,,86206.0,1076705.0,1076705.0
2007-08-01,,,,144897.0,1617060.0,1617060.0
2007-09-01,,,,73238.0,891848.0,891848.0
2007-10-01,,,,145665.0,1537338.0,1537338.0
2007-11-01,,,,47970.0,566451.0,566451.0
2007-12-01,,,,6337.0,105903.0,105903.0
2008-01-01,,,,13606.0,168533.0,168533.0
2008-02-01,,,,-820.0,0.0,0.0
2008-03-01,,,,830.0,27954.0,27954.0
2008-04-01,,,,24078.0,291582.0,291582.0
2008-05-01,,,,54661.0,690513.0,690513.0
2008-06-01,,,,110204.0,1301792.0,1301792.0
2008-07-01,,,,116323.0,1389429.0,1389429.0
2008-08-01,,,,154582.0,1796988.0,1796988.0
2008-09-01,,,,125767.0,1464343.0,1464343.0
2008-10-01,,,,127283.0,1411817.0,1411817.0
2008-11-01,,,,56146.0,684108.0,684108.0
2008-12-01,,,,65784.0,786348.0,786348.0
2009-01-01,,,,45597.0,580708.0,580708.0
2009-02-01,,,,12043.0,165428.0,165428.0
2009-03-01,,,,10521.0,137542.0,137542.0
2009-04-01,,,,39935.0,494817.0,494817.0
