measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2014-10-01,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-12-01,182.0,3850.0,3850.0
2015-01-01,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0
2015-03-01,3004.0,38908.0,38908.0
2015-04-01,0.0,0.0,0.0
2015-05-01,1221.0,15965.0,15965.0
2015-06-01,2837.0,37455.0,37455.0
2015-07-01,5811.0,79434.0,79434.0
2015-08-01,3887.0,51214.0,51214.0
2015-09-01,0.0,0.0,0.0
2015-10-01,10640.0,134142.0,134142.0
2015-11-01,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,9997.0,131538.0,131538.0
2016-07-01,7932.0,107592.0,107592.0
2016-08-01,4447.0,63276.0,63276.0
2016-09-01,3285.0,38868.0,38868.0
2016-10-01,4194.0,54208.0,54208.0
2016-11-01,0.0,0.0,0.0
2016-12-01,955.0,13581.0,13581.0
2017-01-01,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0
2017-04-01,3826.0,49315.0,49315.0
2017-05-01,0.0,0.0,0.0
2017-06-01,3548.0,45787.0,45787.0
2017-07-01,2956.0,39289.0,39289.0
2017-08-01,0.0,0.0,0.0
2017-09-01,868.0,11468.0,11468.0
2017-10-01,0.0,12504.0,12504.0
2017-11-01,12463.0,153161.0,153161.0
2017-12-01,0.0,1604.0,1604.0
2018-01-01,2949.0,33720.0,33720.0
2018-02-01,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0
2018-04-01,3221.0,34650.0,34650.0
2018-05-01,5506.0,75424.0,75424.0
2018-06-01,2497.0,32975.0,32975.0
2018-07-01,4752.0,63168.0,63168.0
2018-08-01,2254.0,30862.0,30862.0
2018-09-01,2614.0,34029.0,34029.0
2018-10-01,0.0,0.0,0.0
2018-11-01,1733.0,21965.0,21965.0
2018-12-01,0.0,0.0,0.0
2019-01-01,4308.0,54086.0,54086.0
2019-02-01,0.0,0.0,0.0
2019-03-01,4734.0,65660.0,65660.0
2019-04-01,1226.0,10176.0,10176.0
2019-05-01,4777.0,52302.0,52302.0
2019-06-01,6462.0,87778.0,87778.0
2019-07-01,12710.0,157475.0,157475.0
2019-08-01,7443.0,96188.0,96188.0
2019-09-01,9567.0,121445.0,121445.0
2019-10-01,3205.0,33777.0,33777.0
2019-11-01,6784.0,79499.0,79499.0
2019-12-01,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-03-01,781.0,10979.0,10979.0
2020-04-01,0.0,0.0,0.0
2020-05-01,1979.0,25478.0,25478.0
2020-06-01,3498.0,43802.0,43802.0
2020-07-01,8341.0,107611.0,107611.0
2020-08-01,4214.0,64008.0,64008.0
2020-09-01,0.0,0.0,0.0
2020-10-01,4830.0,58665.0,58665.0
2020-11-01,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0
2021-02-01,11263.0,135821.0,135821.0
2021-03-01,0.0,0.0,0.0
2021-04-01,5760.0,74298.0,74298.0
2021-05-01,0.0,0.0,0.0
2021-06-01,6278.0,77378.0,77378.0
2021-07-01,6080.0,77787.0,77787.0
2021-08-01,11088.0,142417.0,142417.0
2021-09-01,0.0,0.0,0.0
2021-10-01,4077.0,53340.0,53340.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-02-01,1860.0,23589.0,23589.0
2022-03-01,4714.0,63599.0,63599.0
2022-04-01,709.0,8474.0,8474.0
2022-05-01,6286.0,84221.0,84221.0
2022-06-01,8614.0,110415.0,110415.0
2022-07-01,16591.0,210085.0,210085.0
2022-08-01,11919.0,159457.0,159457.0
2022-09-01,8628.0,106611.0,106611.0
2022-10-01,12249.0,153375.0,153375.0
2022-11-01,3008.0,37070.0,37070.0
2022-12-01,10750.0,129774.0,129774.0
2023-01-01,427.0,10097.0,10097.0
2023-02-01,2028.0,20284.0,20284.0
2023-03-01,2319.0,30017.0,30017.0
2023-04-01,31696.0,377157.0,377157.0
2023-05-01,29209.0,364861.0,364861.0
2023-06-01,31394.0,391520.0,391520.0
2023-07-01,11408.0,151793.0,151793.0
2023-08-01,31425.0,407464.0,407464.0
2023-09-01,10627.0,127893.0,127893.0
2023-10-01,11696.0,147008.0,147008.0
2023-11-01,15599.0,180750.0,180750.0
2023-12-01,0.0,0.0,0.0
2024-01-01,16236.0,192923.0,192923.0
2024-02-01,1431.0,23053.0,23053.0
2024-03-01,10471.0,123183.0,123183.0
2024-04-01,38047.0,462380.0,462380.0
2024-05-01,7211.0,78916.0,78916.0
2024-06-01,13995.0,174271.0,174271.0
2024-07-01,14365.0,178089.0,178089.0
2024-08-01,34141.0,427633.0,427633.0
2024-09-01,7204.0,85877.0,85877.0
2024-10-01,17754.0,215892.0,215892.0
2024-11-01,25244.0,299081.0,299081.0
2024-12-01,5958.0,75005.0,75005.0
