measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,91.808,876.0,876.0,253.51500000000001,2388.0,2388.0,0.0,0.0,0.0
2008-03-01,29.933,284.0,284.0,284.73400000000004,2682.0,2682.0,0.0,0.0,0.0
2008-04-01,20.595000000000002,191.0,191.0,286.13800000000003,2695.0,2695.0,0.0,0.0,0.0
2008-05-01,21.131,197.0,197.0,285.253,2687.0,2687.0,0.0,0.0,0.0
2008-06-01,85.113,800.0,800.0,286.69300000000004,2701.0,2701.0,0.0,0.0,0.0
2008-07-01,39.687000000000005,371.0,371.0,288.29,2716.0,2716.0,0.0,0.0,0.0
2008-08-01,24.627000000000002,232.0,232.0,280.474,2642.0,2642.0,0.0,0.0,0.0
2008-09-01,30.703000000000003,290.0,290.0,268.09700000000004,2526.0,2526.0,0.0,0.0,0.0
2008-10-01,14.429,133.0,133.0,271.67,2559.0,2559.0,0.0,0.0,0.0
2008-11-01,30.921000000000003,290.0,290.0,258.819,2438.0,2438.0,0.0,0.0,0.0
2008-12-01,59.298,557.0,557.0,283.072,2667.0,2667.0,0.0,0.0,0.0
2009-01-01,98.619,1096.0,1096.0,44.766000000000005,497.0,497.0,0.0,0.0,0.0
2009-02-01,19.02,209.0,209.0,45.266000000000005,503.0,503.0,0.0,0.0,0.0
2009-03-01,23.369,261.0,261.0,51.319,571.0,571.0,0.0,0.0,0.0
2009-04-01,8.749,99.0,99.0,48.488,539.0,539.0,0.0,0.0,0.0
2009-05-01,8.289,93.0,93.0,46.565,518.0,518.0,0.0,0.0,0.0
2009-06-01,7.336,81.0,81.0,48.613,541.0,541.0,0.0,0.0,0.0
2009-07-01,11.512,128.0,128.0,51.757000000000005,575.0,575.0,0.0,0.0,0.0
2009-08-01,9.861,110.0,110.0,49.447,550.0,550.0,0.0,0.0,0.0
2009-09-01,6.2940000000000005,70.0,70.0,45.346000000000004,504.0,504.0,0.0,0.0,0.0
2009-10-01,6.551,75.0,75.0,49.017,545.0,545.0,0.0,0.0,0.0
2009-11-01,7.761,87.0,87.0,49.664,552.0,552.0,0.0,0.0,0.0
2009-12-01,7.562,81.0,81.0,49.829,554.0,554.0,0.0,0.0,0.0
2010-01-01,56.506,1647.0,1647.0,6.2,181.0,181.0,0.0,0.0,0.0
2010-02-01,18.124000000000002,528.0,528.0,5.187,151.0,151.0,0.0,0.0,0.0
