measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,,,,,,,18736.0,500650.0,500650.0
2003-02-01,,,,,,,,,,19250.174,567562.0,567562.0
2003-03-01,,,,,,,,,,15018.0,398293.0,398293.0
2003-04-01,,,,,,,,,,17929.0,297220.0,297220.0
2003-05-01,,,,,,,,,,12050.0,195650.0,195650.0
2003-06-01,,,,,,,,,,13937.0,243320.0,243320.0
2003-07-01,,,,,,,,,,20227.0,327050.0,327050.0
2003-08-01,0.0,0.0,0.0,,,,19843.0,529712.0,529712.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,10025.0,261808.0,261808.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,17760.0,377309.0,377309.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,21196.0,484478.0,484478.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,20441.0,490500.0,490500.0
2004-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,22336.0,380127.0,380127.0
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,22312.0,557618.0,557618.0
2004-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,25200.0,572192.0,572192.0
2004-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,1954.0,44501.0,44501.0
2004-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,24937.0,588292.0,588292.0
2004-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,23742.0,564680.0,564680.0
2004-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,24386.0,551618.0,551618.0
2004-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,25619.0,580127.0,580127.0
2004-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21634.0,466379.0,466379.0
2004-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,25793.0,398387.0,398387.0
2005-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,18555.0,332441.5,332441.5
2005-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,19395.0,342316.0,342316.0
2005-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21638.0,463517.6,463517.6
2005-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,19558.0,348992.8,348992.8
2005-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,18058.0,299447.2,299447.2
2005-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,19639.0,332508.8,332508.8
2005-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21004.0,321193.6,321193.6
2005-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,24177.0,351135.6,351135.6
2005-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21226.0,286124.8,286124.8
2005-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21099.0,317934.4,317934.4
2005-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,6377.0,87045.0,87045.0
2005-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,23704.0,419013.0,419013.0
2006-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,22664.0,435656.0,435656.0
2006-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21442.0,332940.0,332940.0
2006-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16239.0,285802.0,285802.0
2006-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21868.0,308043.0,308043.0
2006-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,22007.0,302468.0,302468.0
2006-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,21057.0,317495.0,317495.0
2006-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,22269.0,318086.0,318086.0
2006-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,22131.0,336381.0,336381.0
2006-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,17873.0,303251.0,303251.0
2006-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,17229.0,309320.0,309320.0
2006-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,20260.0,328229.0,328229.0
2006-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,18435.0,306272.0,306272.0
2007-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16275.0,227457.0,227457.0
2007-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,19620.0,284409.0,284409.0
2007-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,9403.0,135369.0,135369.0
2007-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16159.0,286318.0,286318.0
2007-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16163.0,267938.0,267938.0
2007-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,17271.0,299334.0,299334.0
2007-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,15779.0,260142.0,260142.0
2007-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16957.0,303620.0,303620.0
2007-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16530.0,272939.0,272939.0
2007-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,15193.0,261482.0,261482.0
2007-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,17622.0,288818.0,288818.0
2007-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,19582.0,307299.0,307299.0
2008-01-01,0.0,0.0,0.0,,,,,,,21312.0,309204.0,309204.0
2008-02-01,0.0,0.0,0.0,,,,,,,15832.0,251595.0,251595.0
2008-03-01,0.0,0.0,0.0,,,,,,,14642.0,249102.0,249102.0
2008-04-01,0.0,0.0,0.0,,,,,,,14179.0,199038.0,199038.0
2008-05-01,0.0,0.0,0.0,,,,,,,12056.0,173453.0,173453.0
2008-06-01,0.0,0.0,0.0,,,,,,,15075.0,221296.0,221296.0
2008-07-01,0.0,0.0,0.0,,,,,,,17155.0,240520.0,240520.0
2008-08-01,0.0,0.0,0.0,,,,,,,15030.0,201912.0,201912.0
2008-09-01,0.0,0.0,0.0,,,,,,,12861.0,188721.0,188721.0
2008-10-01,0.0,0.0,0.0,,,,,,,11277.0,153900.0,153900.0
2008-11-01,0.0,0.0,0.0,,,,,,,12250.0,175768.0,175768.0
2008-12-01,0.0,0.0,0.0,,,,,,,15090.0,248301.0,248301.0
2009-01-01,0.0,0.0,0.0,,,,,,,9712.0,184500.0,184500.0
2009-02-01,0.0,0.0,0.0,,,,,,,6439.0,151476.0,151476.0
2009-03-01,0.0,0.0,0.0,,,,,,,6947.0,53749.0,53749.0
2009-04-01,0.0,0.0,0.0,,,,,,,5859.0,70612.0,70612.0
2009-05-01,0.0,0.0,0.0,,,,,,,7921.0,108035.0,108035.0
2009-06-01,0.0,0.0,0.0,,,,,,,7965.0,105122.0,105122.0
2009-07-01,0.0,0.0,0.0,,,,,,,7699.0,164298.0,164298.0
2009-08-01,0.0,0.0,0.0,,,,,,,9012.0,181377.0,181377.0
2009-09-01,0.0,0.0,0.0,,,,,,,9210.0,168528.0,168528.0
2009-10-01,0.0,0.0,0.0,,,,,,,9985.0,153963.0,153963.0
2009-11-01,0.0,0.0,0.0,,,,,,,9167.0,149073.0,149073.0
2009-12-01,0.0,0.0,0.0,,,,,,,13300.0,191346.0,191346.0
2010-01-01,0.0,0.0,0.0,,,,,,,12349.0,184118.0,184118.0
2010-02-01,0.0,0.0,0.0,,,,,,,8012.0,135942.0,135942.0
2010-03-01,0.0,0.0,0.0,,,,,,,6439.0,106966.0,106966.0
2010-04-01,0.0,0.0,0.0,,,,,,,7812.0,135799.0,135799.0
2010-05-01,0.0,0.0,0.0,,,,,,,9884.0,145755.0,145755.0
2010-06-01,0.0,0.0,0.0,,,,,,,14512.0,225415.0,225415.0
2010-07-01,0.0,0.0,0.0,,,,,,,15499.0,244380.0,244380.0
2010-08-01,0.0,0.0,0.0,,,,,,,12255.0,198642.0,198642.0
2010-09-01,0.0,0.0,0.0,,,,,,,8850.0,136903.0,136903.0
2010-10-01,0.0,0.0,0.0,,,,,,,8420.0,139078.0,139078.0
2010-11-01,0.0,0.0,0.0,,,,,,,9227.0,135243.0,135243.0
2010-12-01,0.0,0.0,0.0,,,,,,,15379.0,245316.0,245316.0
2011-01-01,0.0,0.0,0.0,,,,,,,12836.0,209044.0,209044.0
2011-02-01,0.0,0.0,0.0,,,,,,,9179.0,153204.0,153204.0
2011-03-01,0.0,0.0,0.0,,,,,,,6208.0,109991.0,109991.0
2011-04-01,0.0,0.0,0.0,,,,,,,7626.0,142512.0,142512.0
2011-05-01,0.0,0.0,0.0,,,,,,,7359.0,133739.0,133739.0
2011-06-01,0.0,0.0,0.0,,,,,,,10068.0,167559.0,167559.0
2011-07-01,0.0,0.0,0.0,,,,,,,14989.0,244660.0,244660.0
2011-08-01,0.0,0.0,0.0,,,,,,,17418.0,276010.0,276010.0
2011-09-01,0.0,0.0,0.0,,,,,,,8987.0,156921.0,156921.0
2011-10-01,0.0,0.0,0.0,,,,,,,9538.0,169191.0,169191.0
2011-11-01,0.0,0.0,0.0,,,,,,,6841.0,120987.0,120987.0
2011-12-01,0.0,0.0,0.0,,,,,,,8733.0,163428.0,163428.0
2012-01-01,0.0,0.0,0.0,,,,,,,7560.0,132425.0,132425.0
2012-02-01,0.0,0.0,0.0,,,,,,,7320.0,140199.0,140199.0
2012-03-01,0.0,0.0,0.0,,,,,,,3614.0,76205.0,76205.0
2012-04-01,0.0,0.0,0.0,,,,,,,5955.0,98678.0,98678.0
2012-05-01,0.0,0.0,0.0,,,,,,,9180.0,172073.0,172073.0
2012-06-01,0.0,0.0,0.0,,,,,,,13593.0,228617.0,228617.0
2012-07-01,0.0,0.0,0.0,,,,,,,15711.0,141548.0,141548.0
2012-08-01,0.0,0.0,0.0,,,,,,,9496.0,97121.0,97121.0
2012-09-01,0.0,0.0,0.0,,,,,,,8847.0,130086.0,130086.0
2012-10-01,0.0,0.0,0.0,,,,,,,9263.0,140112.0,140112.0
2012-11-01,0.0,0.0,0.0,,,,,,,7744.0,110854.0,110854.0
2012-12-01,0.0,0.0,0.0,,,,,,,7890.0,117758.0,117758.0
2013-01-01,0.0,0.0,0.0,,,,,,,7482.0,79128.0,79128.0
2013-02-01,0.0,0.0,0.0,,,,,,,6765.0,115310.0,115310.0
2013-03-01,0.0,0.0,0.0,,,,,,,5449.0,99000.0,99000.0
2013-04-01,0.0,0.0,0.0,,,,,,,7330.0,118448.0,118448.0
2013-05-01,0.0,0.0,0.0,,,,,,,7979.0,128436.0,128436.0
2013-06-01,0.0,0.0,0.0,,,,,,,8871.0,182984.0,182984.0
2013-07-01,0.0,0.0,0.0,,,,,,,10899.0,117569.0,117569.0
2013-08-01,0.0,0.0,0.0,,,,,,,9857.0,143715.0,143715.0
2013-09-01,0.0,0.0,0.0,,,,,,,8256.0,116908.0,116908.0
2013-10-01,0.0,0.0,0.0,,,,,,,10029.0,126819.0,126819.0
2013-11-01,0.0,0.0,0.0,,,,,,,7083.0,101167.0,101167.0
2013-12-01,0.0,0.0,0.0,,,,,,,10419.0,106733.0,106733.0
