measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,8010.0,122276.0,122276.0,,,,424.0,5250.0,5250.0
2001-02-01,603.0,16719.0,16719.0,,,,8524.0,146770.0,146770.0
2001-03-01,0.0,0.0,0.0,,,,1247.0,18403.0,18403.0
2001-04-01,0.0,0.0,0.0,,,,5885.0,95482.0,95482.0
2001-05-01,0.0,0.0,0.0,,,,933.0,17111.0,17111.0
2001-06-01,0.0,0.0,0.0,,,,6341.0,106225.0,106225.0
2001-07-01,0.0,0.0,0.0,,,,32.0,570.0,570.0
2001-08-01,0.0,0.0,0.0,,,,32357.0,564323.0,564323.0
2001-09-01,0.0,0.0,0.0,,,,12704.0,161858.0,161858.0
2001-10-01,0.0,0.0,0.0,,,,3688.0,69773.0,69773.0
2001-11-01,0.0,0.0,0.0,,,,1648.0,30730.0,30730.0
2001-12-01,0.0,0.0,0.0,,,,-123.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,,,,996.0,22906.0,22906.0
2002-02-01,0.0,0.0,0.0,,,,-109.0,0.0,0.0
2002-03-01,23.0,398.0,398.0,,,,3221.0,57375.0,57375.0
2002-04-01,3.0,34.0,34.0,,,,127.0,5104.0,5104.0
2002-05-01,0.0,0.0,0.0,,,,446.0,8873.0,8873.0
2002-06-01,0.0,0.0,0.0,,,,2140.0,37616.0,37616.0
2002-07-01,0.0,0.0,0.0,,,,4289.0,73951.0,73951.0
2002-08-01,0.0,0.0,0.0,,,,3558.0,61132.0,61132.0
2002-09-01,0.0,0.0,0.0,,,,999.0,19641.0,19641.0
2002-10-01,0.0,0.0,0.0,,,,-74.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,,,,-85.0,1315.0,1315.0
2002-12-01,2.0,32.0,32.0,,,,79.0,1209.0,1209.0
2003-01-01,340.0,8814.0,8814.0,,,,196.0,3372.0,3372.0
2003-02-01,5914.0,89755.0,89755.0,,,,775.0,11791.0,11791.0
2003-03-01,2226.0,37167.0,37167.0,,,,98.0,1561.0,1561.0
2003-04-01,1552.0,17898.0,17898.0,,,,4674.0,52365.0,52365.0
2003-05-01,0.0,0.0,0.0,,,,3042.0,36283.0,36283.0
2003-06-01,54.0,502.0,502.0,,,,6898.0,77151.0,77151.0
2003-07-01,0.0,0.0,0.0,,,,13245.0,155607.0,155607.0
2003-08-01,30.0,362.0,362.0,,,,16067.0,191918.0,191918.0
2003-09-01,457.0,6693.0,6693.0,,,,1724.0,24918.0,24918.0
2003-10-01,0.0,0.0,0.0,,,,1225.0,15850.0,15850.0
2003-11-01,0.0,0.0,0.0,,,,1390.0,18222.0,18222.0
2003-12-01,88.0,1075.0,1075.0,,,,3288.0,41675.0,41675.0
2004-01-01,727.0,10300.0,10300.0,,,,1763.0,21036.0,21036.0
2004-02-01,0.0,0.0,0.0,,,,1801.0,22485.0,22485.0
2004-03-01,0.0,0.0,0.0,,,,2394.0,28801.0,28801.0
2004-04-01,0.0,0.0,0.0,,,,1121.0,14625.0,14625.0
2004-05-01,0.0,0.0,0.0,,,,4811.0,56113.0,56113.0
2004-06-01,0.0,0.0,0.0,,,,5634.0,71998.0,71998.0
2004-07-01,0.0,0.0,0.0,,,,7227.0,99284.0,99284.0
2004-08-01,11.0,124.0,124.0,,,,6438.0,79678.0,79678.0
2004-09-01,0.0,0.0,0.0,,,,3336.0,39890.0,39890.0
2004-10-01,0.0,0.0,0.0,,,,3894.0,49898.0,49898.0
2004-11-01,122.0,5786.0,5786.0,,,,1985.0,28202.0,28202.0
2004-12-01,56.0,654.0,654.0,,,,3882.0,43205.0,43205.0
2005-01-01,0.0,0.0,0.0,,,,3983.0,47114.26,47114.26
2005-02-01,0.0,0.0,0.0,,,,2687.0,34951.32,34951.32
2005-03-01,0.0,0.0,0.0,,,,1489.0,18015.55,18015.55
2005-04-01,0.0,0.0,0.0,,,,1794.0,22867.98,22867.98
2005-05-01,0.0,0.0,0.0,,,,3676.0,43633.08,43633.08
2005-06-01,0.0,0.0,0.0,,,,1805.0,29015.01,29015.01
2005-07-01,5742.0,96644.02,96644.02,,,,16978.0,196122.62,196122.62
2005-08-01,19719.0,251717.93,251717.93,,,,9221.0,106219.74,106219.74
2005-09-01,0.0,0.0,0.0,,,,14022.0,173817.28,173817.28
2005-10-01,0.0,0.0,0.0,,,,7998.0,98412.76,98412.76
2005-11-01,0.0,0.0,0.0,,,,6839.0,77826.76,77826.76
2005-12-01,0.0,0.0,0.0,,,,5080.0,60017.85,60017.85
2006-01-01,0.0,0.0,0.0,,,,2519.0,30856.0,30856.0
2006-02-01,0.0,0.0,0.0,,,,4957.0,64689.0,64689.0
2006-03-01,0.0,0.0,0.0,,,,7564.0,85091.0,85091.0
2006-04-01,0.0,0.0,0.0,,,,6086.0,71989.0,71989.0
2006-05-01,0.0,0.0,0.0,,,,4243.0,51816.0,51816.0
2006-06-01,0.0,0.0,0.0,,,,4792.0,56364.0,56364.0
2006-07-01,0.0,0.0,0.0,,,,24895.0,318544.0,318544.0
2006-08-01,0.0,0.0,0.0,,,,32406.0,426920.0,426920.0
2006-09-01,0.0,0.0,0.0,,,,6744.0,80436.0,80436.0
2006-10-01,0.0,0.0,0.0,,,,5567.0,64021.0,64021.0
2006-11-01,0.0,0.0,0.0,,,,6016.0,70045.0,70045.0
2006-12-01,0.0,0.0,0.0,,,,4467.0,42880.0,42880.0
2007-01-01,10.028,118.0,118.0,,,,4499.972000000001,53054.0,53054.0
2007-02-01,0.0,0.0,0.0,,,,8689.0,98367.0,98367.0
2007-03-01,0.0,0.0,0.0,,,,3722.0,45227.0,45227.0
2007-04-01,0.0,0.0,0.0,,,,3621.0,43546.0,43546.0
2007-05-01,0.0,0.0,0.0,,,,6864.0,81630.0,81630.0
2007-06-01,0.0,0.0,0.0,,,,3043.0,38530.0,38530.0
2007-07-01,0.0,0.0,0.0,,,,5237.0,64088.0,64088.0
2007-08-01,0.0,0.0,0.0,,,,22647.0,291721.0,291721.0
2007-09-01,0.0,0.0,0.0,,,,4995.0,59122.0,59122.0
2007-10-01,-26.0,0.0,0.0,,,,-26.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,,,,7735.0,96094.0,96094.0
2007-12-01,9.972000000000001,112.0,112.0,,,,8242.028,92734.0,92734.0
2008-01-01,0.0,0.0,0.0,,,,10351.0,121151.0,121151.0
2008-02-01,0.0,0.0,0.0,,,,7108.0,80633.0,80633.0
2008-03-01,0.0,0.0,0.0,,,,3047.0,38984.0,38984.0
2008-04-01,0.0,0.0,0.0,,,,775.0,11696.0,11696.0
2008-05-01,0.0,0.0,0.0,,,,12020.0,143842.0,143842.0
2008-06-01,0.0,0.0,0.0,,,,4350.0,57869.0,57869.0
2008-07-01,0.0,0.0,0.0,,,,8422.0,102241.0,102241.0
2008-08-01,0.0,0.0,0.0,,,,11971.0,149641.0,149641.0
2008-09-01,0.0,0.0,0.0,,,,5473.0,66913.0,66913.0
2008-10-01,0.0,0.0,0.0,,,,3874.0,47980.0,47980.0
2008-11-01,0.0,0.0,0.0,,,,3116.0,39014.0,39014.0
2008-12-01,0.0,0.0,0.0,,,,9654.0,109377.0,109377.0
2009-01-01,0.0,0.0,0.0,,,,10459.0,119128.0,119128.0
2009-02-01,0.0,0.0,0.0,,,,5457.0,65886.0,65886.0
2009-03-01,0.0,0.0,0.0,,,,11747.0,140298.0,140298.0
2009-04-01,0.0,0.0,0.0,,,,7531.0,89191.0,89191.0
2009-05-01,0.0,0.0,0.0,,,,15053.0,173821.0,173821.0
2009-06-01,0.0,0.0,0.0,,,,7796.0,93818.0,93818.0
2009-07-01,0.0,0.0,0.0,,,,9154.0,109525.0,109525.0
2009-08-01,0.0,0.0,0.0,,,,10482.0,126295.0,126295.0
2009-09-01,0.0,0.0,0.0,,,,7828.0,94057.0,94057.0
2009-10-01,0.0,0.0,0.0,,,,2141.0,28323.0,28323.0
2009-11-01,0.0,0.0,0.0,,,,2930.0,36600.0,36600.0
2009-12-01,0.0,0.0,0.0,,,,5734.0,64889.0,64889.0
2010-01-01,0.0,0.0,0.0,,,,6003.0,64439.0,64439.0
2010-02-01,0.0,0.0,0.0,,,,1694.0,22975.0,22975.0
2010-03-01,0.0,0.0,0.0,,,,24220.0,275048.0,275048.0
2010-04-01,0.0,0.0,0.0,,,,11822.0,140659.0,140659.0
2010-05-01,0.0,0.0,0.0,,,,9621.0,109961.0,109961.0
2010-06-01,0.0,0.0,0.0,,,,4460.0,57437.0,57437.0
2010-07-01,0.0,0.0,0.0,,,,8559.0,105183.0,105183.0
2010-08-01,0.0,0.0,0.0,,,,15183.0,187698.0,187698.0
2010-09-01,1193.2720000000002,14785.0,14785.0,,,,8990.728000000001,111396.0,111396.0
2010-10-01,0.0,0.0,0.0,,,,1761.0,30496.0,30496.0
2010-11-01,0.0,0.0,0.0,,,,1138.0,17874.0,17874.0
2010-12-01,0.0,0.0,0.0,,,,2804.0,35226.0,35226.0
2011-01-01,318.184,4678.0,4678.0,,,,1141.816,16786.0,16786.0
2011-02-01,0.0,0.0,0.0,,,,2422.0,32258.0,32258.0
2011-03-01,0.0,0.0,0.0,,,,2085.0,28812.0,28812.0
2011-04-01,0.0,0.0,0.0,,,,1756.0,22609.0,22609.0
2011-05-01,0.0,0.0,0.0,,,,7463.0,90886.0,90886.0
2011-06-01,0.0,0.0,0.0,,,,5245.0,64845.0,64845.0
2011-07-01,0.0,0.0,0.0,,,,13579.0,176665.0,176665.0
2011-08-01,0.0,0.0,0.0,,,,12660.0,159858.0,159858.0
2011-09-01,0.0,0.0,0.0,,,,3599.0,47763.0,47763.0
2011-10-01,0.0,0.0,0.0,,,,3307.0,40376.0,40376.0
2011-11-01,0.0,0.0,0.0,,,,3977.0,47829.0,47829.0
2011-12-01,0.0,0.0,0.0,,,,1992.0,25532.0,25532.0
2012-01-01,0.0,0.0,0.0,,,,1467.0,19382.0,19382.0
2012-02-01,0.0,0.0,0.0,,,,564.0,9562.0,9562.0
2012-03-01,0.0,0.0,0.0,,,,1836.0,23585.0,23585.0
2012-04-01,0.0,0.0,0.0,,,,7125.0,83424.0,83424.0
2012-05-01,0.0,0.0,0.0,,,,10353.0,128579.0,128579.0
2012-06-01,0.0,0.0,0.0,,,,8868.0,102524.0,102524.0
2012-07-01,0.0,0.0,0.0,,,,17054.0,212632.0,212632.0
2012-08-01,0.0,0.0,0.0,,,,13431.0,170316.0,170316.0
2012-09-01,0.0,0.0,0.0,,,,6807.0,81573.0,81573.0
2012-10-01,0.0,0.0,0.0,,,,3479.0,45250.0,45250.0
2012-11-01,0.0,0.0,0.0,,,,1397.0,17946.0,17946.0
