measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,39.0,553.0,553.0
2003-02-01,49.0,713.0,713.0
2003-03-01,0.0,0.0,0.0
2003-04-01,21.0,336.0,336.0
2003-05-01,0.0,0.0,0.0
2003-06-01,30.0,479.0,479.0
2003-07-01,21.0,342.0,342.0
2003-08-01,0.0,0.0,0.0
2003-09-01,45.0,667.0,667.0
2003-10-01,45.0,667.0,667.0
2003-11-01,69.0,1060.0,1060.0
2003-12-01,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,58.197,1099.93,1099.93
2005-02-01,19.995,377.9,377.9
2005-03-01,22.162000000000003,418.85,418.85
2005-04-01,26.844,507.35,507.35
2005-05-01,24.931,471.2,471.2
2005-06-01,32.358000000000004,611.58,611.58
2005-07-01,32.937000000000005,622.51,622.51
2005-08-01,38.693000000000005,731.3,731.3
2005-09-01,25.329,478.72,478.72
2005-10-01,28.128,531.62,531.62
2005-11-01,22.612000000000002,427.38,427.38
2005-12-01,47.813,903.67,903.67
2006-01-01,24.21,380.0,380.0
2006-02-01,12.668000000000001,199.0,199.0
2006-03-01,10.642000000000001,167.0,167.0
2006-04-01,20.384,320.0,320.0
2006-05-01,19.054000000000002,299.0,299.0
2006-06-01,17.319,272.0,272.0
2006-07-01,25.087,394.0,394.0
2006-08-01,24.334,382.0,382.0
2006-09-01,11.179,176.0,176.0
2006-10-01,11.809000000000001,186.0,186.0
2006-11-01,13.906,219.0,219.0
2006-12-01,15.408000000000001,242.0,242.0
2007-01-01,55.498000000000005,866.0,866.0
2007-02-01,119.06,1853.0,1853.0
2007-03-01,19.391000000000002,302.0,302.0
2007-04-01,13.754000000000001,217.0,217.0
2007-05-01,16.964000000000002,262.0,262.0
2007-06-01,18.1,279.0,279.0
2007-07-01,14.333,222.0,222.0
2007-08-01,1.27,17.0,17.0
2007-09-01,4.607,74.0,74.0
2007-10-01,4.043,63.0,63.0
2007-11-01,15.713000000000001,245.0,245.0
2007-12-01,25.267,393.0,393.0
2008-01-01,25.221,376.0,376.0
2008-02-01,32.237,485.0,485.0
2008-03-01,12.749,194.0,194.0
2008-04-01,14.273000000000001,217.0,217.0
2008-05-01,5.896,91.0,91.0
2008-06-01,5.846,86.0,86.0
2008-07-01,2.7720000000000002,40.0,40.0
2008-08-01,3.3770000000000002,51.0,51.0
2008-09-01,4.912,74.0,74.0
2008-10-01,3.7950000000000004,57.0,57.0
2008-11-01,12.696,194.0,194.0
2008-12-01,32.226,485.0,485.0
2009-01-01,122.732,2405.0,2405.0
2009-02-01,20.983,410.0,410.0
2009-03-01,12.4,245.0,245.0
2009-04-01,17.626,348.0,348.0
2009-05-01,12.339,239.0,239.0
2009-06-01,12.03,234.0,234.0
2009-07-01,9.359,182.0,182.0
2009-08-01,11.796000000000001,234.0,234.0
2009-09-01,9.414,182.0,182.0
2009-10-01,13.835,274.0,274.0
2009-11-01,6.806,131.0,131.0
2009-12-01,18.68,365.0,365.0
2010-01-01,33.003,547.0,547.0
2010-02-01,20.941000000000003,342.0,342.0
2010-03-01,5.541,91.0,91.0
2010-04-01,14.723,239.0,239.0
2010-05-01,21.894000000000002,359.0,359.0
2010-06-01,12.216000000000001,200.0,200.0
2010-07-01,12.823,211.0,211.0
2010-08-01,16.167,262.0,262.0
2010-09-01,16.483,268.0,268.0
2010-10-01,24.547,399.0,399.0
2010-11-01,11.216000000000001,182.0,182.0
2010-12-01,12.446,205.0,205.0
2011-01-01,15.014,217.0,217.0
2011-02-01,16.534,245.0,245.0
2011-03-01,26.614,388.0,388.0
2011-04-01,26.488,388.0,388.0
2011-05-01,12.508,182.0,182.0
2011-06-01,8.399,125.0,125.0
2011-07-01,20.246,296.0,296.0
2011-08-01,10.626,154.0,154.0
2011-09-01,13.572,200.0,200.0
2011-10-01,4.226,63.0,63.0
2011-11-01,23.242,342.0,342.0
2011-12-01,146.531,2149.0,2149.0
2012-01-01,3.027,51.0,51.0
2012-02-01,30.227,564.0,564.0
2012-03-01,7.174,137.0,137.0
2012-04-01,7.543,143.0,143.0
2012-05-01,95.535,1790.0,1790.0
2012-06-01,49.078,918.0,918.0
2012-07-01,119.377,2240.0,2240.0
2012-08-01,11.567,217.0,217.0
2012-09-01,8.091,154.0,154.0
2012-10-01,25.526,479.0,479.0
2012-11-01,10.607,200.0,200.0
2012-12-01,6.248,120.0,120.0
2013-01-01,18.353,359.0,359.0
2013-02-01,1.845,40.0,40.0
2013-03-01,4.908,103.0,103.0
2013-04-01,5.288,108.0,108.0
2013-05-01,18.367,376.0,376.0
2013-06-01,13.948,285.0,285.0
2013-07-01,16.01,325.0,325.0
2013-08-01,4.986,103.0,103.0
2013-09-01,39.982,815.0,815.0
2013-10-01,24.662,502.0,502.0
2013-11-01,18.537,376.0,376.0
2013-12-01,50.114,1020.0,1020.0
2014-01-01,72.825,1077.0,1077.0
2014-02-01,40.937,610.0,610.0
2014-03-01,78.168,1163.0,1163.0
2014-04-01,11.057,165.0,165.0
2014-05-01,10.593,160.0,160.0
2014-06-01,12.513,188.0,188.0
2014-07-01,9.985,148.0,148.0
2014-08-01,4.997,74.0,74.0
2014-09-01,3.069,46.0,46.0
