measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,,,,604.0,8832.0,8832.0
2003-02-01,,,,,,,,,,751.0,13474.0,13474.0
2003-03-01,,,,,,,,,,1006.0,13897.0,13897.0
2003-04-01,,,,,,,,,,520.0,7529.0,7529.0
2003-05-01,,,,,,,,,,145.0,3164.0,3164.0
2003-06-01,,,,,,,,,,119.0,1788.0,1788.0
2003-07-01,,,,,,,,,,104.0,1833.0,1833.0
2003-08-01,,,,,,,,,,489.0,8567.0,8567.0
2003-09-01,,,,,,,,,,257.0,4241.0,4241.0
2003-10-01,,,,,,,,,,-24.0,0.0,0.0
2003-11-01,,,,,,,,,,150.0,2837.0,2837.0
2003-12-01,,,,,,,,,,-40.0,0.0,0.0
2004-01-01,,,,,,,,,,1154.9070000000002,22168.0,22168.0
2004-02-01,,,,,,,,,,69.22200000000001,1329.0,1329.0
2004-03-01,,,,,,,,,,5.937,114.0,114.0
2004-04-01,,,,,,,,,,10.148,195.0,195.0
2004-05-01,,,,,,,,,,34.106,655.0,655.0
2004-06-01,,,,,,,,,,19.39,372.0,372.0
2004-07-01,,,,,,,,,,8.063,155.0,155.0
2004-08-01,,,,,,,,,,46.169000000000004,886.0,886.0
2004-09-01,,,,,,,,,,7.474,143.0,143.0
2004-10-01,,,,,,,,,,1.895,36.0,36.0
2004-11-01,,,,,,,,,,1.411,27.0,27.0
2004-12-01,,,,,,,,,,208.27800000000002,3998.0,3998.0
2005-01-01,,,,,,,,,,827.999,13271.89,13271.89
2005-02-01,,,,,,,,,,190.589,3054.93,3054.93
2005-03-01,,,,,,,,,,163.548,2621.5,2621.5
2005-04-01,,,,,,,,,,163.64100000000002,2622.98,2622.98
2005-05-01,,,,,,,,,,164.99,2644.61,2644.61
2005-06-01,,,,,,,,,,199.863,3203.58,3203.58
2005-07-01,,,,,,,,,,378.51800000000003,6067.21,6067.21
2005-08-01,,,,,,,,,,335.257,5373.78,5373.78
2005-09-01,,,,,,,,,,186.545,2990.1,2990.1
2005-10-01,,,,,,,,,,261.538,4192.17,4192.17
2005-11-01,,,,,,,,,,176.109,2822.84,2822.84
2005-12-01,,,,,,,,,,482.403,7732.37,7732.37
2006-01-01,,,,,,,,,,298.276,5314.0,5314.0
2006-02-01,,,,,,,,,,156.079,2780.0,2780.0
2006-03-01,,,,,,,,,,131.108,2336.0,2336.0
2006-04-01,,,,,,,,,,251.14200000000002,4474.0,4474.0
2006-05-01,,,,,,,,,,234.755,4182.0,4182.0
2006-06-01,,,,,,,,,,213.376,3801.0,3801.0
2006-07-01,,,,,,,,,,309.08,5506.0,5506.0
2006-08-01,,,,,,,,,,299.80600000000004,5341.0,5341.0
2006-09-01,,,,,,,,,,137.73600000000002,2454.0,2454.0
2006-10-01,,,,,,,,,,145.493,2592.0,2592.0
2006-11-01,,,,,,,,,,171.323,3052.0,3052.0
2006-12-01,,,,,,,,,,189.828,3382.0,3382.0
2007-01-01,,,,,,,235.99300000000002,4179.0,4179.0,,,
2007-02-01,,,,,,,1872.3960000000002,33135.0,33135.0,,,
2007-03-01,0.0,0.0,0.0,,,,458.93100000000004,8119.0,8119.0,,,
2007-04-01,0.0,0.0,0.0,,,,134.87900000000002,2387.0,2387.0,,,
2007-05-01,0.0,0.0,0.0,,,,30.195,533.0,533.0,,,
2007-06-01,0.0,0.0,0.0,,,,194.17600000000002,3436.0,3436.0,,,
2007-07-01,0.0,0.0,0.0,,,,315.02,5574.0,5574.0,,,
2007-08-01,0.0,0.0,0.0,,,,450.42,7972.0,7972.0,,,
2007-09-01,0.0,0.0,0.0,,,,170.14,3011.0,3011.0,,,
2007-10-01,0.0,0.0,0.0,,,,109.57,1939.0,1939.0,,,
2007-11-01,0.0,0.0,0.0,,,,90.911,1610.0,1610.0,,,
2007-12-01,0.0,0.0,0.0,,,,82.369,1457.0,1457.0,,,
2008-01-01,,,,0.0,0.0,0.0,,,,167.63400000000001,3544.0,3544.0
2008-02-01,,,,0.0,0.0,0.0,,,,105.557,2240.0,2240.0
2008-03-01,,,,0.0,0.0,0.0,,,,84.089,1780.0,1780.0
2008-04-01,,,,0.0,0.0,0.0,,,,42.160000000000004,896.0,896.0
2008-05-01,,,,0.0,0.0,0.0,,,,63.04600000000001,1338.0,1338.0
2008-06-01,,,,0.0,0.0,0.0,,,,90.048,1911.0,1911.0
2008-07-01,,,,0.0,0.0,0.0,,,,11.114,238.0,238.0
2008-08-01,,,,0.0,0.0,0.0,,,,12.529,266.0,266.0
2008-09-01,,,,0.0,0.0,0.0,,,,27.713,590.0,590.0
2008-10-01,,,,0.0,0.0,0.0,,,,25.306,539.0,539.0
2008-11-01,,,,0.0,0.0,0.0,,,,31.289,663.0,663.0
2008-12-01,,,,0.0,0.0,0.0,,,,77.515,1644.0,1644.0
2009-01-01,0.0,0.0,0.0,,,,-98.98100000000001,709.0,709.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,,,,-38.275,278.0,278.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,,,,-29.393,210.0,210.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,,,,-9.892000000000001,74.0,74.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,-24.151,176.0,176.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,-2.095,17.0,17.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,,,,-1.995,17.0,17.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,-11.9,85.0,85.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,,,,-2.757,23.0,23.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,,,,-1.15,6.0,6.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,-1.601,11.0,11.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,-2.81,23.0,23.0,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0,,,,194.74,3465.0,3465.0
2010-02-01,,,,0.0,0.0,0.0,,,,294.724,5238.0,5238.0
2010-03-01,,,,0.0,0.0,0.0,,,,33.518,595.0,595.0
2010-04-01,,,,0.0,0.0,0.0,,,,7.192,126.0,126.0
2010-05-01,,,,0.0,0.0,0.0,,,,32.291000000000004,572.0,572.0
2010-06-01,,,,0.0,0.0,0.0,,,,75.37100000000001,1338.0,1338.0
2010-07-01,,,,0.0,0.0,0.0,,,,229.842,4083.0,4083.0
2010-08-01,,,,0.0,0.0,0.0,,,,99.17800000000001,1761.0,1761.0
