measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,-54.0,-553.01,-553.01
2003-02-01,-49.0,-501.81,-501.81
2003-03-01,1294.0,13251.85,13251.85
2003-04-01,782.0,8008.46,8008.46
2003-05-01,1523.0,15597.04,15597.04
2003-06-01,4739.0,48532.1,48532.1
2003-07-01,4277.0,43800.76,43800.76
2003-08-01,3691.0,37799.53,37799.53
2003-09-01,1704.0,17450.66,17450.66
2003-10-01,84.0,860.24,860.24
2003-11-01,-17.0,-174.1,-174.1
2003-12-01,95.0,972.9,972.9
2004-01-01,2954.136,29606.35,29606.35
2004-02-01,3143.387,31503.02,31503.02
2004-03-01,3520.9680000000003,35287.14,35287.14
2004-04-01,3075.027,30817.92,30817.92
2004-05-01,3002.0440000000003,30086.48,30086.48
2004-06-01,3255.552,32627.14,32627.14
2004-07-01,3454.627,34622.27,34622.27
2004-08-01,3111.288,31181.33,31181.33
2004-09-01,2063.322,20678.61,20678.61
2004-10-01,1692.143,16958.66,16958.66
2004-11-01,1949.304,19535.92,19535.92
2004-12-01,1982.202,19865.63,19865.63
2005-01-01,6868.814,68681.28,68681.28
2005-02-01,6293.647,62930.18,62930.18
2005-03-01,6558.138,65574.83,65574.83
2005-04-01,6553.406,65527.5,65527.5
2005-05-01,9243.013,92420.88,92420.88
2005-06-01,8617.988000000001,86171.26,86171.26
2005-07-01,8011.033,80102.32,80102.32
2005-08-01,6648.041,66473.76,66473.76
2005-09-01,5269.031,52685.05,52685.05
2005-10-01,5686.325,56857.57,56857.57
2005-11-01,6127.698,61270.85,61270.85
2005-12-01,6859.865000000001,68591.79,68591.79
2006-01-01,8551.22,84820.0,84820.0
2006-02-01,7502.3240000000005,74416.0,74416.0
2006-03-01,8063.412,79981.0,79981.0
2006-04-01,9734.581,96557.0,96557.0
2006-05-01,10504.911,104198.0,104198.0
2006-06-01,10850.079,107622.0,107622.0
2006-07-01,8865.878,87941.0,87941.0
2006-08-01,7269.622,72107.0,72107.0
2006-09-01,5329.351000000001,52862.0,52862.0
2006-10-01,5040.203,49994.0,49994.0
