measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,31912.0,384149.0,384149.0,17025.0,-7088.0,176.0,,,
2003-02-01,0.0,0.0,0.0,,,,22006.0,256217.0,256217.0,11872.0,-9566.0,57.0,,,
2003-03-01,0.0,0.0,0.0,,,,21469.98,274776.0,274776.0,11203.5,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,,,,23914.0,302030.0,302030.0,12673.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,,,,24756.0,312794.0,312794.0,13158.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,,,,22841.0,290913.0,290913.0,12305.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,,,,24035.0,304182.0,304182.0,12923.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,,,,23981.0,302421.0,302421.0,12851.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,,,,22822.0,286484.0,286484.0,12441.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,,,,24213.0,298066.0,298066.0,13032.0,0.0,0.0,,,
2003-11-01,1161.0,14349.0,14349.0,,,,29313.0,362227.0,362227.0,16125.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,,,,32367.0,391125.0,391125.0,16171.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,18859.501,196339.46,240133.23,5574.652,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18956.436,194228.72,241367.47,5215.0380000000005,0.0,0.0,,,
