measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,12694.0,131167.1,131167.1,,,
2001-02-01,11303.0,116793.9,116793.9,,,
2001-03-01,11725.0,121154.43,121154.43,,,
2001-04-01,11082.0,114510.31,114510.31,,,
2001-05-01,9714.0,100374.76,100374.76,,,
2001-06-01,9091.0,93937.3,93937.3,,,
2001-07-01,8862.0,91571.05,91571.05,,,
2001-08-01,8622.0,89091.13,89091.13,,,
2001-09-01,9282.0,95910.91,95910.91,,,
2001-10-01,10634.0,109881.12,109881.12,,,
2001-11-01,11336.0,117134.89,117134.89,,,
2001-12-01,12296.0,127054.57,127054.57,,,
2002-01-01,12347.0,125606.03,125606.03,,,
2002-02-01,10911.0,110997.6,110997.6,,,
2002-03-01,11903.0,121089.22,121089.22,,,
2002-04-01,10721.0,109064.73,109064.73,,,
2002-05-01,10536.0,107182.73,107182.73,,,
2002-06-01,8895.0,90488.84,90488.84,,,
2002-07-01,8056.0,81953.69,81953.69,,,
2002-08-01,8854.0,90071.74,90071.74,,,
2002-09-01,9128.0,92859.14,92859.14,,,
2002-10-01,9211.0,93703.5,93703.5,,,
2002-11-01,8745.0,88962.89,88962.89,,,
2002-12-01,11797.0,120010.88,120010.88,,,
2003-01-01,11640.0,119205.24,119205.24,,,
2003-02-01,10938.0,112016.06,112016.06,,,
2003-03-01,11396.0,116706.44,116706.44,,,
2003-04-01,11126.0,113941.37,113941.37,,,
2003-05-01,9816.0,100525.66,100525.66,,,
2003-06-01,8595.0,88021.4,88021.4,,,
2003-07-01,7757.0,79439.44,79439.44,,,
2003-08-01,8721.0,89311.76,89311.76,,,
2003-09-01,8906.0,91206.35,91206.35,,,
2003-10-01,10106.0,103495.55,103495.55,,,
2003-11-01,11527.0,118048.01,118048.01,,,
2003-12-01,12002.0,122912.48,122912.48,,,
2004-01-01,10780.152,108038.68,108038.68,,,
2004-02-01,10175.453,101978.39,101978.39,,,
2004-03-01,10770.677,107943.72,107943.72,,,
2004-04-01,10079.442,101016.17,101016.17,,,
2004-05-01,9967.429,99893.57,99893.57,,,
2004-06-01,9628.023000000001,96492.05,96492.05,,,
2004-07-01,10122.605,101448.75,101448.75,,,
2004-08-01,10099.444,101216.63,101216.63,,,
2004-09-01,10063.23,100853.69,100853.69,,,
2004-10-01,10144.502,101668.2,101668.2,,,
2004-11-01,9485.691,95065.6,95065.6,,,
2004-12-01,10688.352,107118.66,107118.66,,,
2005-01-01,9235.279,92343.55,92343.55,,,
2005-02-01,7798.02,77972.4,77972.4,,,
2005-03-01,8828.055,88271.72,88271.72,,,
2005-04-01,8832.855,88319.72,88319.72,,,
2005-05-01,9379.611,93786.73,93786.73,,,
2005-06-01,9262.324,92613.98,92613.98,,,
2005-07-01,9473.854000000001,94729.07,94729.07,,,
2005-08-01,9357.652,93567.16,93567.16,,,
2005-09-01,9157.028,91561.12,91561.12,,,
2005-10-01,9379.072,93781.34,93781.34,,,
2005-11-01,9103.796,91028.86,91028.86,,,
2005-12-01,9358.452000000001,93575.16,93575.16,,,
2006-01-01,5318.871,52757.88,52757.88,,,
2006-02-01,4820.954000000001,47819.04,47819.04,,,
2006-03-01,5449.327,54051.87,54051.87,,,
2006-04-01,4875.482,48359.91,48359.91,,,
2006-05-01,4742.446,47040.32,47040.32,,,
2006-06-01,5147.633,51059.37,51059.37,,,
2006-07-01,5408.059,53642.54,53642.54,,,
2006-08-01,5522.173000000001,54774.43,54774.43,,,
2006-09-01,5226.0380000000005,51837.07,51837.07,,,
2006-10-01,5446.649,54025.31,54025.31,,,
2006-11-01,5275.317,52325.87,52325.87,,,
2006-12-01,5504.051,54594.68,54594.68,,,
2007-01-01,4676.535,46222.87,46222.87,,,
2007-02-01,3842.3450000000003,37977.74,37977.74,,,
