measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,537.0020000000001,5499.44,5499.44,,,
2003-02-01,456.987,4680.0,4680.0,,,
2003-03-01,520.424,5329.66,5329.66,,,
2003-04-01,539.7370000000001,5527.45,5527.45,,,
2003-05-01,556.745,5701.63,5701.63,,,
2003-06-01,491.624,5034.72,5034.72,,,
2003-07-01,478.765,4903.03,4903.03,,,
2003-08-01,512.754,5251.11,5251.11,,,
2003-09-01,406.08700000000005,4158.74,4158.74,,,
2003-10-01,484.63800000000003,4963.18,4963.18,,,
2003-11-01,536.405,5493.32,5493.32,,,
2003-12-01,554.832,5682.03,5682.03,,,
2004-01-01,1465.779,14690.04,14690.04,733.6310000000001,4323.73,34547.91
2004-02-01,910.285,9122.88,9122.88,444.863,2621.84,20949.27
2004-03-01,2506.575,25120.89,25120.89,416.66900000000004,2455.69,19621.57
2004-04-01,2945.266,29517.46,29517.46,200.875,1183.88,9459.48
2004-05-01,2597.055,26027.69,26027.69,660.056,3890.11,31083.14
2004-06-01,1772.314,17762.13,17762.13,248.369,1463.79,11696.17
2004-07-01,1435.07,14382.27,14382.27,461.189,2718.07,21718.18
2004-08-01,1831.538,18355.67,18355.67,553.255,3260.67,26053.69
2004-09-01,1645.642,16492.62,16492.62,417.895,2462.91,19679.37
2004-10-01,575.783,5770.5,5770.5,558.8620000000001,3293.72,26317.7
2004-11-01,1296.334,12991.86,12991.86,341.243,2011.15,16069.76
2004-12-01,2005.3690000000001,20097.81,20097.81,578.423,3409.0,27238.93
2005-01-01,2166.5,21662.84,21662.84,755.769,4454.2,80838.23
2005-02-01,1760.545,17603.69,17603.69,701.397,4133.76,75022.53
2005-03-01,1923.575,19233.83,19233.83,758.3230000000001,4469.26,81111.42
2005-04-01,2411.402,24111.61,24111.61,651.988,3842.56,69737.74
2005-05-01,1786.6460000000002,17864.67,17864.67,723.558,4264.37,77392.84
2005-06-01,1600.73,16005.7,16005.7,700.5060000000001,4128.51,74927.16
2005-07-01,1359.111,13589.75,13589.75,775.8140000000001,4572.34,82982.27
2005-08-01,1071.641,10715.34,10715.34,798.759,4707.57,85436.56
2005-09-01,925.724,9256.31,9256.31,751.915,4431.49,80425.98
2005-10-01,1882.945,18827.57,18827.57,716.7040000000001,4223.97,76659.8
2005-11-01,2067.731,20675.24,20675.24,729.92,4301.86,78073.35
2005-12-01,2186.879,21866.6,21866.6,788.537,4647.33,84343.12
2006-01-01,2657.02,26355.0,26355.0,310.565,1830.35,82420.42
2006-02-01,2104.808,20878.0,20878.0,281.942,1661.66,74824.31
2006-03-01,1608.556,15955.0,15955.0,305.367,1799.72,81041.04
2006-04-01,1407.568,13962.0,13962.0,282.245,1663.44,74904.72
2006-05-01,1384.028,13728.0,13728.0,281.569,1659.46,74725.37
2006-06-01,1356.883,13459.0,13459.0,281.094,1656.66,74599.23
2006-07-01,1611.8590000000002,15988.0,15988.0,302.052,1780.17,80161.12
2006-08-01,1324.6290000000001,13139.0,13139.0,319.849,1885.06,84884.4
2006-09-01,1475.001,14631.0,14631.0,299.305,1763.99,79432.33
2006-10-01,2030.8760000000002,20144.0,20144.0,310.827,1831.9,82490.12
2006-11-01,2653.1150000000002,26316.0,26316.0,303.956,1791.4,80666.53
2006-12-01,1986.467,19704.0,19704.0,315.07800000000003,1856.95,83618.24
2007-01-01,168.143,1662.0,1662.0,0.0,0.0,0.0
2007-02-01,106.50800000000001,1053.0,1053.0,0.0,0.0,0.0
2007-03-01,145.745,1441.0,1441.0,0.0,0.0,0.0
2007-04-01,187.70700000000002,1855.0,1855.0,0.0,0.0,0.0
2007-05-01,168.115,1662.0,1662.0,0.0,0.0,0.0
2007-06-01,85.255,843.0,843.0,0.0,0.0,0.0
2007-07-01,117.73,1164.0,1164.0,0.0,0.0,0.0
2007-08-01,58.186,575.0,575.0,0.0,0.0,0.0
2007-09-01,40.839,404.0,404.0,0.0,0.0,0.0
2007-10-01,104.21,1030.0,1030.0,0.0,0.0,0.0
2007-11-01,168.112,1662.0,1662.0,0.0,0.0,0.0
2007-12-01,173.45,1714.0,1714.0,0.0,0.0,0.0
2008-01-01,2069.2580000000003,20390.0,20390.0,0.0,0.0,0.0
2008-02-01,1909.826,18819.0,18819.0,0.0,0.0,0.0
2008-03-01,2280.012,22467.0,22467.0,0.0,0.0,0.0
2008-04-01,2283.7980000000002,22505.0,22505.0,0.0,0.0,0.0
2008-05-01,1750.814,17253.0,17253.0,0.0,0.0,0.0
2008-06-01,1574.134,15512.0,15512.0,0.0,0.0,0.0
2008-07-01,1469.808,14483.0,14483.0,0.0,0.0,0.0
2008-08-01,1975.8700000000001,19470.0,19470.0,0.0,0.0,0.0
2008-09-01,524.15,5165.0,5165.0,0.0,0.0,0.0
2008-10-01,1189.645,11723.0,11723.0,0.0,0.0,0.0
2008-11-01,2004.8960000000002,19756.0,19756.0,0.0,0.0,0.0
2008-12-01,2063.789,20337.0,20337.0,0.0,0.0,0.0
2009-01-01,1938.6470000000002,18921.0,18921.0,0.0,0.0,0.0
2009-02-01,1918.7930000000001,18727.0,18727.0,0.0,0.0,0.0
2009-03-01,3101.518,30271.0,30271.0,0.0,0.0,0.0
2009-04-01,2878.451,28094.0,28094.0,0.0,0.0,0.0
2009-05-01,2795.911,27288.0,27288.0,0.0,0.0,0.0
2009-06-01,2044.17,19951.0,19951.0,0.0,0.0,0.0
2009-07-01,2690.385,26258.0,26258.0,0.0,0.0,0.0
2009-08-01,1560.423,15230.0,15230.0,0.0,0.0,0.0
2009-09-01,590.84,5767.0,5767.0,0.0,0.0,0.0
2009-10-01,1112.722,10860.0,10860.0,0.0,0.0,0.0
2009-11-01,1876.478,18314.0,18314.0,0.0,0.0,0.0
2009-12-01,2463.6620000000003,24045.0,24045.0,0.0,0.0,0.0
2010-01-01,2038.518,19888.0,19888.0,,,
2010-02-01,1826.642,17821.0,17821.0,,,
2010-03-01,2662.6020000000003,25976.0,25976.0,,,
2010-04-01,3264.748,31851.0,31851.0,,,
2010-05-01,2592.746,25295.0,25295.0,,,
2010-06-01,2000.4160000000002,19516.0,19516.0,,,
2010-07-01,1377.487,13439.0,13439.0,,,
2010-08-01,1073.239,10471.0,10471.0,,,
2010-09-01,566.929,5531.0,5531.0,,,
2010-10-01,2683.386,26179.0,26179.0,,,
2010-11-01,3167.7580000000003,30905.0,30905.0,,,
2010-12-01,2053.529,20034.0,20034.0,,,
2011-01-01,1916.51,18621.0,18621.0,,,
2011-02-01,1400.88,13611.0,13611.0,,,
2011-03-01,2877.73,27960.0,27960.0,,,
2011-04-01,2698.848,26222.0,26222.0,,,
2011-05-01,2939.153,28557.0,28557.0,,,
2011-06-01,2559.299,24866.0,24866.0,,,
2011-07-01,662.724,6439.0,6439.0,,,
2011-08-01,506.472,4921.0,4921.0,,,
2011-09-01,1693.987,16459.0,16459.0,,,
2011-10-01,2574.924,25018.0,25018.0,,,
2011-11-01,1546.355,15024.0,15024.0,,,
2011-12-01,2515.118,24437.0,24437.0,,,
2012-01-01,2161.966,20573.0,20573.0,,,
2012-02-01,1881.397,17903.0,17903.0,,,
2012-03-01,3034.219,28874.0,28874.0,,,
2012-04-01,2680.113,25504.0,25504.0,,,
2012-05-01,2916.561,27754.0,27754.0,,,
2012-06-01,1591.211,15142.0,15142.0,,,
2012-07-01,783.444,7455.0,7455.0,,,
2012-08-01,558.31,5313.0,5313.0,,,
2012-09-01,745.544,7095.0,7095.0,,,
2012-10-01,2292.634,21817.0,21817.0,,,
2012-11-01,1864.992,17747.0,17747.0,,,
2012-12-01,2757.609,26241.0,26241.0,,,
2013-01-01,2282.547,21778.0,21778.0,0.0,0.0,0.0
2013-02-01,1650.458,15747.0,15747.0,0.0,0.0,0.0
2013-03-01,2142.616,20443.0,20443.0,0.0,0.0,0.0
2013-04-01,3049.783,29098.0,29098.0,0.0,0.0,0.0
2013-05-01,2127.719,20301.0,20301.0,0.0,0.0,0.0
2013-06-01,2816.208,26869.0,26869.0,0.0,0.0,0.0
2013-07-01,2666.166,25438.0,25438.0,0.0,0.0,0.0
2013-08-01,1372.722,13097.0,13097.0,0.0,0.0,0.0
2013-09-01,1314.195,12539.0,12539.0,0.0,0.0,0.0
2013-10-01,990.169,9447.0,9447.0,0.0,0.0,0.0
2013-11-01,2085.154,19894.0,19894.0,0.0,0.0,0.0
2013-12-01,2402.263,22920.0,22920.0,0.0,0.0,0.0
2014-01-01,2657.081,25269.0,25269.0,0.0,0.0,0.0
2014-02-01,1505.616,14318.0,14318.0,,,
2014-03-01,1395.464,13271.0,13271.0,,,
2014-04-01,3068.869,29185.0,29185.0,,,
2014-05-01,3484.498,33138.0,33138.0,,,
2014-06-01,2101.842,19989.0,19989.0,,,
2014-07-01,1481.28,14087.0,14087.0,,,
2014-08-01,1219.991,11602.0,11602.0,,,
2014-09-01,480.311,4568.0,4568.0,,,
2014-10-01,1547.243,14714.0,14714.0,,,
2014-11-01,1576.702,14994.0,14994.0,,,
2014-12-01,2689.103,25573.0,25573.0,,,
2015-01-01,1740.32,16218.0,16218.0,,,
2015-02-01,1153.224,10747.0,10747.0,,,
2015-03-01,1220.204,11371.0,11371.0,,,
2015-04-01,2994.888,27909.0,27909.0,,,
2015-05-01,2479.432,23106.0,23106.0,,,
2015-06-01,3243.589,30227.0,30227.0,,,
2015-07-01,2484.091,23149.0,23149.0,,,
2015-08-01,1001.791,9336.0,9336.0,,,
2015-09-01,582.436,5428.0,5428.0,,,
2015-10-01,1203.314,11214.0,11214.0,,,
2015-11-01,1611.602,15019.0,15019.0,,,
2015-12-01,2689.109,25060.0,25060.0,,,
2016-01-01,3213.026,29663.0,29663.0,,,
2016-02-01,3341.201,30846.0,30846.0,,,
2016-03-01,4508.144,41619.0,41619.0,,,
2016-04-01,4221.127,38969.0,38969.0,,,
2016-05-01,1690.652,15608.0,15608.0,,,
2016-06-01,1811.75,16726.0,16726.0,,,
2016-07-01,1304.555,12044.0,12044.0,,,
2016-08-01,1015.964,9379.0,9379.0,,,
2016-09-01,363.294,3354.0,3354.0,,,
2016-10-01,149.406,1379.0,1379.0,,,
2016-11-01,603.917,5575.0,5575.0,,,
2016-12-01,2340.964,21612.0,21612.0,,,
2017-01-01,1902.528,17528.0,17528.0,,,
2017-02-01,1893.693,17447.0,17447.0,,,
2017-03-01,2332.932,21493.0,21493.0,,,
2017-04-01,3244.647,29893.0,29893.0,,,
2017-05-01,3394.637,31275.0,31275.0,,,
2017-06-01,2593.572,23895.0,23895.0,,,
2017-07-01,2159.803,19898.0,19898.0,,,
2017-08-01,1358.317,12514.0,12514.0,,,
2017-09-01,1024.47,9438.0,9438.0,,,
2017-10-01,985.764,9082.0,9082.0,,,
2017-11-01,2333.773,21501.0,21501.0,,,
2017-12-01,1807.864,16656.0,16656.0,,,
2018-01-01,2123.724,19334.0,19334.0,,,
2018-02-01,2272.708,20691.0,20691.0,,,
2018-03-01,2518.531,22929.0,22929.0,,,
2018-04-01,3019.399,27489.0,27489.0,,,
2018-05-01,2464.258,22435.0,22435.0,,,
2018-06-01,1124.293,10236.0,10236.0,,,
2018-07-01,971.585,8845.0,8845.0,,,
2018-08-01,1339.255,12193.0,12193.0,,,
2018-09-01,1284.805,11697.0,11697.0,,,
2018-10-01,1914.97,17434.0,17434.0,,,
2018-11-01,2635.412,23993.0,23993.0,,,
2018-12-01,2823.06,25701.0,25701.0,,,
2019-01-01,2511.909,22369.0,22369.0,,,
2019-02-01,2333.019,20776.0,20776.0,,,
2019-03-01,2462.404,21928.0,21928.0,,,
2019-04-01,2669.996,23776.0,23776.0,,,
2019-05-01,2836.434,25258.0,25258.0,,,
2019-06-01,2020.796,17995.0,17995.0,,,
2019-07-01,1227.177,10928.0,10928.0,,,
2019-08-01,690.202,6146.0,6146.0,,,
2019-09-01,613.361,5462.0,5462.0,,,
2019-10-01,1338.642,11921.0,11921.0,,,
2019-11-01,1632.643,14539.0,14539.0,,,
2019-12-01,2214.417,19719.0,19719.0,,,
2020-01-01,2571.611,22545.0,22545.0,,,
2020-02-01,2191.679,19214.0,19214.0,,,
2020-03-01,2990.83,26221.0,26221.0,,,
