measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,16.58,253.0,253.0
2003-02-01,,,,15.296000000000001,233.0,233.0
2003-03-01,,,,14.003,213.0,213.0
2003-04-01,,,,14.769,225.0,225.0
2003-05-01,,,,14.692,224.0,224.0
2003-06-01,,,,14.637,223.0,223.0
2003-07-01,,,,16.101,245.0,245.0
2003-08-01,,,,16.92,258.0,258.0
2003-09-01,,,,15.138,231.0,231.0
2003-10-01,,,,12.708,194.0,194.0
2003-11-01,,,,11.208,171.0,171.0
2003-12-01,,,,16.307000000000002,249.0,249.0
2004-01-01,,,,217.20700000000002,3043.0,3043.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,14.745,207.0,207.0
2004-06-01,,,,14.178,199.0,199.0
2004-07-01,,,,10.208,143.0,143.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,62.383,874.0,874.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,57.279,802.0,802.0
2005-01-01,,,,143.276,1980.3,1980.3
2005-02-01,,,,32.979,455.83,455.83
2005-03-01,,,,28.3,391.16,391.16
2005-04-01,,,,28.316000000000003,391.38,391.38
2005-05-01,,,,28.55,394.6,394.6
2005-06-01,,,,34.584,478.01,478.01
2005-07-01,,,,65.498,905.29,905.29
2005-08-01,,,,58.012,801.83,801.83
2005-09-01,,,,32.279,446.16,446.16
2005-10-01,,,,45.256,625.52,625.52
2005-11-01,,,,30.474,421.2,421.2
2005-12-01,,,,83.474,1153.75,1153.75
2006-01-01,,,,22.33,214.0,214.0
2006-02-01,,,,11.684000000000001,112.0,112.0
2006-03-01,,,,9.815,94.0,94.0
2006-04-01,,,,18.801000000000002,180.0,180.0
2006-05-01,,,,17.574,169.0,169.0
2006-06-01,,,,15.974,153.0,153.0
2006-07-01,,,,23.138,222.0,222.0
2006-08-01,,,,22.444000000000003,215.0,215.0
2006-09-01,,,,10.311,99.0,99.0
2006-10-01,,,,10.892000000000001,105.0,105.0
2006-11-01,,,,12.826,123.0,123.0
2006-12-01,,,,14.211,136.0,136.0
2007-01-01,0.0,0.0,0.0,53.621,728.0,728.0
2007-02-01,0.0,0.0,0.0,63.135,857.0,857.0
2007-03-01,0.0,0.0,0.0,58.922000000000004,795.0,795.0
2007-04-01,0.0,0.0,0.0,19.272000000000002,263.0,263.0
2007-05-01,0.0,0.0,0.0,19.515,263.0,263.0
2007-06-01,0.0,0.0,0.0,26.637,358.0,358.0
2007-07-01,0.0,0.0,0.0,26.808,364.0,364.0
2007-08-01,0.0,0.0,0.0,31.761000000000003,431.0,431.0
2007-09-01,0.0,0.0,0.0,22.308,302.0,302.0
2007-10-01,0.0,0.0,0.0,28.078000000000003,381.0,381.0
2007-11-01,0.0,0.0,0.0,5.214,73.0,73.0
2007-12-01,0.0,0.0,0.0,54.73,739.0,739.0
2008-01-01,0.0,0.0,0.0,20.865000000000002,278.0,278.0
2008-02-01,0.0,0.0,0.0,24.911,335.0,335.0
2008-03-01,0.0,0.0,0.0,55.583000000000006,743.0,743.0
2008-04-01,0.0,0.0,0.0,23.984,323.0,323.0
