measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2013-09-01,7389.825,76664.0,76664.0,,,
2013-10-01,3881.42,40267.0,40267.0,,,
2013-11-01,4582.934,47546.0,47546.0,,,
2013-12-01,6847.821,71042.0,71042.0,,,
2014-01-01,9969.135,99140.0,99140.0,,,
2014-02-01,6189.933,61557.0,61557.0,,,
2014-03-01,4282.216,42585.0,42585.0,,,
2014-04-01,5216.628,51877.0,51877.0,,,
2014-05-01,12385.015,123165.0,123165.0,,,
2014-06-01,9007.898,89581.0,89581.0,,,
2014-07-01,10451.143,103932.0,103932.0,,,
2014-08-01,14519.714,144394.0,144394.0,,,
2014-09-01,7270.587,72304.0,72304.0,,,
2014-10-01,13235.844,131626.0,131626.0,,,
2014-11-01,7988.117,79439.0,79439.0,,,
2014-12-01,10136.77,100806.0,100806.0,,,
2015-01-01,1224.103,12410.0,12410.0,,,
2015-02-01,17883.945,181308.0,181308.0,,,
2015-03-01,8532.877,86506.0,86506.0,,,
2015-04-01,29183.068,295858.0,295858.0,,,
2015-05-01,3129.741,31730.0,31730.0,,,
2015-06-01,14270.02,144669.0,144669.0,,,
2015-07-01,37618.136,381372.0,381372.0,,,
2015-08-01,33230.065,336886.0,336886.0,,,
2015-09-01,34211.472,346835.0,346835.0,,,
2015-10-01,14114.721,143095.0,143095.0,,,
2015-11-01,3244.89,32897.0,32897.0,,,
2015-12-01,5478.962,55546.0,55546.0,,,
2016-01-01,11321.232,108681.0,108681.0,0.0,0.0,0.0
2016-02-01,22737.116,218269.0,218269.0,0.0,0.0,0.0
2016-03-01,18236.365,175063.0,175063.0,0.0,0.0,0.0
2016-04-01,4792.575,46007.0,46007.0,0.0,0.0,0.0
2016-05-01,17831.654,171178.0,171178.0,0.0,0.0,0.0
2016-06-01,36739.051,352683.0,352683.0,0.0,0.0,0.0
2016-07-01,40724.017,390938.0,390938.0,0.0,0.0,0.0
2016-08-01,37650.129,361429.0,361429.0,0.0,0.0,0.0
2016-09-01,23091.251,221669.0,221669.0,0.0,0.0,0.0
2016-10-01,49752.217,477606.0,477606.0,0.0,0.0,0.0
2016-11-01,33571.823,322280.0,322280.0,0.0,0.0,0.0
2016-12-01,9213.57,88448.0,88448.0,0.0,0.0,0.0
2017-01-01,8594.731,98265.0,98265.0,7560.174,66245.0,66245.0
2017-02-01,5624.575,64307.0,64307.0,4947.54,43352.0,43352.0
2017-03-01,10939.65,125075.0,125075.0,9622.834,84319.0,84319.0
2017-04-01,9897.785,113163.0,113163.0,8706.379,76288.0,76288.0
2017-05-01,9332.321,106698.0,106698.0,8208.98,71930.0,71930.0
2017-06-01,13585.527,155326.0,155326.0,11950.224,104713.0,104713.0
2017-07-01,20764.326,237402.0,237402.0,18264.904,160044.0,160044.0
2017-08-01,14622.788,167185.0,167185.0,12862.629,112708.0,112708.0
2017-09-01,12671.35,144874.0,144874.0,11146.088,97666.0,97666.0
2017-10-01,9781.52,111834.0,111834.0,8604.109,75392.0,75392.0
2017-11-01,10393.19,118828.0,118828.0,9142.152,80107.0,80107.0
