measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,61.317,380.0,456.0,523.899,3248.0,3903.0,,,
2003-02-01,56.512,350.0,421.0,482.846,2993.0,3597.0,,,
2003-03-01,55.66,345.0,414.0,475.562,2948.0,3543.0,,,
2003-04-01,55.905,346.0,416.0,477.655,2961.0,3558.0,,,
2003-05-01,48.809000000000005,302.0,363.0,417.029,2585.0,3107.0,,,
2003-06-01,58.98,365.0,439.0,503.92900000000003,3124.0,3754.0,,,
2003-07-01,76.549,474.0,570.0,654.041,4055.0,4872.0,,,
2003-08-01,76.086,471.0,566.0,650.086,4030.0,4843.0,,,
2003-09-01,62.891000000000005,390.0,468.0,537.3480000000001,3331.0,4003.0,,,
2003-10-01,69.705,432.0,519.0,595.5640000000001,3692.0,4437.0,,,
2003-11-01,63.077000000000005,391.0,470.0,538.9390000000001,3341.0,4015.0,,,
2003-12-01,62.511,387.0,465.0,534.1030000000001,3311.0,3979.0,,,
2004-01-01,42.54144,246.17,858.98,388.98196,2250.85,7854.17,362.9716,2100.34,7328.98
2004-02-01,25.58664,148.06,517.88,388.04556,2245.43,7854.17,362.09781,2095.28,7328.98
2004-03-01,18.51233,107.12,375.09,387.64171,2243.09,7854.17,361.72096,2093.1,7328.98
2004-04-01,18.63,107.8,377.46,387.64808,2243.13,7854.17,361.72691,2093.14,7328.98
2004-05-01,19.60041,113.42,397.07,387.70426,2243.45,7854.17,361.77933,2093.44,7328.98
2004-06-01,20.02537,115.88,405.65,387.72807,2243.59,7854.17,361.80155,2093.57,7328.98
2004-07-01,49.126529999999995,284.27,991.05,389.3342,2252.89,7854.17,363.30028,2102.24,7328.98
