measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2004-10-01,43981.0,611230.0,611230.0,31.5,438.0,438.0,3.0,43.0,43.0,1820.0,25290.0,25290.0
2004-11-01,38898.0,514128.0,514128.0,0.0,0.0,0.0,4.0,54.0,54.0,-715.0,22735.0,22735.0
2004-12-01,53126.0,613496.0,613496.0,0.0,0.0,0.0,1428.0,16485.0,16485.0,32679.0,377370.0,377370.0
2005-01-01,69341.0,847972.44,847972.44,21.0,257.84,257.84,163.0,2020.55,2020.55,13583.0,167826.14,167826.14
2005-02-01,47156.0,636706.49,636706.49,23.0,307.65,307.65,654.0,8837.08,8837.08,7972.0,107640.52,107640.52
2005-03-01,56118.0,659560.09,659560.09,168.5,1980.68,1980.68,588.0,6905.98,6905.98,23961.0,281616.46,281616.46
2005-04-01,34137.0,398120.1,398120.1,349.5,4075.63,4075.63,0.0,0.0,0.0,2953.0,34438.88,34438.88
2005-05-01,54447.0,674362.99,674362.99,56.5,670.97,670.97,0.0,0.0,0.0,3557.0,42465.32,42465.32
2005-06-01,58886.0,717499.16,717499.16,173.0,2006.8000000000002,2006.8000000000002,1503.0,18039.0,18039.0,31865.0,374193.14,374193.14
2005-07-01,68138.0,784268.03,784268.03,74.0,849.7,849.7,864.0,9939.3,9939.3,60953.0,701571.72,701571.72
2005-08-01,57209.0,679323.26,679323.26,198.0,2349.0,2349.0,1658.0,19688.55,19688.55,49046.0,582386.06,582386.06
2005-09-01,43926.0,544642.84,544642.84,223.0,2760.8,2760.8,1604.0,19885.95,19885.95,27782.0,344464.88,344464.88
2005-10-01,56733.0,674259.11,674259.11,158.0,1876.3,1876.3,1541.0,18317.25,18317.25,41810.0,496903.84,496903.84
2005-11-01,53229.0,652859.83,652859.83,162.0,1989.4,1989.4,226.0,2772.0,2772.0,3933.0,48234.72,48234.72
2005-12-01,79393.0,905080.47,905080.47,66.5,759.8,759.8,966.0,11011.35,11011.35,51534.0,587483.42,587483.42
2006-01-01,61813.0,727030.0,727030.0,30.0,354.5,354.5,113.0,1324.0,1324.0,3071.0,36125.0,36125.0
2006-02-01,48264.0,589389.0,589389.0,217.5,2666.5,2666.5,1478.0,18044.0,18044.0,8478.0,103528.0,103528.0
2006-03-01,66064.0,833221.0,833221.0,49.0,618.0,618.0,2285.0,28816.0,28816.0,9368.0,118152.0,118152.0
2006-04-01,14714.0,181634.0,181634.0,51.0,630.0,630.0,7069.0,87258.0,87258.0,614.0,7576.0,7576.0
2006-05-01,60103.0,696308.0,696308.0,19.0,217.5,217.5,3710.0,42981.0,42981.0,2452.0,28410.0,28410.0
2006-06-01,56030.0,688750.0,688750.0,16.5,200.0,200.0,5527.0,67945.0,67945.0,2337.0,28727.0,28727.0
2006-07-01,68011.0,791462.0,791462.0,68.5,797.5,797.5,22238.0,258793.0,258793.0,1682.0,19578.0,19578.0
2006-08-01,61530.0,708150.0,708150.0,111.0,1276.0,1276.0,3900.0,44881.0,44881.0,8352.0,96127.0,96127.0
2006-09-01,45305.0,708150.0,708150.0,27.0,420.5,420.5,4479.0,70015.0,70015.0,1387.0,21683.0,21683.0
2006-10-01,45019.0,542332.0,542332.0,143.0,1763.0,1763.0,105.0,1261.0,1261.0,2318.0,27921.0,27921.0
2006-11-01,51357.0,543812.0,543812.0,121.0,1302.0,1302.0,0.0,0.0,0.0,8017.0,84893.0,84893.0
2006-12-01,52368.0,621826.0,621826.0,20.0,235.0,235.0,0.0,0.0,0.0,2265.0,26894.0,26894.0
2007-01-01,54011.111,680518.0,680518.0,22.7865,304.5,304.5,282.687,3562.0,3562.0,5539.629,69797.0,69797.0
2007-02-01,68292.394,785878.0,785878.0,23.424500000000002,273.0,273.0,309.51300000000003,3562.0,3562.0,9260.244,106563.0,106563.0
2007-03-01,69321.16,804473.0,804473.0,22.2405,284.0,284.0,345.522,4010.0,4010.0,14600.837,169443.0,169443.0
2007-04-01,41763.412,480341.0,480341.0,0.0,0.0,0.0,359.827,4139.0,4139.0,7044.762000000001,81025.0,81025.0
2007-05-01,56712.714,480341.0,480341.0,43.142,365.5,365.5,127.69,1082.0,1082.0,7703.312000000001,65245.0,65245.0
2007-06-01,60152.686,707631.0,707631.0,20.975,243.5,243.5,8853.132,104147.0,104147.0,8204.232,96514.0,96514.0
2007-07-01,61704.398,748092.0,748092.0,23.680500000000002,301.5,301.5,16725.541,202777.0,202777.0,2352.7,28524.0,28524.0
2007-08-01,63027.012,748715.0,748715.0,39.3625,484.5,484.5,33924.015,402993.0,402993.0,3440.2470000000003,40868.0,40868.0
